Matchup,LAA @ BOS
Pitcher,Jake Bennett
Pitcher Team,BOS
Opposing Team,LAA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,99.2,395,0.227,0.260,0.335,0.108,1.02,9,0.81,4.6%,24.3%,20.5%,20.4%,13.0%,7.31,64.9%,7.8%,7.5%,36.9%,27.3%,11.2%,13.3%
vsLHB,27.2,104,0.167,0.182,0.167,-,0.87,0,-,7.7%,23.6%,26.9%,24.6%,11.4%,9.11,66.0%,7.4%,-,26.5%,14.7%,-,16.2%
vsRHB,72.0,291,0.248,0.289,0.394,0.146,1.08,9,1.12,3.4%,24.5%,18.2%,18.7%,13.5%,6.62,64.5%,8.0%,9.8%,40.0%,31.1%,12.9%,12.4%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Travis d'Arnaud RHB,,+780,12,2.00,8,0,1,86.5,293.2,2,1,12.5%,-,12.5%,25.0%,37.5%,72.1,12.5%,62.5%,12.5%,88.9%,62.5%,50.0%,0.0%,12.5%,37.5%,25.0%,37.5%,37.5%,25.0%
Jose Siri RHB,,+462,20,2.80,8,0,0,95.2,307.0,3,3,-,-,12.5%,50.0%,37.5%,73.7,42.9%,50.0%,21.4%,93.3%,62.5%,37.5%,0.0%,25.0%,37.5%,37.5%,50.0%,12.5%,42.9%
Mike Trout RHB,,+475,14,4.40,8,0,1,94.0,308.7,2,1,12.5%,-,-,50.0%,50.0%,74.4,30.0%,60.0%,30.0%,90.9%,62.5%,37.5%,0.0%,25.0%,37.5%,-,87.5%,12.5%,20.0%
Denzer Guzman RHB,,+800,16,2.80,8,0,0,85.3,249.8,1,0,-,-,12.5%,37.5%,25.0%,76.1,70.0%,30.0%,30.0%,83.3%,25.0%,12.5%,0.0%,12.5%,75.0%,37.5%,25.0%,37.5%,16.7%
Tyler Heineman SHB,—,N/A,9,3.40,8,0,0,70.1,201.5,0,0,-,-,-,-,12.5%,63.8,-,44.4%,-,90.0%,37.5%,25.0%,0.0%,12.5%,25.0%,12.5%,37.5%,50.0%,42.9%
Adam Frazier LHB,—,N/A,8,2.40,8,0,0,83.7,288.1,1,0,-,-,12.5%,37.5%,25.0%,66.3,-,60.0%,20.0%,83.3%,25.0%,12.5%,0.0%,12.5%,62.5%,62.5%,25.0%,12.5%,0.0%
Oswald Peraza RHB,—,N/A,18,3.60,8,0,0,79.4,231.7,1,0,-,-,12.5%,-,25.0%,72.2,23.1%,38.5%,-,100.0%,62.5%,25.0%,0.0%,37.5%,12.5%,25.0%,12.5%,62.5%,50.0%
Wade Meckler LHB,—,N/A,13,3.60,8,0,0,84.7,209.9,0,0,-,-,12.5%,37.5%,12.5%,70.0,12.5%,62.5%,25.0%,100.0%,25.0%,12.5%,0.0%,12.5%,62.5%,62.5%,25.0%,12.5%,0.0%
Vaughn Grissom RHB,,+850,9,4.20,8,0,0,85.1,295.5,4,0,-,-,12.5%,25.0%,50.0%,71.3,18.2%,45.5%,9.1%,73.3%,62.5%,12.5%,0.0%,50.0%,37.5%,12.5%,50.0%,37.5%,28.6%
Josh Lowe LHB,—,N/A,7,2.60,8,0,0,86.5,285.2,3,1,-,-,12.5%,62.5%,25.0%,73.2,33.3%,41.7%,33.3%,92.3%,62.5%,37.5%,0.0%,25.0%,37.5%,37.5%,50.0%,12.5%,20.0%
Zach Neto RHB,,+375,28,4.60,8,0,0,88.4,260.4,1,0,-,-,12.5%,25.0%,87.5%,72.4,30.0%,50.0%,20.0%,100.0%,75.0%,-,-,75.0%,25.0%,25.0%,50.0%,25.0%,33.3%
Christian Moore RHB,,+630,7,3.80,8,0,0,94.1,228.9,0,0,-,-,12.5%,50.0%,25.0%,70.9,22.2%,66.7%,22.2%,100.0%,25.0%,-,-,25.0%,75.0%,25.0%,62.5%,12.5%,25.0%
Moisés Ballesteros LHB,,+1120,22,3.60,8,0,0,78.3,241.8,0,0,-,-,-,25.0%,37.5%,70.3,12.5%,50.0%,12.5%,88.9%,37.5%,-,-,37.5%,50.0%,25.0%,50.0%,25.0%,57.1%
Kyren Paris RHB,,+690,-,2.33,2,0,0,99.9,379.0,1,1,-,-,-,100.0%,-,70.7,-,50.0%,50.0%,100.0%,50.0%,50.0%,0.0%,-,50.0%,50.0%,50.0%,-,0.0%
