Matchup,LAA @ MIA
Pitcher,Grayson Rodriguez
Pitcher Team,LAA
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.0,234,0.292,0.380,0.530,0.238,1.59,9,1.59,9.4%,22.3%,17.9%,13.7%,10.8%,7.41,58.5%,7.9%,11.5%,49.7%,29.7%,16.3%,18.8%
vsLHB,25.1,126,0.333,0.402,0.556,0.222,1.97,4,1.42,11.1%,20.7%,14.3%,10.4%,10.0%,6.39,60.3%,7.5%,8.6%,54.8%,30.1%,14.3%,14.0%
vsRHB,25.2,108,0.245,0.354,0.500,0.255,1.21,5,1.75,7.4%,24.2%,22.2%,18.0%,11.8%,8.42,56.5%,8.3%,15.3%,43.1%,29.2%,19.0%,25.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Owen Caissie LHB,—,N/A,32,3.60,10,3,3,93.0,331.8,5,5,30.0%,20.0%,40.0%,40.0%,60.0%,74.9,61.5%,53.8%,23.1%,92.9%,90.0%,80.0%,37.5%,10.0%,10.0%,40.0%,10.0%,50.0%,33.3%
Griffin Conine LHB,—,N/A,28,3.60,10,2,2,95.5,262.8,2,2,10.0%,-,20.0%,50.0%,40.0%,74.0,42.9%,57.1%,28.6%,100.0%,50.0%,20.0%,100.0%,30.0%,20.0%,30.0%,50.0%,20.0%,44.4%
Jakob Marsee LHB,—,N/A,16,3.40,10,1,1,92.9,295.1,4,2,10.0%,10.0%,40.0%,50.0%,40.0%,71.6,8.3%,66.7%,25.0%,100.0%,80.0%,40.0%,25.0%,40.0%,10.0%,50.0%,20.0%,30.0%,25.0%
Kyle Stowers LHB,—,N/A,33,4.20,10,1,1,92.6,298.2,4,1,10.0%,-,20.0%,50.0%,30.0%,79.7,90.9%,54.5%,36.4%,100.0%,80.0%,60.0%,16.7%,20.0%,20.0%,40.0%,50.0%,10.0%,50.0%
Joe Mack LHB,—,N/A,22,2.80,10,0,0,84.4,196.3,0,0,-,-,20.0%,40.0%,10.0%,74.1,41.2%,35.3%,11.8%,100.0%,10.0%,-,-,10.0%,80.0%,70.0%,30.0%,-,33.3%
Esteury Ruiz RHB,—,N/A,21,3.20,10,0,0,83.5,228.7,2,0,-,-,30.0%,20.0%,50.0%,71.6,18.2%,54.5%,9.1%,100.0%,70.0%,30.0%,0.0%,40.0%,20.0%,50.0%,20.0%,30.0%,71.4%
Xavier Edwards SHB,—,N/A,15,4.20,10,0,0,93.7,287.6,3,1,-,-,20.0%,60.0%,40.0%,68.9,-,57.1%,21.4%,93.3%,50.0%,20.0%,0.0%,30.0%,50.0%,40.0%,50.0%,10.0%,25.0%
Otto Lopez RHB,—,N/A,21,4.40,10,0,0,79.1,251.2,1,0,-,-,-,10.0%,10.0%,72.3,20.0%,13.3%,-,88.2%,30.0%,20.0%,0.0%,10.0%,70.0%,30.0%,70.0%,-,14.3%
Leo Jimenez RHB,—,N/A,33,3.40,10,0,0,90.5,307.2,5,2,-,-,40.0%,40.0%,30.0%,72.1,21.4%,57.1%,21.4%,82.4%,60.0%,40.0%,0.0%,20.0%,40.0%,60.0%,20.0%,20.0%,0.0%
Heriberto Hernandez RHB,—,N/A,23,3.80,10,0,0,88.5,227.5,2,2,-,-,30.0%,40.0%,30.0%,73.4,33.3%,33.3%,5.6%,100.0%,60.0%,40.0%,0.0%,20.0%,30.0%,30.0%,50.0%,20.0%,25.0%
Agustin Ramirez RHB,—,N/A,13,2.60,10,0,0,87.2,237.8,0,0,-,-,40.0%,30.0%,30.0%,76.4,73.3%,26.7%,13.3%,88.2%,50.0%,20.0%,0.0%,30.0%,40.0%,70.0%,20.0%,10.0%,62.5%
Javier Sanoja RHB,—,N/A,13,3.20,10,0,1,89.7,268.2,4,1,10.0%,10.0%,40.0%,40.0%,50.0%,70.7,21.1%,36.8%,15.8%,95.0%,60.0%,30.0%,0.0%,30.0%,30.0%,60.0%,30.0%,10.0%,66.7%
Brian Navarreto RHB,—,N/A,-,2.20,3,0,0,45.0,-,0,0,-,-,-,-,66.7%,74.9,-,-,-,33.3%,-,-,-,-,33.3%,66.7%,-,33.3%,33.3%
