Matchup,LAA @ SEA
Pitcher,Grayson Rodriguez
Pitcher Team,LAA
Opposing Team,SEA
Source,SyntheticGapFill

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,54.2,235,0.261,0.324,0.412,0.152,1.35,8,1.32,8.1%,25.6%,22.6%,17.0%,12.8%,8.73,66.8%,8.1%,7.5%,37.5%,25.6%,17.1%,18.8%
vsLHB,31.2,142,0.278,0.355,0.468,0.190,1.55,6,1.71,9.9%,28.2%,24.6%,17.9%,13.9%,9.95,64.1%,7.4%,7.6%,44.6%,32.6%,20.0%,21.7%
vsRHB,23.0,93,0.235,0.276,0.329,0.094,1.09,2,0.78,5.4%,21.5%,19.4%,15.5%,11.0%,7.04,71.0%,9.3%,7.4%,27.9%,16.2%,9.1%,14.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Cal Raleigh SHB,—,N/A,30,4.20,8,0,0,86.2,262.1,3,1,-,-,-,25.0%,37.5%,76.8,64.3%,14.3%,7.1%,100.0%,75.0%,62.5%,0.0%,12.5%,-,-,50.0%,50.0%,50.0%
JP Crawford LHB,—,N/A,23,4.40,8,0,0,87.2,237.9,1,1,-,-,25.0%,37.5%,37.5%,71.2,7.1%,28.6%,7.1%,100.0%,62.5%,37.5%,0.0%,25.0%,37.5%,37.5%,62.5%,-,14.3%
Josh Naylor LHB,—,N/A,20,4.20,8,0,0,83.3,264.4,2,0,-,-,25.0%,25.0%,37.5%,69.7,-,45.5%,18.2%,91.7%,25.0%,12.5%,0.0%,12.5%,62.5%,62.5%,12.5%,25.0%,14.3%
Randy Arozarena RHB,—,N/A,19,4.40,8,0,1,96.0,326.4,2,0,-,-,-,62.5%,12.5%,69.4,20.0%,60.0%,30.0%,90.9%,25.0%,12.5%,0.0%,12.5%,75.0%,37.5%,25.0%,37.5%,0.0%
Dominic Canzone LHB,—,N/A,19,4.40,8,0,1,92.9,300.2,3,1,12.5%,-,12.5%,50.0%,50.0%,75.9,62.5%,62.5%,50.0%,100.0%,50.0%,25.0%,0.0%,25.0%,37.5%,25.0%,62.5%,12.5%,50.0%
Weston Wilson RHB,—,N/A,18,3.80,8,0,0,91.7,251.4,2,0,-,-,12.5%,50.0%,75.0%,73.4,12.5%,50.0%,37.5%,100.0%,62.5%,12.5%,0.0%,50.0%,37.5%,50.0%,37.5%,12.5%,40.0%
Julio Rodriguez RHB,—,N/A,18,4.20,8,0,0,88.1,216.9,1,1,12.5%,-,37.5%,25.0%,12.5%,75.8,57.1%,57.1%,28.6%,77.8%,50.0%,25.0%,0.0%,25.0%,50.0%,62.5%,25.0%,12.5%,40.0%
Cole Young LHB,—,N/A,17,3.80,8,0,0,87.5,272.6,3,0,-,-,25.0%,12.5%,37.5%,73.2,33.3%,55.6%,11.1%,90.0%,62.5%,50.0%,0.0%,12.5%,37.5%,50.0%,25.0%,25.0%,14.3%
Victor Robles RHB,—,N/A,17,1.80,8,0,0,77.0,297.3,3,0,-,-,12.5%,25.0%,25.0%,67.2,-,62.5%,25.0%,72.7%,50.0%,25.0%,0.0%,25.0%,25.0%,25.0%,75.0%,-,33.3%
Lazaro Montes LHB,—,N/A,14,3.40,8,2,2,93.3,321.7,4,2,25.0%,12.5%,25.0%,62.5%,50.0%,76.5,71.4%,42.9%,35.7%,100.0%,87.5%,62.5%,40.0%,25.0%,12.5%,25.0%,37.5%,37.5%,71.4%
Taylor Ward RHB,—,N/A,13,2.00,8,0,0,87.9,229.5,0,0,-,-,25.0%,62.5%,37.5%,68.8,-,45.5%,27.3%,91.7%,50.0%,12.5%,0.0%,37.5%,37.5%,50.0%,37.5%,12.5%,33.3%
Jhonny Pereda RHB,—,N/A,13,3.40,8,0,0,93.5,323.3,2,0,-,-,-,50.0%,25.0%,71.1,-,63.6%,27.3%,91.7%,25.0%,-,-,25.0%,75.0%,25.0%,37.5%,37.5%,50.0%
Brock Rodden SHB,—,N/A,9,1.60,8,0,1,95.2,276.1,2,0,12.5%,12.5%,37.5%,50.0%,50.0%,69.3,-,43.8%,12.5%,94.1%,100.0%,62.5%,0.0%,37.5%,-,37.5%,50.0%,12.5%,37.5%
Michael Arroyo RHB,—,N/A,6,2.00,3,1,1,95.6,360.5,3,1,33.3%,33.3%,66.7%,33.3%,-,75.0,33.3%,66.7%,33.3%,75.0%,100.0%,100.0%,33.3%,-,-,66.7%,-,33.3%,100.0%
