Matchup,LAD @ ATH
Pitcher,Gage Jump
Pitcher Team,ATH
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,34.1,136,0.197,0.230,0.230,0.033,0.99,0,-,7.4%,23.6%,25.7%,20.1%,12.2%,9.17,65.2%,7.7%,2.2%,32.6%,27.0%,-,10.1%
vsLHB,7.2,33,0.259,0.299,0.296,0.037,1.43,0,-,12.1%,21.7%,21.2%,22.6%,10.9%,8.22,66.7%,8.4%,4.5%,31.8%,27.3%,-,18.2%
vsRHB,26.2,103,0.179,0.210,0.211,0.032,0.86,0,-,5.8%,24.1%,27.2%,19.6%,12.6%,9.45,64.8%,7.5%,1.5%,32.8%,26.9%,-,7.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Max Muncy LHB,,+495,27,13,4.40,1,1,0.364,0.462,0.727,0.364,0.496,15.4%,29.2%,23.1%,13.7%,86.9,231.2,1,1,25.0%,12.5%,37.5%,25.0%,37.5%,70.6,16.7%,22.2%,11.1%,78.3%,62.5%,25.0%,50.0%,37.5%,25.0%,37.5%,50.0%,12.5%,30.8%
Freddie Freeman LHB,,+436,21,12,4.60,1,2,0.167,0.167,0.500,0.333,0.281,-,28.0%,33.3%,13.2%,91.5,341.6,4,2,12.5%,12.5%,12.5%,37.5%,37.5%,71.5,12.5%,29.2%,8.3%,96.0%,50.0%,37.5%,33.3%,12.5%,50.0%,50.0%,25.0%,25.0%,35.7%
Shohei Ohtani LHB,,+240,33,10,4.80,1,1,0.125,0.300,0.500,0.375,0.340,20.0%,23.8%,30.0%,11.4%,98.4,322.0,2,2,40.0%,-,-,80.0%,20.0%,73.6,36.8%,21.1%,21.1%,90.5%,40.0%,40.0%,50.0%,-,40.0%,20.0%,80.0%,-,36.4%
Miguel Rojas RHB,,+725,19,15,1.40,0,0,0.214,0.267,0.286,0.071,0.247,6.7%,17.4%,20.0%,6.8%,92.3,221.6,2,2,9.1%,-,27.3%,45.5%,27.3%,71.2,14.3%,23.8%,4.8%,100.0%,36.4%,18.2%,0.0%,18.2%,36.4%,45.5%,36.4%,18.2%,0.0%
Andy Pages RHB,,+368,19,14,5.20,0,0,-,0.357,-,-,0.237,28.6%,29.2%,21.4%,13.7%,88.9,283.6,2,1,-,-,-,33.3%,16.7%,73.7,37.5%,16.7%,4.2%,100.0%,50.0%,50.0%,0.0%,-,33.3%,-,83.3%,16.7%,66.7%
Kyle Tucker LHB,,+531,20,13,3.40,0,0,0.111,0.385,0.111,-,0.274,23.1%,26.5%,30.8%,11.4%,92.4,261.4,1,0,-,-,-,40.0%,-,70.7,20.0%,13.3%,-,90.9%,40.0%,40.0%,0.0%,-,60.0%,60.0%,20.0%,20.0%,33.3%
Mookie Betts RHB,,+430,23,12,4.60,0,0,0.100,0.250,0.100,-,0.182,16.7%,7.7%,16.7%,2.4%,92.1,305.8,2,1,12.5%,-,-,37.5%,50.0%,70.4,16.7%,50.0%,8.3%,92.3%,62.5%,37.5%,0.0%,25.0%,37.5%,-,75.0%,25.0%,10.0%
Alex Call RHB,—,N/A,12,12,3.00,0,0,0.200,0.333,0.200,-,0.256,16.7%,28.1%,16.7%,13.8%,83.1,217.7,1,0,-,-,14.3%,14.3%,28.6%,66.6,7.1%,14.3%,3.6%,90.3%,42.9%,14.3%,0.0%,28.6%,42.9%,14.3%,57.1%,28.6%,33.3%
Alex Freeland SHB,,+750,7,11,3.60,0,0,0.182,0.182,0.182,-,0.162,-,40.0%,36.4%,16.7%,85.9,262.0,2,0,-,-,28.6%,14.3%,28.6%,68.9,-,26.7%,6.7%,78.9%,57.2%,42.9%,0.0%,14.3%,42.9%,57.1%,28.6%,14.3%,33.3%
Dalton Rushing LHB,,+493,20,10,2.80,0,0,0.200,0.200,0.300,0.100,0.216,-,27.6%,20.0%,16.0%,89.1,270.5,2,0,-,-,37.5%,37.5%,12.5%,72.2,20.8%,25.0%,4.2%,85.7%,62.5%,50.0%,0.0%,12.5%,37.5%,50.0%,37.5%,12.5%,63.6%
Tommy Edman SHB,,+610,-,7,4.00,0,0,0.167,0.286,0.167,-,0.220,14.3%,9.1%,14.3%,3.8%,91.6,220.3,0,0,-,-,-,40.0%,20.0%,73.2,36.4%,27.3%,18.2%,100.0%,20.0%,20.0%,0.0%,-,80.0%,40.0%,60.0%,-,25.0%
Chuckie Robinson RHB,—,N/A,2,2,3.00,0,0,-,-,-,-,-,-,0.0%,-,-,87.5,58.2,0,0,-,-,-,-,-,75.2,100.0%,-,-,50.0%,-,-,-,-,50.0%,-,50.0%,50.0%,50.0%
Ryan Ward LHB,—,N/A,-,2,2.80,0,0,-,-,-,-,-,-,50.0%,100.0%,33.3%,-,-,0,0,-,-,-,-,-,71.7,25.0%,-,-,100.0%,-,-,-,-,-,-,-,-,100.0%
