Matchup,LAD @ ATH
Pitcher,Jeffrey Springs
Pitcher Team,ATH
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,49.1,221,0.286,0.391,0.596,0.310,1.52,16,2.92,7.7%,22.0%,19.5%,16.5%,10.9%,7.84,57.2%,6.4%,10.6%,39.1%,34.2%,20.0%,18.0%
vsLHB,16.2,68,0.234,0.336,0.531,0.297,1.14,4,2.16,5.9%,17.3%,20.6%,19.4%,8.5%,7.56,56.5%,5.8%,8.0%,38.0%,28.0%,14.3%,14.0%
vsRHB,32.2,153,0.309,0.416,0.626,0.317,1.71,12,3.31,8.5%,23.9%,19.0%,15.3%,11.9%,7.99,57.5%,6.6%,11.7%,39.6%,36.9%,22.0%,19.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Max Muncy LHB,—,N/A,15,13,4.20,2,2,0.455,0.538,1.000,0.545,0.628,15.4%,20.8%,15.4%,10.2%,86.7,240.9,2,2,22.2%,11.1%,22.2%,22.2%,22.2%,71.4,16.7%,22.2%,11.1%,78.3%,44.4%,33.3%,66.7%,11.1%,33.3%,33.3%,44.4%,22.2%,36.4%
Freddie Freeman LHB,,+340,16,13,4.40,1,2,0.231,0.231,0.538,0.308,0.328,-,20.7%,23.1%,10.7%,88.9,315.7,4,2,10.0%,10.0%,20.0%,40.0%,40.0%,70.6,11.1%,29.6%,11.1%,93.1%,50.0%,30.0%,33.3%,20.0%,50.0%,60.0%,30.0%,10.0%,28.6%
Andy Pages RHB,,+352,11,11,5.00,1,1,0.286,0.545,0.714,0.429,0.514,27.3%,27.8%,18.2%,11.1%,97.6,319.8,2,1,20.0%,20.0%,20.0%,60.0%,20.0%,73.4,33.3%,22.2%,16.7%,100.0%,60.0%,60.0%,33.3%,-,40.0%,20.0%,60.0%,20.0%,46.2%
Shohei Ohtani LHB,,+215,16,10,4.80,1,1,0.125,0.300,0.500,0.375,0.340,20.0%,19.0%,30.0%,8.7%,99.6,322.0,2,2,40.0%,-,-,60.0%,20.0%,73.7,33.3%,27.8%,16.7%,85.7%,40.0%,40.0%,50.0%,-,40.0%,20.0%,80.0%,-,42.9%
Miguel Rojas RHB,,+680,15,14,1.40,0,0,0.308,0.357,0.462,0.154,0.355,7.1%,13.0%,-,6.2%,93.4,233.0,3,2,7.7%,-,38.5%,53.8%,38.5%,72.1,9.5%,33.3%,9.5%,100.0%,46.2%,15.4%,0.0%,30.8%,38.5%,53.8%,38.5%,7.7%,0.0%
Teoscar Hernandez RHB,,+370,15,13,3.40,0,0,0.364,0.462,0.364,-,0.379,7.7%,25.0%,23.1%,10.9%,94.0,182.0,0,0,-,-,12.5%,62.5%,50.0%,72.4,30.4%,26.1%,17.4%,95.8%,50.0%,-,-,50.0%,50.0%,37.5%,37.5%,25.0%,27.3%
Kyle Tucker LHB,,+464,17,12,3.60,0,0,0.400,0.500,0.400,-,0.411,8.3%,21.4%,16.7%,10.7%,94.5,283.2,2,0,-,-,-,50.0%,12.5%,72.3,20.8%,25.0%,4.2%,88.9%,50.0%,37.5%,0.0%,12.5%,50.0%,50.0%,37.5%,12.5%,46.2%
Mookie Betts RHB,,+400,18,11,4.40,0,0,-,0.091,-,-,0.059,9.1%,0.0%,9.1%,-,91.0,320.6,4,1,11.1%,-,-,22.2%,44.4%,71.6,16.7%,50.0%,8.3%,92.3%,66.6%,44.4%,0.0%,22.2%,33.3%,-,77.8%,22.2%,18.2%
Alex Call RHB,—,N/A,14,10,3.00,0,0,0.125,0.300,0.125,-,0.219,20.0%,32.1%,10.0%,16.4%,82.9,237.4,1,0,-,-,-,16.7%,16.7%,66.0,4.2%,16.7%,4.2%,88.9%,33.4%,16.7%,0.0%,16.7%,50.0%,-,66.7%,33.3%,35.7%
Alex Freeland SHB,—,N/A,4,10,3.40,0,0,0.100,0.100,0.100,-,0.089,-,44.4%,40.0%,18.6%,86.7,294.6,2,0,-,-,16.7%,16.7%,16.7%,68.9,-,30.8%,7.7%,76.5%,50.0%,50.0%,0.0%,-,50.0%,50.0%,33.3%,16.7%,33.3%
Dalton Rushing LHB,,+417,14,8,3.60,0,0,0.250,0.250,0.375,0.125,0.270,-,28.0%,25.0%,16.7%,85.6,225.5,1,0,-,-,33.3%,33.3%,16.7%,72.4,22.7%,18.2%,4.5%,91.7%,50.0%,33.3%,0.0%,16.7%,50.0%,50.0%,33.3%,16.7%,70.0%
Tommy Edman SHB,—,N/A,2,6,4.60,0,0,0.167,0.167,0.167,-,0.148,-,16.7%,33.3%,6.9%,92.9,220.3,0,0,-,-,-,50.0%,25.0%,73.6,45.5%,27.3%,18.2%,100.0%,25.0%,25.0%,0.0%,-,75.0%,25.0%,75.0%,-,37.5%
Chuckie Robinson RHB,—,N/A,1,2,3.20,0,0,-,-,-,-,-,-,0.0%,-,-,80.3,137.8,0,0,-,-,-,-,-,72.5,33.3%,-,-,100.0%,-,-,-,-,-,-,50.0%,50.0%,60.0%
