Matchup,LAD @ PIT
Pitcher,Justin Wrobleski
Pitcher Team,LAD
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,68.2,274,0.214,0.250,0.307,0.093,1.00,4,0.52,5.1%,17.2%,16.1%,14.9%,8.5%,5.77,64.0%,7.4%,7.0%,42.5%,31.8%,5.9%,10.3%
vsLHB,17.2,75,0.232,0.297,0.406,0.174,1.13,3,1.53,5.3%,22.1%,17.3%,19.7%,10.5%,6.62,60.0%,8.9%,7.0%,36.8%,29.8%,17.6%,7.0%
vsRHB,51.0,199,0.207,0.232,0.271,0.064,0.96,1,0.18,5.0%,15.6%,15.6%,13.5%,7.7%,5.47,65.5%,6.9%,7.0%,44.6%,32.5%,2.0%,11.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Marcell Ozuna RHB,,+590,26,17,3.60,1,1,0.357,0.471,0.571,0.214,0.447,17.6%,32.3%,29.4%,15.6%,96.0,282.1,3,1,11.1%,11.1%,22.2%,66.7%,55.6%,72.4,31.0%,27.6%,17.2%,93.5%,33.3%,33.3%,33.3%,33.3%,55.6%,33.3%,11.1%,36.4%
Ryan O'Hearn LHB,,+710,25,13,3.60,1,1,0.154,0.154,0.385,0.231,0.230,-,14.8%,38.5%,9.1%,83.0,272.9,1,1,-,-,12.5%,37.5%,12.5%,70.6,9.5%,23.8%,14.3%,77.8%,25.0%,50.0%,12.5%,62.5%,50.0%,25.0%,25.0%,23.1%
Spencer Horwitz LHB,—,N/A,14,13,4.40,1,1,0.500,0.538,0.800,0.300,0.535,15.4%,25.0%,23.1%,11.8%,92.7,309.4,2,2,25.0%,-,-,75.0%,12.5%,70.0,14.3%,35.7%,21.4%,70.0%,25.0%,50.0%,12.5%,62.5%,25.0%,37.5%,37.5%,17.6%
Bryan Reynolds SHB,,+725,29,11,4.20,0,0,0.444,0.545,0.667,0.222,0.511,18.2%,34.8%,18.2%,18.6%,96.4,271.7,2,0,14.3%,-,14.3%,57.1%,42.9%,74.3,50.0%,33.3%,22.2%,78.3%,14.3%,0.0%,42.9%,42.9%,42.9%,28.6%,28.6%,50.0%
Brandon Lowe LHB,,+462,33,10,3.40,0,0,-,0.100,-,-,0.065,10.0%,19.2%,30.0%,10.6%,89.3,225.0,1,0,-,-,33.3%,-,-,72.7,33.3%,25.0%,-,92.3%,50.0%,0.0%,-,33.3%,66.7%,16.7%,16.7%,30.0%
Nick Gonzales RHB,,+970,16,10,4.00,0,0,0.143,0.300,0.286,0.143,0.257,20.0%,10.5%,10.0%,5.1%,86.2,269.4,2,0,-,-,14.3%,28.6%,28.6%,70.4,6.2%,12.5%,-,94.1%,57.1%,0.0%,14.3%,14.3%,28.6%,-,71.4%,20.0%
Jake Mangum SHB,,+1900,13,8,3.40,0,0,0.250,0.250,0.375,0.125,0.270,-,17.2%,37.5%,11.9%,85.4,257.1,1,0,-,-,20.0%,20.0%,40.0%,64.5,4.0%,16.0%,-,86.2%,-,-,40.0%,60.0%,40.0%,40.0%,20.0%,45.5%
Billy Cook RHB,,+880,9,7,2.00,0,0,0.143,0.143,0.143,-,0.127,-,43.8%,42.9%,33.3%,76.0,295.6,0,0,-,-,-,25.0%,25.0%,73.3,20.0%,20.0%,-,93.8%,-,-,25.0%,50.0%,75.0%,25.0%,-,77.8%
Jared Triolo RHB,,+1250,14,6,3.40,0,1,0.333,0.333,0.333,-,0.297,-,0.0%,-,-,86.9,279.5,1,1,-,-,16.7%,50.0%,50.0%,71.1,20.0%,50.0%,30.0%,90.9%,-,-,50.0%,33.3%,50.0%,50.0%,-,11.1%
Davis Wendzel RHB,,+600,2,3,4.00,0,0,-,-,-,-,-,-,30.0%,-,27.3%,89.6,233.9,1,0,-,-,-,33.3%,33.3%,70.8,33.3%,22.2%,11.1%,90.0%,33.3%,0.0%,33.3%,-,-,66.7%,33.3%,66.7%
Tyler Callihan LHB,—,N/A,-,3,3.40,0,0,0.500,0.667,1.000,0.500,0.640,33.3%,33.3%,-,15.4%,92.1,338.8,2,1,-,-,-,50.0%,100.0%,68.9,-,-,-,80.0%,50.0%,0.0%,50.0%,-,-,100.0%,-,33.3%
Endy Rodriguez SHB,—,N/A,-,1,2.20,0,0,-,-,-,-,-,-,0.0%,-,-,85.5,131.6,0,0,-,-,-,-,-,69.3,-,-,-,100.0%,-,-,-,-,-,-,100.0%,0.0%
