Matchup,LAD @ PIT
Pitcher,Mitch Keller
Pitcher Team,PIT
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,73.0,305,0.243,0.296,0.362,0.120,1.23,5,0.62,7.5%,20.9%,17.7%,16.5%,10.1%,6.66,61.3%,8.1%,6.7%,38.6%,21.1%,10.6%,15.2%
vsLHB,43.1,187,0.269,0.325,0.427,0.158,1.32,4,0.83,5.9%,19.5%,17.6%,18.0%,9.5%,6.85,56.1%,7.9%,8.6%,40.0%,20.7%,13.8%,17.1%
vsRHB,29.0,118,0.200,0.251,0.257,0.057,1.14,1,0.31,10.2%,23.3%,17.8%,14.6%,11.0%,6.52,69.5%,8.2%,3.6%,36.1%,21.7%,5.6%,12.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Freddie Freeman LHB,,+475,30,25,4.20,2,2,0.500,0.520,0.864,0.364,0.571,8.0%,18.5%,12.0%,9.9%,87.1,257.5,5,4,20.0%,5.0%,10.0%,45.0%,35.0%,69.8,4.3%,21.3%,14.9%,88.7%,30.0%,33.3%,25.0%,35.0%,25.0%,40.0%,35.0%,30.4%
Will Smith RHB,—,N/A,20,15,4.00,2,3,0.556,0.733,1.444,0.889,0.768,40.0%,19.0%,6.7%,6.0%,96.9,298.9,4,3,25.0%,-,25.0%,62.5%,75.0%,70.3,5.3%,36.8%,15.8%,90.5%,50.0%,50.0%,37.5%,12.5%,37.5%,37.5%,25.0%,25.0%
Ryan Ward LHB,,+630,18,22,3.80,1,2,0.238,0.273,0.429,0.190,0.304,4.5%,30.6%,36.4%,17.0%,93.2,306.4,4,3,7.7%,7.7%,15.4%,38.5%,38.5%,72.3,11.4%,18.2%,9.1%,91.7%,23.1%,33.3%,30.8%,46.2%,46.2%,30.8%,23.1%,43.5%
Dalton Rushing LHB,,+475,48,22,4.00,1,2,0.421,0.500,0.684,0.263,0.502,13.6%,27.9%,22.7%,15.6%,86.3,252.2,3,2,14.3%,7.1%,35.7%,35.7%,57.1%,71.9,10.0%,20.0%,7.5%,93.0%,14.3%,50.0%,50.0%,28.6%,50.0%,35.7%,14.3%,47.6%
Kyle Tucker LHB,,+550,26,20,4.40,1,2,0.235,0.300,0.471,0.235,0.322,10.0%,36.8%,25.0%,15.1%,90.9,302.0,4,2,7.7%,7.7%,15.4%,38.5%,53.8%,71.0,18.2%,33.3%,12.1%,89.2%,15.4%,50.0%,38.5%,46.2%,38.5%,46.2%,15.4%,28.0%
Max Muncy LHB,,+340,36,16,3.40,1,1,0.400,0.438,0.667,0.267,0.474,6.2%,29.0%,18.8%,13.0%,88.3,288.5,3,1,16.7%,16.7%,25.0%,50.0%,33.3%,71.1,15.4%,26.9%,23.1%,86.7%,16.7%,50.0%,16.7%,58.3%,58.3%,16.7%,25.0%,30.8%
Shohei Ohtani LHB,,+270,31,23,4.80,0,1,0.333,0.391,0.476,0.143,0.376,8.7%,35.4%,30.4%,15.9%,90.8,251.6,3,1,7.1%,-,21.4%,57.1%,64.3%,73.5,37.2%,18.6%,11.6%,91.5%,28.6%,0.0%,42.9%,28.6%,42.9%,35.7%,21.4%,40.7%
Mookie Betts RHB,,+670,13,19,4.20,0,1,0.222,0.263,0.278,0.056,0.242,5.3%,10.0%,5.3%,4.2%,87.2,254.6,4,2,5.9%,-,11.8%,29.4%,35.3%,69.4,6.9%,34.5%,13.8%,100.0%,17.6%,0.0%,41.2%,35.3%,29.4%,52.9%,17.6%,22.7%
Alex Freeland SHB,,+830,29,19,3.40,0,0,0.333,0.474,0.333,-,0.371,21.1%,6.7%,10.5%,2.5%,88.0,245.1,2,1,-,-,-,46.2%,38.5%,69.4,7.1%,35.7%,10.7%,96.6%,23.1%,0.0%,30.8%,30.8%,-,61.5%,38.5%,26.3%
Andy Pages RHB,,+520,34,17,4.80,0,0,0.143,0.235,0.214,0.071,0.203,11.8%,35.3%,23.5%,13.6%,85.9,245.8,2,2,9.1%,-,9.1%,36.4%,18.2%,73.0,17.6%,14.7%,5.9%,100.0%,27.3%,0.0%,27.3%,27.3%,27.3%,36.4%,36.4%,22.7%
