Matchup,MIA @ ARI
Pitcher,Merrill Kelly
Pitcher Team,ARI
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,152.0,659,0.266,0.347,0.466,0.199,1.46,27,1.60,10.2%,21.4%,15.5%,15.2%,10.5%,6.04,61.3%,4.7%,11.5%,41.8%,26.7%,16.9%,19.3%
vsLHB,87.2,398,0.268,0.362,0.493,0.225,1.61,18,1.85,12.1%,19.4%,13.1%,13.6%,9.1%,5.34,57.9%,4.0%,12.2%,43.9%,29.4%,19.5%,18.2%
vsRHB,62.0,261,0.264,0.325,0.426,0.162,1.31,9,1.31,7.3%,24.4%,19.2%,17.4%,12.7%,7.26,66.5%,5.8%,10.5%,38.4%,22.6%,11.6%,21.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jakob Marsee LHB,,+910,11,4.20,5,1,1,86.5,276.0,1,1,-,-,40.0%,40.0%,60.0%,68.9,-,42.9%,14.3%,77.8%,80.0%,40.0%,50.0%,40.0%,20.0%,60.0%,40.0%,-,40.0%
Griffin Conine LHB,,+450,13,3.60,5,1,1,80.6,277.8,1,1,20.0%,20.0%,20.0%,20.0%,60.0%,75.4,75.0%,37.5%,12.5%,72.7%,40.0%,20.0%,100.0%,20.0%,40.0%,40.0%,40.0%,20.0%,33.3%
Graham Pauley LHB,—,N/A,21,3.60,5,1,1,93.7,193.4,1,1,20.0%,-,20.0%,40.0%,40.0%,74.2,50.0%,66.7%,33.3%,85.7%,40.0%,20.0%,100.0%,20.0%,20.0%,20.0%,60.0%,20.0%,40.0%
Agustin Ramirez RHB,,+850,13,2.60,5,1,1,92.6,314.3,1,1,20.0%,20.0%,40.0%,60.0%,40.0%,75.4,41.7%,25.0%,25.0%,92.3%,60.0%,40.0%,50.0%,20.0%,40.0%,60.0%,40.0%,-,40.0%
Javier Sanoja RHB,,+1160,11,4.20,5,1,2,91.1,290.2,2,1,20.0%,20.0%,60.0%,40.0%,20.0%,70.4,-,50.0%,16.7%,66.7%,60.0%,60.0%,33.3%,-,20.0%,60.0%,-,40.0%,80.0%
Joe Mack LHB,,+760,12,3.40,5,0,0,92.9,325.5,2,2,-,-,-,60.0%,20.0%,72.6,14.3%,57.1%,14.3%,87.5%,60.0%,60.0%,0.0%,-,40.0%,20.0%,40.0%,40.0%,40.0%
Esteury Ruiz RHB,,+1050,20,2.80,5,0,1,69.6,240.5,1,1,20.0%,-,-,20.0%,20.0%,70.1,-,14.3%,14.3%,100.0%,20.0%,20.0%,0.0%,-,60.0%,60.0%,20.0%,20.0%,20.0%
Brian Navarreto RHB,—,N/A,2,2.20,5,0,0,63.9,52.8,0,0,-,-,-,-,20.0%,71.6,11.1%,-,-,90.0%,-,-,-,-,60.0%,60.0%,-,40.0%,40.0%
Xavier Edwards SHB,,+1750,4,4.00,5,0,0,85.4,271.5,1,0,-,-,20.0%,20.0%,40.0%,68.9,-,33.3%,11.1%,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,60.0%,20.0%,20.0%,25.0%
Otto Lopez RHB,,+950,10,4.60,5,0,1,93.3,302.0,2,1,-,-,-,60.0%,60.0%,72.7,28.6%,42.9%,42.9%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,-,60.0%,40.0%,75.0%
Kyle Stowers LHB,,+380,16,4.60,5,0,1,89.5,295.3,3,1,-,-,40.0%,60.0%,20.0%,74.6,25.0%,37.5%,37.5%,88.9%,60.0%,40.0%,0.0%,20.0%,20.0%,60.0%,20.0%,20.0%,20.0%
Deyvison De Los Santos RHB,—,N/A,-,2.40,5,0,0,84.4,296.1,0,0,-,-,-,-,-,75.0,55.6%,11.1%,-,100.0%,20.0%,20.0%,0.0%,-,80.0%,40.0%,40.0%,20.0%,40.0%
Heriberto Hernandez RHB,,+425,21,4.80,5,0,0,89.2,184.0,0,0,-,-,-,40.0%,20.0%,75.0,50.0%,33.3%,33.3%,100.0%,20.0%,20.0%,0.0%,-,60.0%,-,60.0%,40.0%,25.0%
Jared Serna RHB,—,N/A,-,2.20,3,0,0,83.2,319.0,1,0,-,-,-,66.7%,33.3%,65.9,-,66.7%,-,75.0%,33.3%,-,-,33.3%,66.7%,-,100.0%,-,33.3%
