Matchup,MIA @ COL
Pitcher,Eury Perez
Pitcher Team,MIA
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,49.2,209,0.220,0.312,0.419,0.199,1.21,8,1.45,9.1%,26.8%,25.8%,18.8%,13.6%,9.79,62.6%,8.5%,14.4%,40.9%,24.2%,18.8%,22.7%
vsLHB,28.0,118,0.212,0.289,0.356,0.144,1.21,2,0.64,10.2%,28.8%,28.0%,19.8%,14.0%,10.61,60.0%,7.2%,14.1%,42.3%,26.8%,5.3%,21.1%
vsRHB,21.2,91,0.232,0.343,0.500,0.268,1.20,6,2.49,7.7%,24.2%,23.1%,17.5%,13.1%,8.72,65.9%,10.3%,14.8%,39.3%,21.3%,38.5%,24.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Hunter Goodman RHB,,+220,31,28,4.80,3,5,0.179,0.179,0.536,0.357,0.302,-,31.4%,28.6%,17.6%,93.0,270.8,7,5,25.0%,10.0%,25.0%,45.0%,15.0%,75.2,50.0%,25.0%,18.2%,88.0%,55.0%,45.0%,33.3%,10.0%,25.0%,40.0%,30.0%,30.0%,33.3%
Brett Sullivan LHB,—,N/A,14,18,3.40,3,4,0.375,0.389,0.938,0.562,0.534,5.6%,10.5%,16.7%,5.8%,91.6,292.1,6,5,14.3%,14.3%,57.1%,35.7%,64.3%,69.8,8.3%,33.3%,8.3%,100.0%,85.7%,57.1%,37.5%,28.6%,7.1%,64.3%,28.6%,7.1%,33.3%
TJ Rumfield LHB,,+480,33,22,4.80,2,3,0.400,0.455,0.750,0.350,0.513,4.5%,27.5%,13.6%,12.5%,88.2,301.5,5,4,6.2%,-,18.8%,37.5%,43.8%,68.6,5.6%,33.3%,13.9%,92.3%,62.4%,31.2%,40.0%,31.2%,37.5%,43.8%,37.5%,18.8%,36.0%
Kyle Karros RHB,,+860,18,18,3.20,2,2,0.333,0.333,0.778,0.444,0.472,-,18.2%,16.7%,10.2%,92.0,314.8,4,4,20.0%,6.7%,13.3%,60.0%,33.3%,70.1,5.0%,40.0%,20.0%,90.9%,46.6%,33.3%,40.0%,13.3%,53.3%,60.0%,13.3%,26.7%,53.3%
Jake McCarthy LHB,,+750,31,25,4.20,1,1,0.292,0.320,0.667,0.375,0.414,4.0%,17.8%,8.0%,9.3%,85.2,262.8,6,1,4.5%,4.5%,18.2%,27.3%,50.0%,72.1,20.0%,40.0%,8.6%,81.4%,54.5%,22.7%,0.0%,31.8%,40.9%,31.8%,40.9%,27.3%,45.8%
Tyler Freeman RHB,—,N/A,12,24,4.00,0,1,0.300,0.417,0.350,0.050,0.355,4.2%,4.8%,12.5%,2.7%,87.5,224.8,3,1,-,-,-,35.3%,35.3%,70.0,8.3%,33.3%,8.3%,87.8%,52.9%,17.6%,0.0%,35.3%,35.3%,17.6%,29.4%,52.9%,36.8%
Cole Carrigg SHB,,+630,24,22,4.00,0,0,0.267,0.500,0.400,0.133,0.406,27.3%,27.0%,4.5%,13.0%,83.1,243.4,2,1,-,-,21.4%,28.6%,42.9%,73.3,43.3%,13.3%,10.0%,90.9%,64.3%,21.4%,0.0%,42.9%,28.6%,42.9%,35.7%,21.4%,20.0%
Willi Castro SHB,,+500,26,22,4.80,0,0,0.143,0.182,0.190,0.048,0.168,4.5%,27.7%,31.8%,15.3%,96.0,270.6,4,2,14.3%,7.1%,28.6%,57.1%,35.7%,72.4,19.0%,23.8%,9.5%,91.3%,71.4%,35.7%,0.0%,35.7%,28.6%,42.9%,50.0%,7.1%,40.7%
Mickey Moniak LHB,,+280,28,22,2.80,0,0,0.045,0.045,0.091,0.045,0.058,-,27.7%,27.3%,18.8%,89.3,262.3,6,1,6.2%,6.2%,50.0%,25.0%,31.2%,74.9,55.6%,20.0%,6.7%,95.7%,62.6%,43.8%,0.0%,18.8%,25.0%,75.0%,12.5%,12.5%,59.1%
Edouard Julien LHB,,+990,14,20,3.60,0,1,0.111,0.200,0.167,0.056,0.173,10.0%,26.5%,25.0%,12.0%,89.4,286.5,3,2,7.7%,-,-,46.2%,53.8%,72.0,14.8%,29.6%,3.7%,87.1%,53.9%,23.1%,0.0%,30.8%,46.2%,23.1%,53.8%,23.1%,40.0%
