Matchup,MIA @ COL
Pitcher,Sandy Alcantara
Pitcher Team,MIA
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,61.2,266,0.277,0.324,0.426,0.149,1.31,8,1.17,4.5%,18.9%,18.0%,15.8%,10.2%,7.01,63.8%,7.5%,6.5%,35.7%,22.6%,13.3%,15.1%
vsLHB,41.2,177,0.265,0.322,0.440,0.175,1.27,6,1.30,5.1%,19.3%,18.6%,15.8%,10.5%,7.13,62.4%,7.2%,7.6%,35.6%,24.2%,12.5%,17.4%
vsRHB,20.0,89,0.301,0.328,0.398,0.096,1.40,2,0.90,3.4%,18.0%,16.9%,15.8%,9.4%,6.75,66.7%,8.1%,4.5%,35.8%,19.4%,15.4%,10.4%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Hunter Goodman RHB,,+294,31,25,4.60,3,4,0.160,0.160,0.520,0.360,0.288,-,18.4%,12.0%,10.4%,89.6,252.7,6,4,19.0%,-,14.3%,33.3%,23.8%,75.1,56.2%,34.4%,18.8%,88.9%,52.4%,38.1%,25.0%,14.3%,28.6%,33.3%,33.3%,33.3%,40.7%
Brett Sullivan LHB,,+630,13,21,3.40,2,3,0.263,0.286,0.579,0.316,0.358,4.8%,13.2%,19.0%,7.0%,93.2,276.2,6,4,12.5%,12.5%,43.8%,50.0%,56.2%,70.4,6.5%,41.9%,6.5%,100.0%,75.0%,50.0%,25.0%,25.0%,12.5%,56.2%,25.0%,18.8%,42.1%
Kyle Karros RHB,—,N/A,17,19,2.80,2,3,0.368,0.368,0.789,0.421,0.494,-,14.7%,10.5%,8.2%,86.5,316.5,4,4,17.6%,5.9%,11.8%,52.9%,35.3%,71.7,18.2%,36.4%,18.2%,95.7%,35.3%,29.4%,40.0%,5.9%,58.8%,47.1%,23.5%,29.4%,47.6%
Jake McCarthy LHB,,+750,23,31,4.80,1,1,0.379,0.419,0.655,0.276,0.457,6.5%,15.7%,9.7%,9.5%,83.1,273.0,6,1,3.8%,3.8%,11.5%,23.1%,50.0%,71.3,13.9%,44.4%,5.6%,75.0%,50.0%,19.2%,0.0%,30.8%,38.5%,42.3%,34.6%,23.1%,63.0%
Willi Castro SHB,,+527,28,24,4.60,1,1,0.227,0.292,0.409,0.182,0.306,8.3%,29.1%,29.2%,17.2%,95.0,271.2,4,2,20.0%,13.3%,33.3%,60.0%,46.7%,72.2,18.8%,20.8%,10.4%,88.9%,73.3%,33.3%,20.0%,40.0%,26.7%,46.7%,46.7%,6.7%,46.4%
TJ Rumfield LHB,,+650,31,22,4.60,1,1,0.368,0.455,0.526,0.158,0.430,9.1%,19.4%,9.1%,7.5%,84.7,270.2,6,3,11.8%,-,17.6%,17.6%,47.1%,69.3,3.1%,28.1%,6.2%,97.0%,70.6%,58.8%,10.0%,11.8%,23.5%,29.4%,29.4%,41.2%,27.3%
Ezequiel Tovar RHB,,+577,23,19,3.40,1,1,0.333,0.368,0.556,0.222,0.399,5.3%,25.6%,15.8%,17.5%,82.2,266.1,3,1,-,-,13.3%,33.3%,33.3%,72.6,26.5%,17.6%,8.8%,87.2%,53.3%,33.3%,20.0%,20.0%,40.0%,40.0%,46.7%,13.3%,71.4%
Edouard Julien LHB,,+1000,17,21,3.40,0,1,0.176,0.333,0.235,0.059,0.269,19.0%,12.5%,14.3%,5.3%,90.6,278.8,3,2,7.1%,-,-,50.0%,50.0%,72.1,11.1%,33.3%,7.4%,90.0%,50.0%,21.4%,0.0%,28.6%,50.0%,21.4%,57.1%,21.4%,38.9%
Tyler Freeman RHB,,+1080,13,21,4.00,0,1,0.353,0.476,0.529,0.176,0.441,4.8%,7.9%,9.5%,4.3%,83.9,230.9,3,1,-,-,-,40.0%,33.3%,70.0,9.4%,28.1%,9.4%,91.4%,53.3%,20.0%,0.0%,33.3%,33.3%,20.0%,26.7%,53.3%,39.1%
Mickey Moniak LHB,,+325,25,20,2.60,0,0,0.100,0.100,0.100,-,0.089,-,12.8%,5.0%,9.3%,88.5,253.9,6,1,-,-,36.8%,21.1%,26.3%,74.9,64.1%,30.8%,5.1%,100.0%,63.2%,42.1%,0.0%,21.1%,26.3%,63.2%,26.3%,10.5%,62.5%
Cole Carrigg SHB,,+600,21,18,4.00,0,1,0.167,0.444,0.250,0.083,0.336,33.3%,23.7%,11.1%,10.8%,78.4,267.3,2,2,-,-,20.0%,20.0%,30.0%,74.8,50.0%,5.9%,2.9%,91.9%,60.0%,40.0%,0.0%,20.0%,30.0%,40.0%,30.0%,30.0%,31.6%
Troy Johnston LHB,,+890,15,15,2.20,0,0,0.273,0.400,0.364,0.091,0.333,20.0%,33.3%,6.7%,14.5%,87.5,230.1,2,0,-,-,36.4%,18.2%,54.5%,69.6,-,21.7%,4.3%,95.8%,81.8%,27.3%,0.0%,54.5%,9.1%,45.5%,18.2%,36.4%,31.6%
Braxton Fulford RHB,—,N/A,-,10,2.00,0,0,0.167,0.400,0.167,-,0.284,30.0%,28.6%,10.0%,11.1%,84.8,260.8,2,0,-,-,-,33.3%,33.3%,71.5,30.0%,30.0%,10.0%,83.3%,83.3%,50.0%,0.0%,33.3%,16.7%,16.7%,33.3%,50.0%,20.0%
