Matchup,MIA @ KC
Pitcher,Eury Perez
Pitcher Team,MIA
Opposing Team,KC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,130.2,530,0.198,0.284,0.343,0.144,1.13,14,0.96,10.6%,29.0%,26.4%,19.4%,14.8%,9.64,61.5%,7.4%,9.3%,38.3%,27.8%,13.3%,18.2%
vsLHB,74.0,295,0.178,0.256,0.287,0.109,1.08,4,0.49,11.5%,30.1%,29.5%,20.7%,15.3%,10.58,59.6%,6.7%,8.1%,35.5%,28.5%,6.1%,12.8%
vsRHB,56.0,235,0.223,0.320,0.413,0.189,1.21,10,1.61,9.4%,27.4%,22.6%,17.7%,14.1%,8.52,63.8%,8.3%,10.5%,41.4%,27.0%,22.0%,24.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Carter Jensen LHB,,+425,24,4.80,8,1,3,95.4,335.2,4,2,12.5%,12.5%,12.5%,62.5%,25.0%,76.0,57.1%,42.9%,42.9%,87.5%,62.5%,50.0%,25.0%,12.5%,37.5%,25.0%,37.5%,37.5%,42.9%
Nick Loftin RHB,,+880,15,4.20,8,1,1,91.7,312.0,4,1,12.5%,12.5%,12.5%,37.5%,50.0%,68.2,-,46.2%,23.1%,100.0%,75.0%,50.0%,25.0%,25.0%,25.0%,25.0%,25.0%,50.0%,25.0%
Vinnie Pasquantino LHB,,+540,21,4.40,8,1,1,88.9,305.8,3,1,-,-,25.0%,37.5%,12.5%,71.6,11.1%,66.7%,33.3%,100.0%,50.0%,37.5%,33.3%,12.5%,37.5%,62.5%,12.5%,25.0%,80.0%
Jac Caglianone LHB,,+370,26,4.60,8,1,1,91.1,305.8,4,1,12.5%,12.5%,25.0%,37.5%,75.0%,74.4,50.0%,40.0%,30.0%,83.3%,75.0%,37.5%,33.3%,37.5%,25.0%,50.0%,25.0%,25.0%,40.0%
Salvador Perez RHB,,+450,17,4.40,8,0,0,87.3,292.6,2,1,-,-,12.5%,50.0%,37.5%,73.6,30.0%,50.0%,30.0%,100.0%,62.5%,50.0%,0.0%,12.5%,37.5%,12.5%,62.5%,25.0%,42.9%
John Rave LHB,—,N/A,13,4.00,8,0,0,86.8,198.5,1,1,12.5%,-,-,25.0%,37.5%,75.2,54.5%,18.2%,9.1%,100.0%,62.5%,25.0%,0.0%,37.5%,12.5%,-,62.5%,37.5%,40.0%
Bobby Witt Jr. RHB,,+450,22,4.60,8,0,2,94.3,280.9,4,3,12.5%,12.5%,50.0%,50.0%,50.0%,75.5,57.1%,35.7%,21.4%,100.0%,62.5%,37.5%,0.0%,25.0%,25.0%,62.5%,25.0%,12.5%,28.6%
Josh Rojas LHB,,+930,13,3.80,8,0,0,84.2,262.7,2,1,-,-,50.0%,37.5%,37.5%,69.7,-,85.7%,28.6%,87.5%,62.5%,37.5%,0.0%,25.0%,25.0%,62.5%,25.0%,12.5%,40.0%
Kyle Isbel LHB,,+900,21,3.60,8,0,0,87.1,294.2,4,1,-,-,-,25.0%,25.0%,70.5,18.2%,54.5%,9.1%,100.0%,62.5%,62.5%,0.0%,-,25.0%,-,75.0%,25.0%,66.7%
Isaac Collins SHB,,+900,15,3.60,8,0,0,82.2,229.7,2,0,-,-,25.0%,25.0%,25.0%,72.3,13.3%,20.0%,13.3%,93.8%,50.0%,25.0%,0.0%,25.0%,37.5%,25.0%,50.0%,25.0%,33.3%
Tyler Tolbert RHB,—,N/A,5,2.00,8,0,0,87.2,279.4,1,0,-,-,12.5%,12.5%,37.5%,69.4,11.1%,55.6%,22.2%,90.0%,75.0%,50.0%,0.0%,25.0%,25.0%,12.5%,37.5%,50.0%,28.6%
Luke Maile RHB,—,N/A,-,2.80,5,0,0,71.1,288.9,0,0,-,-,-,-,20.0%,69.1,-,20.0%,20.0%,100.0%,20.0%,-,-,20.0%,80.0%,40.0%,40.0%,20.0%,60.0%
Matthew Lugo RHB,—,N/A,-,1.50,1,0,0,69.2,119.1,0,0,-,-,-,-,-,78.0,100.0%,-,-,100.0%,-,-,-,-,-,-,-,100.0%,100.0%
