Matchup,MIA @ NYM
Pitcher,Christian Scott
Pitcher Team,NYM
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,25.1,114,0.221,0.304,0.305,0.084,1.38,1,0.36,12.3%,21.6%,26.3%,20.3%,10.6%,10.66,53.9%,8.0%,1.5%,29.2%,24.6%,6.2%,18.5%
vsLHB,17.1,72,0.180,0.250,0.213,0.033,1.27,0,-,15.3%,20.4%,27.8%,21.7%,10.1%,10.38,56.9%,8.1%,-,24.4%,17.1%,-,14.6%
vsRHB,8.0,42,0.294,0.397,0.471,0.176,1.62,1,1.12,7.1%,23.8%,23.8%,17.9%,11.4%,11.25,48.8%,7.8%,4.2%,37.5%,37.5%,11.1%,25.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Liam Hicks LHB,+760,21,4.60,1,2,0.188,0.381,0.438,0.250,0.361,19.0%,4.5%,-,2.0%,88.9,-,-,18.8%,12.5%,18.8%,66.8,-,72.2%,-,81.8%,25.0%,25.0%,12.5%,50.0%,56.2%,18.8%,25.0%,40.0%
Owen Caissie LHB,+680,13,3.40,1,1,0.333,0.385,0.667,0.333,0.446,7.7%,40.0%,46.2%,16.0%,99.5,16.7%,16.7%,16.7%,83.3%,33.3%,75.3,60.0%,25.0%,20.0%,100.0%,33.3%,50.0%,16.7%,50.0%,33.3%,66.7%,-,27.3%
Esteury Ruiz RHB,N/A,7,2.40,1,1,0.429,0.429,0.857,0.429,0.554,-,8.3%,-,4.3%,89.1,14.3%,14.3%,42.9%,28.6%,57.1%,72.0,10.0%,40.0%,20.0%,90.9%,28.6%,50.0%,42.9%,14.3%,42.9%,42.9%,14.3%,54.5%
Jakob Marsee LHB,+920,18,4.20,0,1,0.143,0.333,0.143,-,0.247,16.7%,8.3%,11.1%,3.8%,79.7,-,-,8.3%,16.7%,33.3%,69.9,4.8%,28.6%,9.5%,87.5%,33.3%,0.0%,33.3%,16.7%,16.7%,25.0%,58.3%,38.9%
Connor Norby RHB,+790,16,3.80,0,1,0.167,0.375,0.167,-,0.282,12.5%,16.7%,25.0%,8.9%,83.3,-,-,25.0%,25.0%,12.5%,70.9,11.1%,14.8%,3.7%,93.1%,37.5%,0.0%,12.5%,25.0%,37.5%,62.5%,-,52.9%
Christopher Morel RHB,N/A,16,3.60,0,0,0.071,0.188,0.071,-,0.137,12.5%,15.6%,25.0%,7.6%,85.7,-,-,40.0%,30.0%,30.0%,75.3,48.3%,17.2%,6.9%,90.6%,30.0%,0.0%,20.0%,20.0%,50.0%,30.0%,20.0%,36.4%
Xavier Edwards SHB,+1200,15,4.40,0,1,0.385,0.467,0.692,0.308,0.483,13.3%,0.0%,-,-,89.3,15.4%,-,7.7%,30.8%,61.5%,67.1,4.5%,36.4%,13.6%,75.9%,38.5%,0.0%,38.5%,23.1%,23.1%,38.5%,38.5%,13.3%
Otto Lopez RHB,+790,15,4.40,0,1,0.267,0.267,0.333,0.067,0.263,-,10.7%,6.7%,5.0%,92.7,-,-,7.1%,57.1%,42.9%,71.6,16.0%,40.0%,16.0%,89.3%,28.6%,0.0%,28.6%,42.9%,7.1%,50.0%,42.9%,23.5%
Joe Mack LHB,+920,14,3.40,0,0,0.231,0.286,0.231,-,0.237,7.1%,11.1%,21.4%,5.8%,90.0,-,-,10.0%,40.0%,20.0%,74.8,48.0%,20.0%,12.0%,96.2%,10.0%,0.0%,20.0%,50.0%,40.0%,40.0%,20.0%,31.2%
Kyle Stowers LHB,+520,13,4.20,0,0,0.154,0.154,0.231,0.077,0.166,-,34.3%,15.4%,17.6%,90.0,9.1%,-,-,36.4%,18.2%,74.4,39.4%,18.2%,9.1%,94.3%,36.4%,0.0%,9.1%,36.4%,18.2%,54.5%,27.3%,27.8%
Javier Sanoja RHB,+1260,11,3.40,0,0,0.091,0.091,0.091,-,0.081,-,5.9%,9.1%,3.1%,85.3,-,-,10.0%,20.0%,30.0%,67.8,6.7%,26.7%,6.7%,93.8%,40.0%,0.0%,20.0%,30.0%,10.0%,60.0%,20.0%,45.5%
Heriberto Hernandez RHB,N/A,10,2.60,0,0,0.111,0.200,0.111,-,0.154,10.0%,29.2%,20.0%,17.5%,92.9,14.3%,-,14.3%,42.9%,28.6%,73.0,22.7%,22.7%,13.6%,95.7%,14.3%,0.0%,28.6%,42.9%,14.3%,71.4%,14.3%,53.8%
Leo Jimenez RHB,N/A,8,3.00,0,0,0.500,0.625,0.500,-,0.496,25.0%,4.5%,-,1.7%,91.8,-,-,-,50.0%,16.7%,69.9,5.3%,21.1%,15.8%,86.4%,16.7%,0.0%,16.7%,66.7%,16.7%,33.3%,50.0%,17.6%
