Matchup,MIA @ NYM
Pitcher,Janson Junk
Pitcher Team,MIA
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,60.0,254,0.273,0.324,0.441,0.168,1.30,8,1.20,5.1%,18.0%,16.9%,14.8%,8.9%,6.45,64.5%,7.1%,6.6%,41.4%,23.7%,17.0%,18.7%
vsLHB,34.1,161,0.329,0.381,0.523,0.195,1.69,5,1.31,5.6%,19.2%,17.4%,13.9%,9.5%,7.34,64.0%,7.1%,5.7%,45.5%,18.7%,21.7%,22.0%
vsRHB,25.1,93,0.180,0.225,0.303,0.124,0.79,3,1.07,4.3%,15.8%,16.1%,16.9%,7.8%,5.33,65.3%,7.2%,8.0%,34.7%,32.0%,12.5%,13.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Juan Soto LHB,N/A,16,4.00,3,4,0.429,0.500,1.071,0.643,0.642,12.5%,10.0%,12.5%,3.2%,96.4,33.3%,25.0%,50.0%,58.3%,58.3%,75.1,52.9%,47.1%,29.4%,94.4%,41.7%,60.0%,25.0%,25.0%,75.0%,25.0%,-,5.6%
MJ Melendez LHB,N/A,17,2.60,1,1,0.143,0.235,0.357,0.214,0.256,5.9%,27.6%,17.6%,13.3%,91.9,-,-,41.7%,41.7%,8.3%,74.8,50.0%,37.5%,20.8%,85.7%,83.3%,10.0%,8.3%,8.3%,41.7%,50.0%,8.3%,42.1%
Mark Vientos RHB,N/A,16,3.60,1,2,0.267,0.312,0.600,0.333,0.391,-,42.1%,6.2%,26.7%,89.8,14.3%,14.3%,42.9%,42.9%,35.7%,72.7,20.6%,23.5%,11.8%,89.5%,35.7%,20.0%,21.4%,35.7%,57.1%,14.3%,28.6%,55.6%
Jared Young LHB,N/A,11,2.60,1,1,0.375,0.455,0.750,0.375,0.471,18.2%,36.0%,36.4%,13.8%,96.8,40.0%,40.0%,40.0%,60.0%,40.0%,74.4,30.4%,17.4%,13.0%,92.0%,40.0%,50.0%,20.0%,40.0%,60.0%,40.0%,-,13.3%
Hayden Senger RHB,N/A,5,2.20,1,1,0.200,0.200,0.800,0.600,0.420,-,41.7%,60.0%,26.3%,89.3,-,-,50.0%,50.0%,-,71.5,16.7%,8.3%,8.3%,100.0%,50.0%,100.0%,-,50.0%,100.0%,-,-,60.0%
Carson Benge LHB,N/A,25,4.40,0,2,0.130,0.200,0.174,0.043,0.174,8.0%,29.4%,20.0%,10.8%,87.1,16.7%,-,11.1%,44.4%,61.1%,71.8,24.0%,44.0%,20.0%,75.8%,50.0%,0.0%,22.2%,27.8%,16.7%,72.2%,11.1%,29.2%
Bo Bichette RHB,N/A,24,4.20,0,0,0.174,0.208,0.174,-,0.175,4.2%,20.8%,29.2%,12.7%,90.6,12.5%,-,6.2%,43.8%,37.5%,70.0,11.9%,19.0%,9.5%,91.3%,50.0%,0.0%,25.0%,25.0%,25.0%,37.5%,37.5%,36.4%
Marcus Semien RHB,N/A,22,3.80,0,1,0.091,0.091,0.091,-,0.081,-,22.7%,22.7%,13.7%,80.9,11.8%,-,17.6%,35.3%,23.5%,68.0,-,25.6%,5.1%,88.6%,17.6%,0.0%,5.9%,52.9%,52.9%,17.6%,29.4%,47.8%
A.J. Ewing LHB,N/A,19,4.00,0,0,0.278,0.316,0.278,-,0.268,5.3%,22.5%,36.8%,9.4%,86.7,9.1%,-,9.1%,45.5%,54.5%,70.5,11.4%,20.0%,11.4%,89.7%,27.3%,0.0%,36.4%,27.3%,18.2%,27.3%,54.5%,24.0%
Luis Torrens RHB,N/A,17,3.20,0,2,0.200,0.294,0.267,0.067,0.256,11.8%,33.3%,29.4%,18.6%,91.3,10.0%,-,10.0%,40.0%,40.0%,70.7,3.3%,20.0%,6.7%,90.9%,20.0%,0.0%,20.0%,30.0%,20.0%,30.0%,40.0%,50.0%
Brett Baty LHB,N/A,14,3.40,0,0,0.250,0.357,0.250,-,0.283,14.3%,29.6%,35.7%,13.1%,80.6,-,-,28.6%,14.3%,42.9%,75.6,57.7%,7.7%,3.8%,96.3%,14.3%,0.0%,42.9%,28.6%,57.1%,42.9%,-,38.5%
Vidal Brujan SHB,N/A,5,3.00,0,0,0.250,0.400,0.250,-,0.308,20.0%,33.3%,-,14.3%,50.4,-,-,-,-,-,54.6,-,20.0%,-,83.3%,-,-,-,-,-,50.0%,50.0%,33.3%
