Matchup,MIA @ NYM
Pitcher,Nolan McLean
Pitcher Team,NYM
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,61.1,253,0.212,0.290,0.363,0.150,1.09,8,1.17,7.5%,25.3%,29.6%,24.6%,10.9%,11.01,61.7%,7.2%,7.2%,38.2%,22.4%,23.5%,15.8%
vsLHB,36.1,156,0.225,0.305,0.384,0.159,1.24,5,1.24,9.0%,24.6%,26.9%,25.6%,10.8%,10.40,63.5%,8.3%,7.2%,42.3%,27.8%,18.5%,16.5%
vsRHB,24.1,97,0.193,0.265,0.330,0.136,0.90,3,1.11,5.2%,26.3%,34.0%,23.4%,10.9%,12.21,58.8%,5.6%,7.3%,30.9%,12.7%,42.9%,14.5%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Liam Hicks LHB,N/A,31,4.40,2,3,0.259,0.355,0.519,0.259,0.375,12.9%,2.6%,3.2%,1.0%,83.0,-,-,11.5%,15.4%,7.7%,66.5,-,44.1%,8.8%,89.5%,30.8%,25.0%,-,57.7%,46.2%,15.4%,38.5%,24.1%
Owen Caissie LHB,N/A,24,3.60,1,2,0.217,0.250,0.435,0.217,0.295,4.2%,47.6%,58.3%,20.0%,94.7,11.1%,11.1%,11.1%,66.7%,33.3%,75.4,57.5%,15.0%,10.0%,95.2%,33.3%,33.3%,11.1%,44.4%,33.3%,55.6%,11.1%,26.3%
Kyle Stowers LHB,N/A,23,4.20,1,1,0.261,0.261,0.522,0.261,0.334,-,33.3%,26.1%,17.3%,91.3,5.9%,-,17.6%,35.3%,29.4%,75.0,48.1%,22.2%,9.3%,94.7%,41.2%,14.3%,23.5%,23.5%,29.4%,47.1%,23.5%,33.3%
Esteury Ruiz RHB,N/A,11,2.40,1,1,0.273,0.273,0.545,0.273,0.353,-,19.0%,9.1%,11.4%,85.9,10.0%,10.0%,40.0%,20.0%,50.0%,71.3,6.2%,31.2%,12.5%,80.0%,30.0%,33.3%,40.0%,20.0%,50.0%,30.0%,20.0%,66.7%
Xavier Edwards SHB,N/A,28,4.20,0,1,0.333,0.429,0.500,0.167,0.400,14.3%,11.5%,10.7%,5.4%,83.4,9.5%,-,4.8%,23.8%,47.6%,67.7,4.3%,26.1%,6.5%,88.5%,19.0%,0.0%,23.8%,57.1%,23.8%,52.4%,23.8%,20.0%
Jakob Marsee LHB,N/A,24,4.20,0,1,0.182,0.250,0.273,0.091,0.234,8.3%,10.8%,16.7%,5.2%,81.6,-,-,5.6%,22.2%,33.3%,69.5,6.2%,31.2%,6.2%,86.5%,33.3%,0.0%,22.2%,33.3%,11.1%,27.8%,61.1%,40.0%
Joe Mack LHB,N/A,20,3.40,0,0,0.222,0.300,0.222,-,0.243,10.0%,19.4%,20.0%,9.6%,89.2,-,-,14.3%,28.6%,28.6%,74.1,41.2%,23.5%,8.8%,97.1%,-,-,21.4%,57.1%,57.1%,28.6%,14.3%,33.3%
Christopher Morel RHB,N/A,20,3.60,0,0,-,0.150,-,-,0.097,15.0%,17.5%,30.0%,8.2%,85.8,-,-,45.5%,27.3%,18.2%,75.9,54.3%,14.3%,5.7%,87.5%,45.5%,0.0%,9.1%,18.2%,54.5%,27.3%,18.2%,34.6%
Leo Jimenez RHB,N/A,19,3.00,0,0,0.357,0.526,0.357,-,0.409,21.1%,7.9%,-,3.6%,91.1,-,-,7.1%,35.7%,35.7%,71.7,23.5%,29.4%,8.8%,89.5%,7.1%,0.0%,35.7%,57.1%,35.7%,35.7%,28.6%,26.1%
Javier Sanoja RHB,N/A,18,3.40,0,1,0.176,0.222,0.235,0.059,0.206,5.6%,4.0%,5.6%,2.3%,87.9,-,-,12.5%,31.2%,31.2%,70.0,18.2%,36.4%,13.6%,95.7%,25.0%,0.0%,25.0%,50.0%,37.5%,50.0%,12.5%,44.4%
Otto Lopez RHB,N/A,17,4.40,0,1,0.250,0.294,0.312,0.062,0.270,5.9%,22.6%,17.6%,10.3%,90.5,7.7%,-,7.7%,53.8%,46.2%,72.1,19.2%,30.8%,15.4%,86.7%,38.5%,0.0%,30.8%,30.8%,7.7%,46.2%,46.2%,23.8%
Connor Norby RHB,N/A,15,3.80,0,1,0.091,0.333,0.091,-,0.242,13.3%,20.7%,26.7%,10.7%,74.0,-,-,14.3%,14.3%,28.6%,70.9,11.5%,7.7%,3.8%,92.9%,28.6%,0.0%,14.3%,57.1%,71.4%,28.6%,-,58.8%
Heriberto Hernandez RHB,N/A,10,2.60,0,0,0.111,0.200,0.111,-,0.154,10.0%,21.4%,10.0%,10.2%,88.9,12.5%,-,12.5%,37.5%,37.5%,73.7,30.8%,15.4%,11.5%,92.9%,37.5%,0.0%,25.0%,25.0%,25.0%,37.5%,37.5%,47.8%
