Matchup,MIA @ NYM
Pitcher,Tyler Phillips
Pitcher Team,MIA
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,84.1,361,0.241,0.313,0.384,0.144,1.36,10,1.07,10.5%,25.9%,17.5%,18.3%,11.8%,6.72,61.0%,7.9%,7.8%,42.8%,27.6%,9.9%,13.2%
vsLHB,43.2,199,0.269,0.344,0.434,0.166,1.60,6,1.24,11.6%,27.3%,18.1%,17.9%,12.0%,7.42,59.4%,8.3%,7.9%,45.3%,25.2%,11.4%,12.2%
vsRHB,40.0,162,0.207,0.274,0.324,0.117,1.12,4,0.90,9.3%,24.2%,16.7%,18.9%,11.5%,6.08,63.0%,7.3%,7.6%,39.8%,30.5%,8.3%,14.4%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Francisco Alvarez RHB,,+437,24,3.80,10,2,2,95.5,323.1,5,4,30.0%,30.0%,40.0%,60.0%,40.0%,74.9,50.0%,66.7%,50.0%,92.3%,70.0%,40.0%,25.0%,30.0%,30.0%,70.0%,20.0%,10.0%,50.0%
Francisco Lindor SHB,,+400,36,4.40,10,1,2,87.8,243.1,2,2,20.0%,10.0%,30.0%,40.0%,40.0%,71.9,29.4%,41.2%,11.8%,81.0%,70.0%,40.0%,25.0%,30.0%,20.0%,40.0%,20.0%,40.0%,0.0%
Tyrone Taylor RHB,—,N/A,29,3.40,10,1,1,80.3,257.7,3,1,10.0%,10.0%,30.0%,20.0%,30.0%,71.8,25.0%,16.7%,16.7%,92.3%,50.0%,30.0%,33.3%,20.0%,40.0%,50.0%,40.0%,10.0%,14.3%
Brett Baty LHB,,+627,19,2.80,10,1,1,91.4,278.6,1,1,-,-,20.0%,40.0%,10.0%,77.7,88.2%,17.6%,11.8%,94.4%,80.0%,70.0%,14.3%,10.0%,20.0%,30.0%,40.0%,30.0%,71.4%
A.J. Ewing LHB,,+690,16,4.60,10,0,0,92.5,309.3,3,1,20.0%,10.0%,10.0%,50.0%,50.0%,69.0,-,58.3%,16.7%,92.3%,50.0%,10.0%,0.0%,40.0%,50.0%,40.0%,40.0%,20.0%,50.0%
Carson Benge LHB,,+600,35,3.80,10,0,0,85.1,223.4,0,0,-,-,-,30.0%,20.0%,70.7,21.1%,31.6%,10.5%,90.5%,30.0%,10.0%,0.0%,20.0%,70.0%,20.0%,50.0%,30.0%,33.3%
Jorge Polanco SHB,,+558,9,3.80,10,0,0,80.8,243.6,2,0,-,-,20.0%,30.0%,20.0%,68.9,-,20.0%,13.3%,100.0%,30.0%,10.0%,0.0%,20.0%,40.0%,30.0%,60.0%,10.0%,0.0%
Marcus Semien RHB,,+610,21,3.00,10,0,0,88.5,298.4,1,0,-,-,-,50.0%,30.0%,68.4,7.7%,61.5%,23.1%,100.0%,40.0%,30.0%,0.0%,10.0%,60.0%,40.0%,40.0%,20.0%,100.0%
Luis Torrens RHB,,+630,10,3.40,10,0,0,82.8,224.5,1,0,-,-,-,50.0%,40.0%,66.9,-,46.7%,20.0%,88.2%,40.0%,-,-,40.0%,60.0%,20.0%,10.0%,70.0%,44.4%
Luis Robert RHB,,+540,16,3.80,10,0,0,90.6,205.6,0,0,-,-,40.0%,50.0%,30.0%,79.4,90.0%,50.0%,40.0%,100.0%,40.0%,20.0%,0.0%,20.0%,50.0%,90.0%,-,10.0%,14.3%
Bo Bichette RHB,,+571,9,4.40,10,0,0,83.4,245.3,1,0,-,-,20.0%,10.0%,50.0%,70.8,15.4%,30.8%,7.7%,100.0%,60.0%,10.0%,0.0%,50.0%,30.0%,30.0%,30.0%,40.0%,33.3%
Jared Young LHB,,+560,27,3.60,10,0,0,90.3,262.8,1,1,-,-,-,50.0%,20.0%,74.2,33.3%,50.0%,25.0%,80.0%,50.0%,30.0%,0.0%,20.0%,50.0%,20.0%,50.0%,30.0%,37.5%
Eric Wagaman RHB,—,N/A,-,3.20,4,0,0,76.7,298.2,0,0,-,-,25.0%,-,50.0%,65.9,-,33.3%,-,50.0%,25.0%,-,-,25.0%,75.0%,25.0%,75.0%,-,50.0%
