Matchup,MIL @ CHC
Pitcher,Clay Holmes
Pitcher Team,CHC
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,75.2,302,0.200,0.247,0.280,0.080,1.06,4,0.48,8.3%,20.7%,17.9%,17.4%,9.7%,6.42,56.4%,7.3%,5.4%,42.1%,19.9%,9.1%,12.7%
vsLHB,45.1,182,0.216,0.265,0.323,0.108,1.10,3,0.60,7.7%,19.1%,15.4%,16.3%,8.4%,5.56,52.2%,7.3%,5.0%,45.3%,18.0%,12.0%,12.9%
vsRHB,30.1,120,0.176,0.221,0.213,0.037,0.99,1,0.30,9.2%,22.8%,21.7%,18.8%,11.6%,7.71,62.8%,7.2%,6.1%,36.6%,23.2%,5.3%,12.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Gary Sanchez RHB,—,N/A,34,2.80,8,1,1,85.5,319.7,2,1,12.5%,12.5%,12.5%,25.0%,12.5%,69.2,22.2%,66.7%,22.2%,100.0%,50.0%,50.0%,25.0%,-,50.0%,37.5%,50.0%,12.5%,0.0%
William Contreras RHB,,+560,23,4.80,8,1,2,96.7,293.3,4,3,25.0%,12.5%,37.5%,62.5%,50.0%,75.5,60.0%,60.0%,40.0%,90.9%,75.0%,37.5%,33.3%,37.5%,12.5%,37.5%,50.0%,12.5%,33.3%
Brice Turang LHB,,+640,18,4.80,8,1,1,83.1,278.5,2,1,12.5%,12.5%,37.5%,37.5%,37.5%,70.2,11.1%,44.4%,33.3%,100.0%,50.0%,12.5%,100.0%,37.5%,50.0%,50.0%,25.0%,25.0%,0.0%
Jackson Chourio RHB,,+424,26,4.80,8,1,1,98.1,339.2,3,3,25.0%,-,-,75.0%,50.0%,73.3,54.5%,63.6%,45.5%,91.7%,62.5%,37.5%,33.3%,25.0%,37.5%,12.5%,87.5%,-,60.0%
Luis Lara SHB,—,N/A,23,3.80,8,0,0,87.5,328.5,3,1,-,-,-,37.5%,25.0%,71.0,13.3%,33.3%,13.3%,100.0%,37.5%,12.5%,0.0%,25.0%,62.5%,25.0%,50.0%,25.0%,33.3%
Christian Yelich LHB,,+630,27,3.80,8,0,0,90.9,221.0,0,0,-,-,12.5%,37.5%,50.0%,72.5,18.2%,54.5%,18.2%,100.0%,50.0%,-,-,50.0%,50.0%,37.5%,37.5%,25.0%,50.0%
Garrett Mitchell LHB,,+760,17,4.20,8,0,0,89.8,194.7,0,0,-,-,-,37.5%,25.0%,78.0,81.8%,36.4%,18.2%,100.0%,12.5%,-,-,12.5%,87.5%,62.5%,37.5%,-,75.0%
Jake Bauers LHB,,+407,12,4.20,8,0,1,88.9,260.5,2,1,25.0%,-,12.5%,50.0%,75.0%,77.7,80.0%,40.0%,40.0%,100.0%,62.5%,25.0%,0.0%,37.5%,37.5%,37.5%,25.0%,37.5%,25.0%
Cooper Pratt RHB,,+1200,18,3.40,8,0,0,87.6,266.0,1,0,-,-,-,25.0%,12.5%,70.8,10.0%,50.0%,20.0%,100.0%,25.0%,25.0%,0.0%,-,62.5%,-,50.0%,50.0%,33.3%
David Hamilton LHB,,+958,11,3.60,8,0,0,75.5,161.4,0,0,-,-,12.5%,25.0%,25.0%,67.6,-,23.1%,7.7%,92.9%,25.0%,-,-,25.0%,50.0%,62.5%,12.5%,25.0%,80.0%
Andrew Vaughn RHB,—,N/A,25,3.00,8,0,0,89.9,270.8,1,0,-,-,-,50.0%,25.0%,69.9,13.3%,40.0%,13.3%,100.0%,37.5%,12.5%,0.0%,25.0%,62.5%,37.5%,50.0%,12.5%,16.7%
Sal Frelick LHB,,+1200,21,3.60,8,0,0,84.5,290.2,2,1,12.5%,-,12.5%,12.5%,25.0%,70.5,12.5%,62.5%,-,100.0%,50.0%,50.0%,0.0%,-,37.5%,25.0%,25.0%,50.0%,0.0%
Joey Ortiz RHB,,+1000,18,4.20,8,0,0,87.2,279.8,2,0,-,-,12.5%,37.5%,37.5%,71.5,27.3%,36.4%,18.2%,84.6%,37.5%,-,-,37.5%,62.5%,25.0%,37.5%,37.5%,14.3%
