Matchup,MIL @ CHC
Pitcher,David Peterson
Pitcher Team,CHC
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,123.1,556,0.273,0.331,0.410,0.137,1.52,13,0.95,9.4%,22.3%,19.4%,19.7%,10.4%,7.88,62.2%,6.1%,6.4%,41.2%,20.5%,15.0%,13.0%
vsLHB,39.0,166,0.239,0.295,0.400,0.161,1.13,5,1.15,4.2%,29.6%,28.3%,26.7%,15.0%,10.85,71.1%,8.2%,8.3%,43.5%,17.6%,26.3%,16.7%
vsRHB,84.0,390,0.288,0.346,0.415,0.126,1.70,8,0.86,11.5%,19.0%,15.6%,16.4%,8.6%,6.54,58.4%,5.3%,5.7%,40.3%,21.6%,11.5%,11.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Gary Sanchez RHB,,+458,17,2.80,8,1,1,84.4,308.6,1,1,12.5%,-,-,37.5%,12.5%,68.4,11.8%,29.4%,17.6%,94.4%,25.0%,25.0%,50.0%,-,75.0%,50.0%,37.5%,12.5%,33.3%
Jake Bauers LHB,,+501,18,4.40,8,1,1,86.5,281.4,3,1,12.5%,-,25.0%,50.0%,50.0%,75.1,50.0%,41.7%,16.7%,85.7%,62.5%,25.0%,50.0%,37.5%,25.0%,37.5%,37.5%,25.0%,37.5%
Cooper Pratt RHB,,+1100,6,3.80,8,1,1,81.7,275.3,2,1,12.5%,12.5%,25.0%,25.0%,37.5%,71.3,36.4%,27.3%,18.2%,100.0%,75.0%,50.0%,25.0%,25.0%,12.5%,37.5%,37.5%,25.0%,28.6%
Luis Lara SHB,,+900,6,3.20,8,0,0,92.8,271.1,0,0,-,-,-,50.0%,25.0%,70.6,-,60.0%,20.0%,90.9%,12.5%,-,-,12.5%,87.5%,37.5%,25.0%,37.5%,71.4%
Christian Yelich LHB,,+550,20,4.40,8,0,0,87.2,262.8,2,1,12.5%,-,-,37.5%,37.5%,72.9,23.1%,38.5%,15.4%,100.0%,50.0%,12.5%,0.0%,37.5%,37.5%,12.5%,50.0%,37.5%,14.3%
Garrett Mitchell LHB,,+700,19,3.80,8,0,0,97.2,259.5,1,0,-,-,-,62.5%,12.5%,78.3,90.9%,54.5%,45.5%,91.7%,25.0%,12.5%,0.0%,12.5%,75.0%,25.0%,25.0%,50.0%,16.7%
William Contreras RHB,,+481,13,4.40,8,0,1,88.4,281.4,2,1,-,-,-,50.0%,-,75.6,73.3%,33.3%,13.3%,100.0%,37.5%,37.5%,0.0%,-,50.0%,37.5%,37.5%,25.0%,57.1%
David Hamilton LHB,—,N/A,11,3.40,8,0,0,70.5,286.2,1,1,-,-,-,25.0%,25.0%,70.0,12.5%,62.5%,25.0%,72.7%,37.5%,12.5%,0.0%,25.0%,25.0%,12.5%,62.5%,25.0%,42.9%
Brice Turang LHB,,+870,16,4.60,8,0,1,92.2,259.8,1,1,-,-,-,62.5%,37.5%,70.4,7.7%,53.8%,23.1%,86.7%,37.5%,12.5%,0.0%,25.0%,50.0%,-,75.0%,25.0%,0.0%
Bo Naylor LHB,—,N/A,7,3.40,8,0,0,88.2,273.4,2,1,-,-,-,37.5%,25.0%,71.8,18.8%,18.8%,18.8%,100.0%,37.5%,12.5%,0.0%,25.0%,50.0%,25.0%,75.0%,-,42.9%
Andrew Vaughn RHB,,+650,7,2.40,8,0,0,93.7,301.9,2,0,-,-,-,37.5%,12.5%,69.6,-,70.0%,20.0%,90.9%,50.0%,50.0%,0.0%,-,50.0%,12.5%,37.5%,50.0%,0.0%
Sal Frelick LHB,—,N/A,15,3.60,8,0,0,72.7,242.3,0,0,-,-,-,-,25.0%,66.3,-,33.3%,-,75.0%,37.5%,25.0%,0.0%,12.5%,50.0%,25.0%,62.5%,12.5%,50.0%
Joey Ortiz RHB,,+970,15,3.60,8,0,1,86.0,251.0,2,1,12.5%,-,12.5%,50.0%,12.5%,75.0,54.5%,45.5%,36.4%,100.0%,25.0%,25.0%,0.0%,-,50.0%,37.5%,50.0%,12.5%,33.3%
Jackson Chourio RHB,,+393,15,4.60,8,0,0,86.4,310.0,2,0,-,-,25.0%,25.0%,37.5%,75.5,60.0%,33.3%,6.7%,100.0%,50.0%,37.5%,0.0%,12.5%,50.0%,50.0%,25.0%,25.0%,0.0%
