Matchup,MIL @ CIN
Pitcher,Nick Lodolo
Pitcher Team,CIN
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,42.2,196,0.309,0.394,0.515,0.206,1.59,8,1.69,8.7%,21.0%,16.3%,15.0%,10.1%,6.75,59.3%,5.8%,8.6%,39.6%,28.1%,17.9%,15.1%
vsLHB,10.2,53,0.386,0.438,0.523,0.136,2.06,1,0.84,9.4%,22.1%,11.3%,12.0%,9.7%,5.06,51.9%,6.1%,2.6%,35.9%,17.9%,-,15.4%
vsRHB,32.0,143,0.281,0.378,0.512,0.231,1.44,7,1.97,8.4%,20.7%,18.2%,15.9%,10.3%,7.31,62.1%,5.7%,11.0%,41.0%,32.0%,21.9%,15.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jackson Chourio RHB,,+300,22,17,4.60,1,2,0.412,0.412,0.647,0.235,0.460,-,20.7%,29.4%,10.7%,92.5,299.6,4,2,16.7%,-,-,58.3%,50.0%,76.3,69.6%,26.1%,17.4%,95.8%,16.7%,50.0%,33.3%,50.0%,33.3%,41.7%,25.0%,27.8%
Brice Turang LHB,,+760,15,15,4.60,1,1,0.133,0.133,0.333,0.200,0.199,-,25.0%,33.3%,12.5%,85.9,332.2,1,1,10.0%,-,-,20.0%,20.0%,67.2,-,23.5%,5.9%,89.5%,10.0%,0.0%,10.0%,80.0%,30.0%,60.0%,10.0%,22.2%
Andrew Vaughn RHB,,+470,9,15,2.80,1,1,0.462,0.533,1.000,0.538,0.623,13.3%,11.8%,6.7%,3.7%,99.1,255.2,3,1,8.3%,-,33.3%,66.7%,58.3%,71.8,14.3%,57.1%,35.7%,100.0%,16.7%,50.0%,58.3%,25.0%,41.7%,41.7%,16.7%,21.4%
Gary Sanchez RHB,—,N/A,28,17,2.80,0,0,0.231,0.353,0.231,-,0.272,17.6%,20.0%,5.9%,7.8%,86.4,242.1,1,0,-,-,-,46.2%,23.1%,71.2,17.6%,41.2%,35.3%,94.4%,7.7%,0.0%,23.1%,53.8%,23.1%,53.8%,23.1%,13.3%
William Contreras RHB,,+370,19,16,3.80,0,1,0.467,0.500,0.600,0.133,0.477,6.2%,3.7%,-,1.6%,91.4,281.6,4,4,6.7%,6.7%,26.7%,53.3%,46.7%,74.2,45.0%,45.0%,25.0%,100.0%,33.3%,0.0%,33.3%,33.3%,40.0%,46.7%,13.3%,23.1%
Blake Perkins SHB,,+760,6,15,2.80,0,0,0.214,0.267,0.357,0.143,0.272,6.7%,12.5%,13.3%,5.1%,86.5,242.7,2,2,-,-,33.3%,41.7%,25.0%,70.5,13.8%,24.1%,13.8%,93.5%,16.7%,0.0%,25.0%,33.3%,50.0%,33.3%,16.7%,16.7%
Joey Ortiz RHB,,+820,14,14,3.40,0,0,0.214,0.214,0.214,-,0.191,-,28.6%,21.4%,13.6%,90.5,260.9,2,0,-,-,9.1%,36.4%,27.3%,71.5,12.0%,24.0%,8.0%,100.0%,27.3%,0.0%,36.4%,36.4%,9.1%,27.3%,63.6%,28.6%
Garrett Mitchell LHB,,+820,8,12,3.60,0,0,0.167,0.167,0.167,-,0.148,-,31.6%,25.0%,12.8%,88.9,235.9,0,0,-,-,11.1%,33.3%,22.2%,77.7,87.5%,18.8%,18.8%,94.1%,-,-,33.3%,66.7%,44.4%,44.4%,11.1%,28.6%
Sal Frelick LHB,—,N/A,17,12,2.80,0,0,0.333,0.333,0.417,0.083,0.328,-,16.7%,-,7.5%,90.2,265.2,1,0,-,-,-,41.7%,33.3%,68.4,-,46.2%,23.1%,86.7%,16.7%,0.0%,33.3%,50.0%,25.0%,66.7%,8.3%,16.7%
David Hamilton LHB,—,N/A,5,10,3.00,0,0,0.222,0.300,0.222,-,0.243,10.0%,20.0%,30.0%,8.3%,84.4,148.6,0,0,-,-,16.7%,-,33.3%,70.7,7.7%,23.1%,-,100.0%,-,-,33.3%,33.3%,16.7%,66.7%,16.7%,30.0%
Cooper Pratt RHB,,+790,-,9,3.20,0,0,0.286,0.333,0.286,-,0.270,11.1%,26.7%,22.2%,14.3%,84.5,242.1,1,0,-,-,16.7%,16.7%,50.0%,67.9,7.7%,30.8%,7.7%,86.7%,16.7%,0.0%,50.0%,33.3%,33.3%,33.3%,33.3%,25.0%
Jake Bauers LHB,—,N/A,16,9,3.40,0,0,0.500,0.667,0.500,-,0.513,33.3%,16.7%,22.2%,6.1%,94.3,228.8,0,0,-,-,-,33.3%,33.3%,76.2,44.4%,22.2%,11.1%,64.3%,33.3%,0.0%,33.3%,33.3%,-,33.3%,66.7%,50.0%
Christian Yelich LHB,,+680,14,8,4.80,0,1,0.143,0.250,0.143,-,0.192,12.5%,12.0%,25.0%,5.0%,88.7,285.5,1,0,-,-,-,40.0%,40.0%,72.2,33.3%,20.0%,-,83.3%,20.0%,0.0%,20.0%,60.0%,40.0%,20.0%,40.0%,16.7%
