Matchup,MIL @ COL
Pitcher,Zach Agnos
Pitcher Team,COL
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,37.0,170,0.298,0.368,0.523,0.225,1.57,6,1.46,7.6%,24.1%,15.9%,14.4%,12.4%,6.57,64.9%,6.3%,10.9%,42.2%,33.6%,14.0%,21.1%
vsLHB,18.2,75,0.254,0.291,0.388,0.134,1.18,1,0.48,6.7%,22.9%,18.7%,17.3%,12.0%,6.75,66.2%,6.5%,7.1%,33.9%,37.5%,4.8%,19.6%
vsRHB,18.1,95,0.333,0.427,0.631,0.298,1.96,5,2.45,8.4%,25.1%,13.7%,12.3%,12.7%,6.38,63.8%,6.2%,13.9%,48.6%,30.6%,22.7%,22.2%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jackson Chourio RHB,+333,38,4.40,3,5,0.324,0.395,0.706,0.382,0.461,10.5%,26.7%,23.7%,11.3%,93.1,24.0%,-,4.0%,44.0%,40.0%,75.3,56.4%,27.3%,18.2%,91.7%,52.0%,23.1%,20.0%,24.0%,20.0%,40.0%,40.0%,31.6%
David Hamilton LHB,+900,21,4.20,2,2,0.158,0.238,0.474,0.316,0.304,9.5%,32.4%,23.8%,14.1%,88.9,-,-,14.3%,35.7%,35.7%,70.4,9.4%,31.2%,9.4%,94.1%,57.1%,25.0%,14.3%,21.4%,28.6%,42.9%,28.6%,16.7%
Jake Bauers LHB,+360,17,4.40,2,2,0.188,0.235,0.625,0.438,0.360,5.9%,27.8%,35.3%,13.0%,93.8,30.0%,10.0%,20.0%,60.0%,30.0%,76.9,75.0%,21.9%,18.8%,88.9%,40.0%,50.0%,30.0%,30.0%,40.0%,20.0%,40.0%,23.1%
Garrett Mitchell LHB,+475,26,3.40,1,1,0.217,0.308,0.391,0.174,0.307,11.5%,35.4%,38.5%,18.1%,95.7,7.7%,-,-,46.2%,30.8%,75.2,50.0%,21.4%,11.9%,87.5%,23.1%,33.3%,23.1%,53.8%,30.8%,30.8%,38.5%,28.6%
William Contreras RHB,+520,34,4.40,0,0,0.125,0.147,0.156,0.031,0.135,2.9%,18.2%,20.6%,10.8%,88.0,3.8%,-,3.8%,34.6%,19.2%,73.5,37.0%,30.4%,13.0%,83.6%,34.6%,0.0%,11.5%,46.2%,19.2%,53.8%,26.9%,56.2%
Christian Yelich LHB,+510,28,5.20,0,0,0.240,0.321,0.320,0.080,0.290,7.1%,39.2%,39.3%,18.2%,83.3,-,-,7.1%,21.4%,35.7%,73.3,33.3%,12.5%,4.2%,94.1%,14.3%,0.0%,35.7%,50.0%,50.0%,28.6%,21.4%,12.0%
Brice Turang LHB,+550,25,4.20,0,2,0.150,0.280,0.250,0.100,0.240,16.0%,26.2%,32.0%,11.2%,91.8,7.7%,-,7.7%,53.8%,38.5%,68.8,8.3%,25.0%,11.1%,85.7%,30.8%,0.0%,30.8%,38.5%,15.4%,38.5%,46.2%,38.5%
Andrew Vaughn RHB,N/A,24,3.20,0,1,0.333,0.333,0.375,0.042,0.312,-,14.6%,8.3%,6.6%,90.5,-,-,22.7%,50.0%,27.3%,69.1,5.1%,41.0%,17.9%,95.1%,22.7%,0.0%,31.8%,40.9%,22.7%,27.3%,50.0%,18.5%
Sal Frelick LHB,+980,23,4.20,0,0,0.200,0.304,0.250,0.050,0.256,13.0%,5.6%,8.7%,2.4%,89.6,-,-,5.3%,36.8%,26.3%,67.8,3.1%,46.9%,21.9%,91.4%,15.8%,0.0%,15.8%,63.2%,42.1%,42.1%,15.8%,15.0%
Joey Ortiz RHB,N/A,21,2.20,0,1,0.200,0.429,0.267,0.067,0.331,28.6%,11.5%,-,3.8%,85.9,-,-,-,40.0%,26.7%,73.6,36.4%,31.8%,22.7%,91.7%,26.7%,0.0%,20.0%,46.7%,33.3%,13.3%,53.3%,25.0%
Blake Perkins SHB,N/A,18,2.00,0,1,-,0.056,-,-,0.040,-,31.0%,22.2%,13.6%,77.0,-,-,7.7%,23.1%,-,70.0,4.0%,20.0%,4.0%,92.6%,30.8%,0.0%,-,53.8%,30.8%,46.2%,23.1%,9.1%
Gary Sanchez RHB,N/A,16,1.60,0,0,0.182,0.438,0.273,0.091,0.342,25.0%,33.3%,25.0%,11.1%,85.5,-,-,-,28.6%,14.3%,69.7,5.6%,22.2%,11.1%,85.7%,28.6%,0.0%,14.3%,57.1%,28.6%,57.1%,14.3%,17.6%
Luis Rengifo SHB,+820,13,4.00,0,0,0.167,0.231,0.167,-,0.187,7.7%,20.0%,-,10.9%,74.8,-,-,16.7%,25.0%,16.7%,71.1,16.7%,13.3%,-,93.8%,16.7%,0.0%,16.7%,50.0%,16.7%,33.3%,50.0%,33.3%
