Matchup,MIL @ NYM
Pitcher,Kyle Harrison
Pitcher Team,MIL
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,98.1,402,0.223,0.286,0.376,0.153,1.11,13,1.19,6.5%,29.1%,30.3%,21.3%,14.1%,11.17,63.4%,7.8%,6.8%,35.6%,28.8%,15.3%,18.0%
vsLHB,29.0,114,0.222,0.257,0.324,0.102,1.00,1,0.31,4.4%,26.7%,28.9%,20.0%,12.6%,10.24,67.0%,9.7%,2.7%,24.0%,18.7%,7.1%,13.3%
vsRHB,69.0,288,0.223,0.297,0.398,0.174,1.16,12,1.57,7.3%,30.1%,30.9%,21.9%,14.7%,11.61,61.9%,7.1%,8.6%,40.6%,33.1%,17.2%,20.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Carson Benge LHB,,+870,20,4.20,10,3,3,94.5,326.7,6,4,30.0%,10.0%,20.0%,60.0%,30.0%,72.8,10.0%,60.0%,40.0%,100.0%,90.0%,80.0%,37.5%,10.0%,10.0%,30.0%,50.0%,20.0%,40.0%
Luis Torrens RHB,,+950,16,2.60,10,2,2,90.3,286.8,4,3,20.0%,-,10.0%,40.0%,50.0%,70.4,18.2%,63.6%,27.3%,100.0%,60.0%,40.0%,50.0%,20.0%,30.0%,20.0%,40.0%,40.0%,60.0%
A.J. Ewing LHB,,+1160,21,4.20,10,1,2,97.9,312.9,4,3,30.0%,10.0%,10.0%,70.0%,40.0%,72.1,11.1%,77.8%,55.6%,81.8%,60.0%,40.0%,25.0%,20.0%,40.0%,30.0%,30.0%,40.0%,20.0%
Francisco Alvarez RHB,,+740,44,3.80,10,1,1,83.1,246.4,2,1,10.0%,10.0%,10.0%,30.0%,30.0%,74.3,53.3%,33.3%,13.3%,93.8%,40.0%,20.0%,50.0%,20.0%,50.0%,30.0%,50.0%,20.0%,25.0%
Marcus Semien RHB,,+680,24,4.00,10,0,1,90.6,259.8,3,1,-,-,40.0%,40.0%,40.0%,70.5,7.1%,57.1%,14.3%,100.0%,70.0%,50.0%,0.0%,20.0%,20.0%,50.0%,30.0%,20.0%,80.0%
Francisco Lindor SHB,,+417,27,4.40,10,0,0,88.9,190.9,0,0,-,-,40.0%,30.0%,10.0%,73.0,33.3%,40.0%,13.3%,100.0%,50.0%,30.0%,0.0%,20.0%,30.0%,60.0%,10.0%,30.0%,40.0%
Luis Robert RHB,,+478,43,3.60,10,0,0,88.5,275.6,2,1,20.0%,10.0%,10.0%,30.0%,40.0%,79.6,92.9%,21.4%,21.4%,100.0%,70.0%,40.0%,0.0%,30.0%,30.0%,30.0%,40.0%,30.0%,66.7%
Bo Bichette RHB,,+600,40,4.40,10,0,0,91.6,271.9,2,0,-,-,20.0%,50.0%,60.0%,70.1,7.7%,46.2%,30.8%,92.9%,60.0%,20.0%,0.0%,40.0%,40.0%,30.0%,50.0%,20.0%,66.7%
Eric Wagaman RHB,,+600,14,2.20,10,0,0,83.5,222.2,3,0,-,-,-,20.0%,30.0%,73.2,36.4%,45.5%,18.2%,100.0%,50.0%,10.0%,0.0%,40.0%,40.0%,20.0%,40.0%,40.0%,33.3%
Christopher Morel RHB,,+610,18,3.00,8,0,1,97.8,275.8,2,2,12.5%,12.5%,12.5%,75.0%,37.5%,76.9,69.2%,53.8%,30.8%,100.0%,87.5%,50.0%,0.0%,37.5%,12.5%,25.0%,62.5%,12.5%,66.7%
Brett Baty LHB,—,N/A,12,2.60,6,0,0,94.3,312.0,3,0,16.7%,16.7%,16.7%,66.7%,66.7%,74.7,50.0%,50.0%,50.0%,88.9%,66.7%,16.7%,0.0%,50.0%,33.3%,16.7%,33.3%,50.0%,100.0%
Jared Young LHB,—,N/A,8,3.40,3,0,1,88.4,355.6,1,1,-,-,-,66.7%,33.3%,73.9,33.3%,66.7%,33.3%,100.0%,33.3%,33.3%,0.0%,-,66.7%,33.3%,33.3%,33.3%,0.0%
