Matchup,MIN @ DET
Pitcher,Drew Anderson
Pitcher Team,DET
Opposing Team,MIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,91.2,394,0.235,0.312,0.395,0.160,1.31,13,1.28,9.6%,27.6%,25.6%,20.7%,13.4%,9.92,62.6%,7.4%,8.0%,39.0%,24.1%,20.0%,11.6%
vsLHB,50.0,213,0.229,0.286,0.354,0.125,1.26,6,1.08,8.9%,23.9%,23.0%,17.9%,12.1%,8.82,63.7%,8.2%,6.9%,39.6%,25.0%,16.7%,13.9%
vsRHB,40.1,181,0.242,0.342,0.446,0.204,1.41,7,1.56,10.5%,32.3%,28.7%,24.1%,15.0%,11.60,61.3%,6.5%,9.5%,38.1%,22.9%,25.0%,8.6%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kody Clemens LHB,,+479,14,4.40,8,2,2,93.6,289.8,3,2,25.0%,25.0%,62.5%,37.5%,37.5%,71.5,27.3%,54.5%,18.2%,100.0%,62.5%,37.5%,66.7%,25.0%,25.0%,87.5%,12.5%,-,14.3%
Josh Bell SHB,,+550,33,4.00,8,1,1,94.1,308.7,2,2,25.0%,12.5%,25.0%,62.5%,25.0%,73.5,42.9%,42.9%,21.4%,100.0%,37.5%,37.5%,33.3%,-,50.0%,50.0%,37.5%,12.5%,40.0%
Brooks Lee SHB,,+880,19,4.40,8,1,1,91.5,335.0,4,1,12.5%,12.5%,12.5%,50.0%,37.5%,70.5,11.8%,29.4%,11.8%,94.4%,75.0%,50.0%,25.0%,25.0%,25.0%,37.5%,62.5%,-,71.4%
Ryan Jeffers RHB,,+610,32,4.40,8,1,1,89.2,250.8,1,1,12.5%,12.5%,25.0%,50.0%,25.0%,74.7,50.0%,35.7%,28.6%,93.3%,25.0%,12.5%,100.0%,12.5%,62.5%,50.0%,37.5%,12.5%,28.6%
Luke Keaschall RHB,,+1000,11,4.80,8,1,1,94.5,256.1,1,1,-,-,12.5%,75.0%,12.5%,70.1,25.0%,58.3%,41.7%,100.0%,37.5%,12.5%,100.0%,25.0%,50.0%,37.5%,62.5%,-,42.9%
Walker Jenkins LHB,,+1040,16,4.20,8,0,0,85.4,247.1,1,1,12.5%,-,12.5%,37.5%,25.0%,73.4,14.3%,57.1%,14.3%,87.5%,25.0%,12.5%,0.0%,12.5%,62.5%,62.5%,37.5%,-,33.3%
Kaelen Culpepper RHB,,+1160,15,4.20,8,0,0,87.8,280.4,3,0,-,-,-,37.5%,37.5%,72.8,18.2%,27.3%,9.1%,84.6%,50.0%,25.0%,0.0%,25.0%,37.5%,12.5%,37.5%,50.0%,100.0%
Victor Caratini SHB,,+980,21,2.80,8,0,1,91.5,204.0,2,0,12.5%,12.5%,12.5%,37.5%,37.5%,70.9,9.1%,63.6%,18.2%,100.0%,37.5%,-,-,37.5%,37.5%,12.5%,62.5%,25.0%,42.9%
Trevor Larnach LHB,,+990,21,2.60,8,0,1,95.0,321.1,3,1,12.5%,12.5%,25.0%,50.0%,25.0%,75.6,66.7%,66.7%,33.3%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,50.0%,50.0%,-,14.3%
Royce Lewis RHB,,+525,18,4.20,8,0,1,87.5,281.2,2,1,25.0%,12.5%,12.5%,50.0%,25.0%,76.4,63.6%,36.4%,18.2%,91.7%,37.5%,25.0%,0.0%,12.5%,50.0%,37.5%,37.5%,25.0%,60.0%
Ryan Kreidler RHB,—,N/A,18,1.80,8,0,1,88.3,294.5,3,2,25.0%,12.5%,25.0%,25.0%,25.0%,73.7,40.0%,50.0%,20.0%,100.0%,62.5%,37.5%,0.0%,25.0%,37.5%,50.0%,37.5%,12.5%,66.7%
Alex Jackson RHB,—,N/A,15,1.40,8,0,0,68.9,229.1,1,0,-,-,12.5%,12.5%,37.5%,73.2,28.6%,28.6%,-,77.8%,25.0%,-,-,25.0%,50.0%,50.0%,50.0%,-,80.0%
Gabriel Gonzalez RHB,—,N/A,-,1.40,2,0,0,82.1,-,0,0,-,-,-,50.0%,-,67.0,-,50.0%,-,100.0%,-,-,-,-,100.0%,50.0%,-,50.0%,0.0%
Ben Ross RHB,—,N/A,-,1.33,1,0,0,21.0,-,0,0,-,-,-,-,-,-,-,-,-,0.0%,-,-,-,-,-,100.0%,-,-,0.0%
