Matchup,MIN @ LAA
Pitcher,Walbert Urena
Pitcher Team,LAA
Opposing Team,MIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,137.1,580,0.205,0.275,0.301,0.096,1.24,9,0.59,11.6%,27.1%,22.6%,19.7%,12.5%,8.58,55.6%,6.5%,5.6%,36.4%,22.5%,9.5%,12.3%
vsLHB,74.1,327,0.222,0.294,0.323,0.100,1.44,4,0.48,13.8%,25.7%,19.9%,17.2%,11.4%,7.87,54.8%,6.1%,5.6%,36.7%,22.8%,8.2%,12.6%
vsRHB,61.2,253,0.184,0.251,0.274,0.090,1.02,5,0.73,8.7%,28.9%,26.1%,23.2%,14.0%,9.63,56.5%,7.0%,5.7%,35.8%,22.0%,11.4%,11.9%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kody Clemens LHB,,+445,21,4.40,8,2,2,92.4,295.9,4,2,25.0%,12.5%,25.0%,62.5%,25.0%,72.6,10.0%,50.0%,30.0%,100.0%,75.0%,62.5%,40.0%,12.5%,25.0%,37.5%,25.0%,37.5%,66.7%
Josh Bell SHB,,+543,26,4.20,8,1,1,98.8,310.1,3,2,25.0%,-,12.5%,62.5%,62.5%,70.3,20.0%,46.7%,33.3%,100.0%,75.0%,25.0%,50.0%,50.0%,25.0%,25.0%,50.0%,25.0%,37.5%
Trevor Larnach LHB,—,N/A,20,3.00,8,1,1,82.0,246.2,1,1,12.5%,12.5%,25.0%,12.5%,37.5%,71.3,23.1%,23.1%,7.7%,92.9%,50.0%,25.0%,50.0%,25.0%,50.0%,50.0%,12.5%,37.5%,66.7%
Emmanuel Rodriguez LHB,,+650,-,4.00,5,1,1,98.7,390.1,3,3,60.0%,-,-,80.0%,40.0%,77.7,71.4%,57.1%,42.9%,100.0%,60.0%,60.0%,33.3%,-,40.0%,20.0%,80.0%,-,33.3%
Walker Jenkins LHB,,+810,17,3.60,8,0,0,95.4,334.6,2,1,-,-,-,62.5%,37.5%,73.0,9.1%,72.7%,18.2%,100.0%,25.0%,12.5%,0.0%,12.5%,75.0%,62.5%,25.0%,12.5%,25.0%
Victor Caratini SHB,—,N/A,12,2.80,8,0,0,91.4,235.6,1,1,12.5%,-,-,50.0%,12.5%,70.5,22.2%,55.6%,33.3%,90.0%,12.5%,-,-,12.5%,62.5%,37.5%,62.5%,-,33.3%
Brooks Lee SHB,,+630,16,3.80,8,0,0,86.6,189.3,0,0,-,-,12.5%,37.5%,-,70.6,-,33.3%,25.0%,92.3%,25.0%,25.0%,0.0%,-,62.5%,50.0%,25.0%,25.0%,42.9%
Royce Lewis RHB,,+500,35,3.80,8,0,1,92.5,255.0,2,1,25.0%,-,-,62.5%,37.5%,78.5,81.8%,36.4%,36.4%,100.0%,50.0%,37.5%,0.0%,12.5%,37.5%,25.0%,25.0%,50.0%,20.0%
Austin Martin RHB,,+1100,13,4.00,8,0,0,75.9,100.5,0,0,-,-,-,25.0%,-,67.8,-,55.6%,-,90.0%,-,-,-,-,62.5%,37.5%,37.5%,25.0%,60.0%
Ryan Kreidler RHB,,+760,13,3.00,8,0,1,90.8,256.9,1,0,-,-,25.0%,37.5%,12.5%,72.7,20.0%,50.0%,20.0%,90.9%,50.0%,37.5%,0.0%,12.5%,50.0%,25.0%,37.5%,37.5%,57.1%
Alex Jackson RHB,—,N/A,15,1.40,8,0,0,71.1,221.4,0,0,-,-,12.5%,25.0%,25.0%,73.3,23.1%,15.4%,15.4%,86.7%,12.5%,-,-,12.5%,62.5%,37.5%,50.0%,12.5%,75.0%
Ryan Jeffers RHB,,+560,39,4.20,8,0,0,87.7,286.3,1,0,-,-,12.5%,25.0%,12.5%,74.2,50.0%,31.2%,6.2%,94.1%,37.5%,37.5%,0.0%,-,62.5%,25.0%,50.0%,25.0%,40.0%
Luke Keaschall RHB,,+920,21,4.60,8,0,0,83.7,239.9,1,0,-,-,-,25.0%,25.0%,71.1,-,71.4%,14.3%,77.8%,37.5%,37.5%,0.0%,-,37.5%,50.0%,12.5%,37.5%,42.9%
Ben Ross RHB,,+900,-,1.50,1,0,0,21.0,-,0,0,-,-,-,-,-,-,-,-,-,0.0%,-,-,-,-,-,100.0%,-,-,0.0%
