Matchup,NYM @ SD
Pitcher,Christian Scott
Pitcher Team,NYM
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,30.1,135,0.228,0.302,0.307,0.079,1.38,1,0.30,11.9%,22.4%,28.1%,21.2%,10.7%,11.27,56.6%,7.7%,3.9%,31.6%,26.3%,5.0%,17.1%
vsLHB,20.2,86,0.200,0.254,0.240,0.040,1.26,0,-,12.8%,20.6%,30.2%,22.8%,10.0%,11.32,58.1%,7.5%,2.0%,28.6%,20.4%,-,14.3%
vsRHB,9.1,49,0.282,0.386,0.436,0.154,1.71,1,0.96,10.2%,25.8%,24.5%,18.5%,12.0%,11.57,54.0%,8.0%,7.4%,37.0%,37.0%,10.0%,22.2%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Manny Machado RHB,+502,16,4.00,1,2,0.154,0.312,0.462,0.308,0.332,18.8%,31.8%,31.2%,13.7%,92.7,25.0%,12.5%,25.0%,75.0%,50.0%,74.9,55.0%,30.0%,20.0%,95.2%,25.0%,50.0%,25.0%,50.0%,62.5%,37.5%,-,26.7%
Ty France RHB,+630,12,3.40,1,2,0.200,0.333,0.600,0.400,0.389,16.7%,34.4%,50.0%,17.2%,93.4,50.0%,-,-,75.0%,50.0%,70.4,3.6%,7.1%,7.1%,90.3%,50.0%,50.0%,-,25.0%,-,25.0%,75.0%,23.1%
Rodolfo Durán RHB,+529,10,3.00,1,1,0.222,0.300,0.556,0.333,0.364,10.0%,33.3%,30.0%,16.1%,91.3,16.7%,16.7%,50.0%,50.0%,50.0%,73.4,38.5%,23.1%,15.4%,92.9%,33.3%,50.0%,33.3%,-,50.0%,33.3%,16.7%,50.0%
Fernando Tatis Jr. RHB,+490,17,4.20,0,0,0.250,0.294,0.250,-,0.248,5.9%,0.0%,5.9%,-,87.4,-,-,6.7%,53.3%,13.3%,76.7,70.6%,52.9%,29.4%,81.0%,26.7%,0.0%,13.3%,60.0%,26.7%,26.7%,46.7%,41.2%
Gavin Sheets LHB,+520,16,4.20,0,0,0.182,0.438,0.182,-,0.318,25.0%,20.0%,18.8%,7.0%,89.6,-,-,-,25.0%,25.0%,75.8,55.6%,16.7%,5.6%,90.0%,25.0%,0.0%,12.5%,25.0%,-,50.0%,50.0%,12.5%
Jackson Merrill LHB,+570,14,4.00,0,0,0.182,0.357,0.182,-,0.266,21.4%,28.1%,28.6%,13.8%,79.3,14.3%,-,28.6%,42.9%,42.9%,73.6,42.3%,15.4%,11.5%,83.9%,28.6%,0.0%,14.3%,28.6%,42.9%,28.6%,28.6%,43.8%
Freddy Fermin RHB,+1120,13,2.60,0,0,-,0.154,-,-,0.100,15.4%,32.3%,38.5%,17.5%,86.0,-,-,33.3%,16.7%,-,69.4,11.1%,7.4%,3.7%,87.1%,16.7%,0.0%,-,33.3%,33.3%,33.3%,33.3%,27.3%
Bryce Johnson SHB,N/A,13,2.60,0,0,0.333,0.385,0.417,0.083,0.353,7.7%,28.6%,23.1%,15.8%,60.2,-,-,-,-,11.1%,66.2,-,11.8%,-,89.5%,33.3%,0.0%,-,11.1%,11.1%,44.4%,44.4%,57.1%
Sung-Mun Song LHB,N/A,10,2.20,0,0,-,0.300,-,-,0.195,30.0%,25.0%,30.0%,11.1%,93.0,25.0%,-,-,50.0%,25.0%,70.5,3.8%,11.5%,7.7%,92.9%,25.0%,0.0%,-,75.0%,25.0%,75.0%,-,16.7%
Xander Bogaerts RHB,+790,9,4.00,0,0,0.200,0.333,0.200,-,0.243,22.2%,0.0%,-,-,83.1,-,-,14.3%,14.3%,14.3%,70.9,11.1%,11.1%,-,100.0%,28.6%,0.0%,-,57.1%,71.4%,28.6%,-,0.0%
Miguel Andujar RHB,+820,9,3.60,0,0,0.125,0.222,0.125,-,0.171,11.1%,26.1%,11.1%,15.4%,90.0,-,-,-,42.9%,28.6%,69.7,22.2%,22.2%,16.7%,78.3%,42.9%,0.0%,28.6%,-,-,42.9%,57.1%,40.0%
Jase Bowen RHB,N/A,2,2.67,0,0,0.500,0.500,0.500,-,0.445,-,75.0%,50.0%,42.9%,68.7,-,-,-,-,100.0%,69.0,-,-,-,50.0%,-,-,100.0%,-,-,100.0%,-,50.0%
