Matchup,NYM @ TEX
Pitcher,Nolan McLean
Pitcher Team,NYM
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,172.2,722,0.216,0.288,0.336,0.120,1.19,17,0.89,9.6%,23.8%,26.2%,22.6%,10.5%,9.85,59.8%,6.2%,6.5%,35.4%,23.6%,14.2%,16.0%
vsLHB,101.1,444,0.247,0.320,0.391,0.144,1.37,13,1.15,9.7%,24.0%,25.9%,24.8%,10.8%,10.21,60.4%,6.6%,7.6%,41.2%,26.7%,14.9%,17.3%
vsRHB,70.0,278,0.167,0.237,0.249,0.082,0.96,4,0.51,9.4%,23.5%,26.6%,19.9%,10.1%,9.51,58.8%,5.6%,4.7%,26.2%,18.6%,12.5%,14.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Josh Jung RHB,,+930,17,4.20,8,2,3,95.3,311.8,4,4,25.0%,-,25.0%,62.5%,87.5%,71.5,13.3%,40.0%,26.7%,100.0%,100.0%,62.5%,40.0%,37.5%,-,25.0%,25.0%,50.0%,66.7%
Justin Foscue RHB,—,N/A,14,2.60,8,1,1,85.0,259.0,2,1,12.5%,12.5%,25.0%,37.5%,25.0%,69.8,10.0%,50.0%,10.0%,66.7%,50.0%,37.5%,33.3%,12.5%,37.5%,50.0%,25.0%,25.0%,50.0%
Wyatt Langford RHB,,+560,14,4.40,8,1,2,94.7,322.6,4,3,37.5%,25.0%,50.0%,50.0%,50.0%,72.6,36.4%,63.6%,36.4%,84.6%,62.5%,37.5%,33.3%,25.0%,25.0%,50.0%,50.0%,-,33.3%
Elias Diaz RHB,—,N/A,4,3.40,8,0,0,88.0,154.2,0,0,-,-,-,37.5%,-,76.7,61.5%,23.1%,23.1%,92.9%,25.0%,12.5%,0.0%,12.5%,37.5%,12.5%,37.5%,50.0%,42.9%
Danny Jansen RHB,,+800,8,3.80,8,0,0,90.0,210.8,1,0,-,-,25.0%,50.0%,12.5%,67.9,9.1%,36.4%,-,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,62.5%,37.5%,-,42.9%
Brandon Nimmo LHB,,+840,16,4.20,8,0,0,92.3,309.5,2,0,-,-,-,62.5%,12.5%,71.4,25.0%,41.7%,25.0%,100.0%,37.5%,37.5%,0.0%,-,62.5%,37.5%,25.0%,37.5%,60.0%
Corey Seager LHB,,+567,25,4.40,8,0,1,92.7,271.3,3,1,-,-,12.5%,37.5%,50.0%,72.7,14.3%,42.9%,14.3%,100.0%,62.5%,25.0%,0.0%,37.5%,37.5%,37.5%,37.5%,25.0%,66.7%
Jake Burger RHB,,+680,24,4.20,8,0,0,86.4,225.6,1,0,-,-,25.0%,12.5%,25.0%,75.4,58.3%,16.7%,8.3%,100.0%,37.5%,25.0%,0.0%,12.5%,50.0%,50.0%,12.5%,37.5%,75.0%
Nicky Lopez LHB,,+2500,11,2.80,8,0,1,76.2,311.1,1,0,-,-,12.5%,37.5%,12.5%,67.3,-,71.4%,14.3%,87.5%,25.0%,12.5%,0.0%,12.5%,50.0%,37.5%,25.0%,37.5%,62.5%
Cody Freeman RHB,—,N/A,4,1.80,8,0,0,76.5,159.8,0,0,-,-,25.0%,12.5%,25.0%,69.4,-,50.0%,-,88.9%,25.0%,-,-,25.0%,62.5%,75.0%,12.5%,12.5%,0.0%
Ezequiel Duran RHB,,+1000,20,4.20,8,0,0,71.4,164.3,0,0,-,-,12.5%,12.5%,12.5%,71.4,30.0%,30.0%,-,83.3%,-,-,-,-,50.0%,50.0%,25.0%,25.0%,83.3%
Evan Carter LHB,,+1120,20,3.40,8,0,0,81.3,196.3,0,0,-,-,25.0%,37.5%,25.0%,68.9,10.0%,50.0%,20.0%,100.0%,50.0%,25.0%,0.0%,25.0%,25.0%,50.0%,25.0%,25.0%,40.0%
Alejandro Osuna LHB,—,N/A,19,1.60,8,0,0,83.6,272.8,3,1,-,-,-,12.5%,75.0%,70.7,11.1%,55.6%,-,90.0%,75.0%,25.0%,0.0%,50.0%,12.5%,-,25.0%,75.0%,16.7%
Michael Helman RHB,—,N/A,4,3.20,7,0,0,61.8,169.5,1,0,-,-,14.3%,-,-,70.0,-,20.0%,-,100.0%,42.9%,28.6%,0.0%,14.3%,14.3%,28.6%,42.9%,28.6%,80.0%
