Matchup,NYY @ ATH
Pitcher,Ryan Weathers
Pitcher Team,NYY
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,57.1,230,0.224,0.281,0.369,0.145,1.12,8,1.26,7.0%,26.3%,28.3%,23.1%,11.8%,10.20,63.0%,5.3%,10.1%,39.6%,26.2%,17.9%,14.8%
vsLHB,11.1,47,0.222,0.216,0.222,-,1.06,0,-,4.3%,32.9%,36.2%,43.6%,14.6%,13.50,60.9%,6.7%,-,32.1%,17.9%,-,25.0%
vsRHB,45.0,183,0.225,0.298,0.408,0.183,1.16,8,1.60,7.7%,24.9%,26.2%,19.8%,11.2%,9.60,63.6%,5.0%,12.4%,41.3%,28.1%,20.6%,12.4%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brent Rooker RHB,+360,17,4.20,1,1,0.188,0.235,0.375,0.188,0.266,5.9%,41.2%,41.2%,22.6%,93.1,11.1%,11.1%,44.4%,44.4%,66.7%,74.6,54.5%,21.2%,12.1%,97.1%,33.3%,33.3%,44.4%,11.1%,55.6%,11.1%,33.3%,54.5%
Nick Kurtz LHB,+390,14,4.20,1,1,0.333,0.429,0.667,0.333,0.466,7.1%,40.0%,35.7%,17.0%,89.5,14.3%,-,-,42.9%,28.6%,78.7,81.2%,18.8%,12.5%,80.0%,42.9%,33.3%,14.3%,42.9%,14.3%,42.9%,42.9%,35.7%
Tyler Soderstrom LHB,+540,10,4.20,1,1,0.300,0.300,0.600,0.300,0.388,-,33.3%,20.0%,17.4%,95.8,25.0%,12.5%,25.0%,62.5%,25.0%,75.6,52.6%,31.6%,21.1%,79.2%,50.0%,25.0%,-,50.0%,75.0%,25.0%,-,30.8%
Darell Hernaiz RHB,+1260,16,3.20,0,0,0.333,0.375,0.333,-,0.319,6.2%,25.9%,25.0%,13.2%,85.4,-,-,-,27.3%,45.5%,68.2,4.2%,29.2%,-,96.0%,18.2%,0.0%,45.5%,36.4%,18.2%,45.5%,36.4%,40.0%
Colby Thomas RHB,+470,15,1.80,0,1,0.400,0.400,0.533,0.133,0.407,-,19.4%,6.7%,11.3%,87.6,14.3%,-,-,28.6%,28.6%,75.1,46.4%,32.1%,14.3%,93.3%,28.6%,0.0%,21.4%,28.6%,28.6%,35.7%,35.7%,22.2%
Shea Langeliers RHB,+280,14,4.20,0,0,0.154,0.214,0.154,-,0.174,7.1%,25.0%,14.3%,14.3%,91.4,9.1%,9.1%,18.2%,54.5%,27.3%,76.4,58.8%,41.2%,23.5%,94.4%,9.1%,0.0%,27.3%,63.6%,36.4%,45.5%,18.2%,54.5%
Jonah Heim SHB,N/A,13,3.80,0,0,0.154,0.154,0.231,0.077,0.166,-,25.8%,38.5%,13.6%,82.6,-,-,12.5%,37.5%,37.5%,69.4,9.1%,13.6%,9.1%,78.6%,-,-,37.5%,50.0%,37.5%,37.5%,25.0%,53.8%
Zack Gelof RHB,+540,13,4.20,0,0,0.385,0.385,0.538,0.154,0.398,-,25.0%,23.1%,11.3%,93.9,10.0%,10.0%,10.0%,60.0%,30.0%,74.0,33.3%,29.2%,20.8%,100.0%,10.0%,0.0%,30.0%,40.0%,30.0%,40.0%,30.0%,26.7%
Jeff McNeil LHB,+1300,12,3.80,0,0,0.182,0.250,0.182,-,0.202,8.3%,23.1%,25.0%,12.0%,88.4,-,-,-,25.0%,50.0%,66.9,-,29.2%,4.2%,92.3%,12.5%,0.0%,37.5%,37.5%,12.5%,50.0%,37.5%,28.6%
Lawrence Butler LHB,N/A,12,2.20,0,0,0.091,0.167,0.182,0.091,0.160,8.3%,21.1%,25.0%,9.1%,89.7,-,-,12.5%,37.5%,12.5%,72.8,21.4%,35.7%,7.1%,77.8%,12.5%,0.0%,12.5%,62.5%,50.0%,37.5%,-,16.7%
Carlos Cortes LHB,N/A,10,4.00,0,0,0.556,0.600,0.778,0.222,0.593,-,50.0%,30.0%,27.6%,88.2,-,-,-,33.3%,33.3%,69.2,9.1%,9.1%,-,78.6%,-,-,33.3%,50.0%,16.7%,-,83.3%,37.5%
Henry Bolte RHB,+880,5,3.40,0,0,0.333,0.600,0.333,-,0.452,20.0%,60.0%,40.0%,27.3%,99.0,-,-,-,100.0%,-,78.5,88.9%,11.1%,11.1%,90.0%,-,-,-,100.0%,100.0%,-,-,20.0%
Alika Williams RHB,N/A,1,2.00,0,0,-,-,-,-,-,-,33.3%,-,20.0%,95.4,-,-,-,100.0%,-,69.5,-,33.3%,-,100.0%,-,-,-,100.0%,-,100.0%,-,0.0%
