Matchup,NYY @ CLE
Pitcher,Gavin Williams
Pitcher Team,CLE
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,81.2,324,0.212,0.287,0.384,0.172,1.08,11,1.21,7.7%,30.9%,28.7%,22.4%,15.2%,10.25,65.4%,9.1%,12.3%,47.8%,23.2%,19.1%,15.3%
vsLHB,49.1,197,0.198,0.283,0.401,0.203,0.99,8,1.46,6.6%,28.9%,29.4%,22.3%,14.9%,10.58,68.0%,9.7%,14.5%,43.5%,28.2%,20.0%,18.5%
vsRHB,31.0,127,0.235,0.293,0.357,0.122,1.26,3,0.87,9.4%,34.4%,27.6%,22.6%,15.7%,10.16,61.4%,8.2%,8.9%,54.4%,15.2%,16.7%,10.1%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Paul Goldschmidt RHB,,+880,15,23,4.00,1,1,0.190,0.261,0.381,0.190,0.280,8.7%,23.8%,17.4%,12.3%,82.1,253.9,5,1,-,-,11.8%,23.5%,35.3%,70.6,12.8%,20.5%,5.1%,92.9%,29.4%,20.0%,17.6%,41.2%,29.4%,29.4%,41.2%,26.7%
Jose Caballero RHB,,+1320,14,20,3.20,1,1,0.250,0.250,0.400,0.150,0.283,-,10.3%,5.0%,4.3%,82.4,255.3,5,1,-,-,16.7%,22.2%,38.9%,68.9,3.7%,37.0%,7.4%,93.1%,22.2%,25.0%,27.8%,38.9%,33.3%,22.2%,44.4%,5.6%
Ben Rice LHB,,+310,32,20,4.20,1,2,0.353,0.450,0.882,0.529,0.537,15.0%,16.7%,35.0%,6.9%,91.1,284.7,3,2,10.0%,10.0%,30.0%,30.0%,60.0%,72.3,27.3%,21.2%,6.1%,94.3%,30.0%,33.3%,40.0%,20.0%,50.0%,20.0%,30.0%,27.3%
Trent Grisham LHB,,+428,18,19,4.20,1,1,0.353,0.421,0.588,0.235,0.433,10.5%,20.0%,5.3%,8.6%,88.4,258.4,3,1,6.2%,6.2%,12.5%,31.2%,43.8%,70.4,12.5%,31.2%,12.5%,91.4%,25.0%,25.0%,25.0%,43.8%,43.8%,37.5%,18.8%,19.0%
Ryan McMahon LHB,,+650,11,18,2.80,1,1,0.222,0.222,0.389,0.167,0.265,-,35.3%,33.3%,17.9%,88.8,301.0,3,2,8.3%,-,-,41.7%,41.7%,76.0,60.7%,25.0%,17.9%,84.8%,33.3%,25.0%,16.7%,50.0%,25.0%,66.7%,8.3%,26.3%
Cody Bellinger LHB,,+525,21,17,4.00,1,1,0.154,0.353,0.385,0.231,0.329,23.5%,13.3%,5.9%,5.8%,89.6,331.5,5,3,16.7%,8.3%,16.7%,41.7%,41.7%,69.5,4.0%,28.0%,12.0%,83.3%,58.3%,14.3%,-,41.7%,41.7%,41.7%,16.7%,40.0%
Jazz Chisholm Jr. LHB,,+540,33,25,3.80,0,0,0.091,0.160,0.091,-,0.123,8.0%,27.3%,28.0%,12.5%,91.8,273.5,2,2,6.2%,-,6.2%,43.8%,18.8%,72.8,38.6%,27.3%,9.1%,100.0%,18.8%,0.0%,12.5%,68.8%,56.2%,18.8%,25.0%,22.7%
Anthony Volpe RHB,—,N/A,13,18,3.80,0,0,0.067,0.222,0.067,-,0.158,16.7%,25.0%,22.2%,14.1%,79.7,230.2,1,1,-,-,20.0%,30.0%,20.0%,70.7,5.4%,13.5%,2.7%,92.5%,20.0%,0.0%,20.0%,50.0%,50.0%,30.0%,20.0%,44.4%
J.C. Escarra LHB,,+770,6,15,3.00,0,0,0.154,0.267,0.154,-,0.205,13.3%,29.2%,20.0%,12.1%,80.5,293.0,3,2,-,-,10.0%,40.0%,30.0%,69.4,4.5%,27.3%,4.5%,91.7%,20.0%,0.0%,30.0%,30.0%,10.0%,50.0%,40.0%,14.3%
Amed Rosario RHB,—,N/A,19,13,3.40,0,0,0.385,0.385,0.385,-,0.342,-,28.0%,30.8%,16.7%,86.0,187.0,0,0,-,-,-,22.2%,22.2%,72.5,25.0%,10.0%,10.0%,83.3%,22.2%,0.0%,22.2%,44.4%,11.1%,44.4%,44.4%,27.3%
Spencer Jones LHB,,+710,13,10,2.00,0,0,0.333,0.400,0.444,0.111,0.370,10.0%,30.4%,50.0%,17.9%,96.6,222.5,0,0,-,-,-,75.0%,25.0%,77.6,81.4%,7.0%,4.7%,95.6%,-,-,25.0%,50.0%,50.0%,50.0%,-,56.2%
Max Schuemann RHB,—,N/A,7,9,2.60,0,0,0.143,0.333,0.286,0.143,0.285,22.2%,36.4%,33.3%,16.7%,97.1,260.4,1,0,-,-,25.0%,75.0%,25.0%,70.1,16.7%,11.1%,11.1%,94.7%,50.0%,0.0%,25.0%,25.0%,25.0%,50.0%,25.0%,40.0%
