Matchup,NYY @ LAA
Pitcher,Elmer Rodríguez
Pitcher Team,NYY
Opposing Team,LAA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,23.0,104,0.253,0.328,0.356,0.103,1.52,2,0.78,12.5%,27.6%,14.4%,13.3%,11.1%,5.87,57.1%,6.2%,6.8%,35.6%,21.9%,12.5%,9.6%
vsLHB,9.1,45,0.206,0.333,0.324,0.118,1.50,1,0.96,15.6%,24.3%,11.1%,9.6%,9.6%,4.82,52.2%,6.4%,12.9%,38.7%,32.3%,10.0%,9.7%
vsRHB,13.2,59,0.283,0.325,0.377,0.094,1.54,1,0.66,10.2%,30.3%,16.9%,16.4%,12.4%,6.59,61.0%,6.0%,2.4%,33.3%,14.3%,16.7%,9.5%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Zach Neto RHB,,+506,25,4.40,5,1,1,93.3,314.4,3,1,20.0%,20.0%,60.0%,60.0%,40.0%,75.5,50.0%,100.0%,25.0%,66.7%,100.0%,60.0%,33.3%,40.0%,-,60.0%,40.0%,-,0.0%
Travis d'Arnaud RHB,—,N/A,6,2.20,5,0,0,90.5,187.4,1,0,-,-,20.0%,40.0%,20.0%,69.6,14.3%,57.1%,14.3%,87.5%,20.0%,20.0%,0.0%,-,40.0%,20.0%,40.0%,40.0%,0.0%
Jose Siri RHB,—,N/A,25,3.60,5,0,0,88.0,265.5,1,1,20.0%,-,-,60.0%,20.0%,73.6,40.0%,20.0%,-,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,20.0%,80.0%,-,40.0%
Mike Trout RHB,,+490,30,4.40,5,0,2,98.6,345.9,3,2,40.0%,-,20.0%,60.0%,80.0%,75.6,57.1%,71.4%,28.6%,100.0%,80.0%,20.0%,0.0%,60.0%,20.0%,40.0%,40.0%,20.0%,25.0%
Denzer Guzman RHB,,+1060,16,4.00,5,0,0,77.5,266.2,2,1,20.0%,-,20.0%,20.0%,60.0%,74.0,37.5%,25.0%,12.5%,88.9%,60.0%,20.0%,0.0%,40.0%,-,20.0%,60.0%,20.0%,33.3%
Tyler Heineman SHB,,+1500,7,3.00,5,0,0,67.1,284.8,0,0,-,-,-,-,20.0%,63.7,-,40.0%,-,71.4%,20.0%,20.0%,0.0%,-,60.0%,40.0%,40.0%,20.0%,75.0%
Adam Frazier LHB,—,N/A,14,1.80,5,0,1,75.4,340.1,1,1,20.0%,-,-,60.0%,60.0%,65.1,-,37.5%,12.5%,88.9%,40.0%,20.0%,0.0%,20.0%,40.0%,20.0%,60.0%,20.0%,25.0%
Oswald Peraza RHB,—,N/A,12,2.60,5,0,0,91.4,256.4,0,0,-,-,20.0%,60.0%,40.0%,73.6,33.3%,66.7%,33.3%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,40.0%,60.0%,-,20.0%
Wade Meckler LHB,,+1080,11,4.00,5,0,0,80.5,295.4,1,0,-,-,-,20.0%,20.0%,69.4,-,75.0%,-,80.0%,40.0%,20.0%,0.0%,20.0%,40.0%,20.0%,40.0%,40.0%,50.0%
Vaughn Grissom RHB,,+920,13,4.40,5,0,0,72.8,275.8,0,0,-,-,20.0%,40.0%,40.0%,73.4,33.3%,66.7%,-,75.0%,40.0%,-,-,40.0%,40.0%,40.0%,60.0%,-,100.0%
Josh Lowe LHB,,+750,11,3.40,5,0,0,87.2,208.2,0,0,-,-,-,40.0%,40.0%,72.5,28.6%,42.9%,28.6%,87.5%,40.0%,-,-,40.0%,40.0%,-,40.0%,60.0%,20.0%
Moisés Ballesteros LHB,,+770,15,3.80,5,0,1,85.3,315.9,1,1,20.0%,20.0%,40.0%,20.0%,20.0%,72.1,30.0%,20.0%,10.0%,90.9%,60.0%,40.0%,0.0%,20.0%,40.0%,60.0%,-,40.0%,100.0%
Christian Moore RHB,,+800,7,4.20,1,0,0,55.9,-,0,0,-,-,-,-,-,74.3,-,-,-,50.0%,-,-,-,-,100.0%,100.0%,-,-,-
