Matchup,NYY @ LAA
Pitcher,Grayson Rodriguez
Pitcher Team,LAA
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,71.2,322,0.280,0.358,0.477,0.197,1.52,10,1.26,9.6%,23.1%,20.2%,15.4%,11.2%,8.16,59.6%,8.1%,9.1%,45.0%,27.3%,15.0%,16.8%
vsLHB,37.1,182,0.316,0.387,0.516,0.200,1.87,5,1.21,11.5%,22.6%,18.1%,13.0%,10.9%,7.96,60.4%,7.7%,7.1%,49.2%,29.4%,13.5%,14.3%
vsRHB,34.1,140,0.234,0.320,0.427,0.194,1.14,5,1.31,7.1%,23.8%,22.9%,19.0%,11.6%,8.39,58.6%,8.5%,11.7%,39.4%,24.5%,17.4%,20.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Amed Rosario RHB,,+725,21,3.20,8,2,2,91.0,288.9,3,2,25.0%,12.5%,12.5%,37.5%,62.5%,73.6,40.0%,50.0%,30.0%,90.9%,75.0%,37.5%,33.3%,37.5%,25.0%,25.0%,25.0%,50.0%,16.7%
Trent Grisham LHB,,+374,22,3.80,8,1,1,90.3,266.7,3,1,12.5%,-,25.0%,37.5%,25.0%,71.8,25.0%,50.0%,16.7%,92.3%,62.5%,62.5%,20.0%,-,25.0%,37.5%,50.0%,12.5%,42.9%
Luis Garcia Jr. LHB,,+449,22,3.60,8,1,1,86.1,246.8,1,1,-,-,25.0%,37.5%,37.5%,73.8,25.0%,33.3%,16.7%,100.0%,62.5%,37.5%,33.3%,25.0%,37.5%,62.5%,25.0%,12.5%,0.0%
Jose Caballero RHB,,+1000,15,3.40,8,1,1,89.9,252.7,1,1,12.5%,12.5%,25.0%,37.5%,50.0%,72.4,27.3%,27.3%,18.2%,91.7%,62.5%,25.0%,50.0%,37.5%,37.5%,50.0%,37.5%,12.5%,50.0%
Ben Rice LHB,,+341,34,4.20,8,1,1,89.0,298.5,2,1,25.0%,25.0%,25.0%,37.5%,62.5%,73.2,30.0%,40.0%,20.0%,90.9%,50.0%,25.0%,50.0%,25.0%,50.0%,62.5%,25.0%,12.5%,66.7%
Jazz Chisholm Jr. LHB,,+486,23,3.60,8,0,0,82.5,335.2,3,0,-,-,-,50.0%,25.0%,71.3,7.1%,35.7%,21.4%,93.3%,37.5%,12.5%,0.0%,25.0%,50.0%,12.5%,50.0%,37.5%,100.0%
Paul Goldschmidt RHB,—,N/A,18,3.80,8,0,0,83.1,252.6,1,0,-,-,-,12.5%,25.0%,69.7,-,45.5%,18.2%,84.6%,50.0%,37.5%,0.0%,12.5%,50.0%,25.0%,37.5%,37.5%,50.0%
Spencer Jones LHB,,+476,27,2.40,8,0,0,95.1,258.8,2,1,25.0%,12.5%,50.0%,62.5%,62.5%,77.9,85.7%,42.9%,35.7%,93.3%,62.5%,12.5%,0.0%,50.0%,37.5%,75.0%,25.0%,-,20.0%
Heliot Ramos RHB,—,N/A,17,2.60,8,0,0,90.1,235.5,2,1,-,-,-,62.5%,50.0%,75.4,50.0%,50.0%,40.0%,100.0%,50.0%,25.0%,0.0%,25.0%,37.5%,25.0%,25.0%,50.0%,0.0%
Cody Bellinger LHB,,+480,24,3.80,8,0,0,89.0,264.4,2,0,-,-,25.0%,25.0%,50.0%,68.6,-,41.7%,8.3%,92.3%,62.5%,12.5%,0.0%,50.0%,25.0%,50.0%,50.0%,-,40.0%
George Lombard Jr. RHB,—,N/A,8,3.40,8,0,1,97.0,286.0,3,1,12.5%,12.5%,25.0%,62.5%,50.0%,73.8,11.1%,66.7%,33.3%,100.0%,75.0%,50.0%,0.0%,25.0%,25.0%,37.5%,25.0%,37.5%,40.0%
Ali Sanchez RHB,—,N/A,13,1.60,8,0,0,78.0,219.1,0,0,-,-,25.0%,12.5%,37.5%,69.1,-,36.4%,-,100.0%,37.5%,12.5%,0.0%,25.0%,50.0%,62.5%,12.5%,25.0%,25.0%
Austin Wells LHB,,+550,28,2.80,8,0,1,85.4,255.4,1,1,-,-,12.5%,50.0%,25.0%,74.5,20.0%,40.0%,20.0%,83.3%,62.5%,50.0%,0.0%,12.5%,25.0%,37.5%,37.5%,25.0%,50.0%
