Matchup,NYY @ WSH
Pitcher,Carson Palmquist
Pitcher Team,WSH
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,6.0,28,0.320,0.339,0.360,0.040,1.67,0,-,7.1%,22.7%,25.0%,17.1%,11.7%,10.50,65.5%,6.2%,5.6%,27.8%,22.2%,-,11.1%
vsLHB,2.2,11,0.273,0.239,0.273,-,1.12,0,-,-,29.6%,45.5%,26.3%,16.3%,16.88,63.6%,2.0%,-,16.7%,-,-,-
vsRHB,3.1,17,0.357,0.403,0.429,0.071,2.10,0,-,11.8%,17.9%,11.8%,9.1%,8.9%,5.40,66.7%,8.9%,8.3%,33.3%,33.3%,-,16.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ben Rice LHB,,+300,23,4.20,10,2,2,94.3,314.6,3,2,20.0%,10.0%,20.0%,60.0%,50.0%,73.8,35.7%,57.1%,35.7%,100.0%,50.0%,30.0%,66.7%,20.0%,50.0%,60.0%,30.0%,10.0%,44.4%
Paul Goldschmidt RHB,,+390,20,3.60,10,1,2,88.4,267.7,2,2,10.0%,-,20.0%,30.0%,20.0%,72.9,42.1%,26.3%,5.3%,100.0%,40.0%,40.0%,25.0%,-,40.0%,40.0%,40.0%,20.0%,22.2%
Max Schuemann RHB,—,N/A,27,3.20,10,1,2,78.7,326.9,4,4,30.0%,20.0%,20.0%,40.0%,50.0%,71.6,11.1%,44.4%,22.2%,81.8%,70.0%,60.0%,16.7%,10.0%,10.0%,30.0%,50.0%,20.0%,71.4%
Austin Wells LHB,,+430,23,3.00,10,1,1,86.8,237.2,2,1,10.0%,10.0%,40.0%,30.0%,40.0%,72.8,26.7%,33.3%,6.7%,88.2%,40.0%,20.0%,50.0%,20.0%,30.0%,60.0%,20.0%,20.0%,62.5%
Jazz Chisholm Jr. LHB,,+320,20,3.60,10,0,0,90.7,236.3,3,2,-,-,20.0%,20.0%,30.0%,71.2,25.0%,75.0%,8.3%,100.0%,40.0%,30.0%,0.0%,10.0%,20.0%,30.0%,50.0%,20.0%,50.0%
Cody Bellinger LHB,,+390,20,4.20,10,0,0,86.0,264.8,1,1,-,-,20.0%,30.0%,30.0%,70.3,7.1%,42.9%,21.4%,93.3%,40.0%,10.0%,0.0%,30.0%,50.0%,60.0%,30.0%,10.0%,25.0%
Ryan McMahon LHB,—,N/A,11,3.20,10,0,1,88.0,271.7,1,1,10.0%,-,-,30.0%,20.0%,74.2,50.0%,42.9%,14.3%,100.0%,40.0%,30.0%,0.0%,10.0%,60.0%,30.0%,30.0%,40.0%,50.0%
Amed Rosario RHB,,+500,29,2.60,10,0,1,89.2,265.4,4,2,10.0%,-,-,50.0%,30.0%,73.4,40.0%,40.0%,13.3%,93.8%,40.0%,40.0%,0.0%,-,40.0%,30.0%,30.0%,40.0%,28.6%
Trent Grisham LHB,,+500,28,3.80,10,0,0,88.6,296.3,3,2,10.0%,-,-,60.0%,40.0%,71.3,-,42.9%,21.4%,87.5%,70.0%,40.0%,0.0%,30.0%,30.0%,20.0%,60.0%,20.0%,14.3%
Jose Caballero RHB,,+680,23,3.60,10,0,0,77.6,259.8,2,1,-,-,10.0%,30.0%,40.0%,70.7,15.4%,30.8%,-,100.0%,60.0%,20.0%,0.0%,40.0%,20.0%,30.0%,50.0%,20.0%,14.3%
Anthony Volpe RHB,—,N/A,23,3.00,10,0,0,82.7,216.7,0,0,-,-,-,30.0%,40.0%,72.1,21.4%,28.6%,21.4%,87.5%,30.0%,10.0%,0.0%,20.0%,60.0%,-,70.0%,30.0%,62.5%
Jasson Dominguez SHB,,+500,16,3.80,10,0,0,76.3,189.2,0,0,-,-,10.0%,-,10.0%,74.2,45.5%,9.1%,-,91.7%,40.0%,30.0%,0.0%,10.0%,40.0%,40.0%,20.0%,40.0%,40.0%
Ali Sanchez RHB,—,N/A,5,2.40,9,0,0,80.0,194.6,0,0,-,-,-,22.2%,55.6%,71.7,16.7%,33.3%,16.7%,100.0%,55.5%,11.1%,0.0%,44.4%,22.2%,11.1%,55.6%,33.3%,42.9%
