Matchup,PHI @ ARI
Pitcher,Brandon Pfaadt
Pitcher Team,ARI
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,105.0,431,0.237,0.292,0.378,0.141,1.14,12,1.03,6.0%,21.2%,16.7%,16.2%,10.3%,6.17,67.1%,7.9%,7.6%,34.5%,23.2%,14.5%,16.5%
vsLHB,57.2,240,0.262,0.328,0.452,0.190,1.25,11,1.72,5.8%,19.6%,15.8%,15.4%,9.5%,5.93,65.8%,6.4%,7.5%,34.4%,21.5%,25.0%,18.8%
vsRHB,47.1,191,0.205,0.247,0.284,0.080,1.01,1,0.19,6.3%,23.2%,17.8%,17.2%,11.4%,6.46,68.6%,9.9%,7.7%,34.5%,25.4%,2.8%,13.4%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bryce Harper LHB,,+525,25,4.60,8,2,2,97.1,301.0,3,2,37.5%,12.5%,12.5%,75.0%,62.5%,74.4,45.5%,54.5%,45.5%,91.7%,62.5%,25.0%,100.0%,37.5%,37.5%,37.5%,37.5%,25.0%,80.0%
Derek Hill RHB,—,N/A,37,2.20,8,1,1,86.2,279.6,3,1,12.5%,12.5%,25.0%,25.0%,37.5%,70.8,8.3%,41.7%,16.7%,92.3%,62.5%,37.5%,33.3%,25.0%,37.5%,37.5%,50.0%,12.5%,33.3%
J.T. Realmuto RHB,,+1100,12,3.80,8,1,1,92.2,272.4,2,2,12.5%,-,50.0%,62.5%,37.5%,71.0,9.1%,27.3%,18.2%,68.8%,50.0%,25.0%,0.0%,25.0%,37.5%,62.5%,37.5%,-,25.0%
Kyle Schwarber LHB,,+296,34,4.80,8,1,1,84.0,241.4,2,2,12.5%,12.5%,25.0%,25.0%,25.0%,78.7,92.9%,21.4%,14.3%,100.0%,37.5%,25.0%,50.0%,12.5%,25.0%,50.0%,25.0%,25.0%,66.7%
Justin Crawford LHB,,+1800,5,3.40,8,0,0,92.2,222.3,1,0,-,-,-,62.5%,25.0%,70.9,6.2%,43.8%,18.8%,100.0%,25.0%,12.5%,0.0%,12.5%,62.5%,25.0%,50.0%,25.0%,14.3%
Luis Arraez LHB,,+1500,5,3.60,8,0,1,83.9,253.8,1,1,-,-,25.0%,12.5%,-,62.5,-,60.0%,-,100.0%,37.5%,37.5%,0.0%,-,50.0%,50.0%,25.0%,25.0%,42.9%
Edmundo Sosa RHB,—,N/A,25,3.20,8,0,0,92.1,287.0,2,1,-,-,12.5%,25.0%,50.0%,70.2,13.3%,40.0%,13.3%,93.8%,62.5%,37.5%,0.0%,25.0%,37.5%,25.0%,37.5%,37.5%,57.1%
Trea Turner RHB,,+790,20,4.80,8,0,1,85.9,294.4,4,2,25.0%,12.5%,25.0%,37.5%,50.0%,70.5,10.0%,40.0%,20.0%,83.3%,62.5%,37.5%,0.0%,25.0%,25.0%,37.5%,37.5%,25.0%,57.1%
Brandon Marsh LHB,,+830,20,2.80,8,0,0,85.9,268.7,1,1,-,-,-,25.0%,37.5%,70.8,-,55.6%,-,100.0%,62.5%,25.0%,0.0%,37.5%,37.5%,25.0%,37.5%,37.5%,40.0%
Bryson Stott LHB,,+1300,15,4.00,8,0,1,88.0,264.7,3,1,-,-,37.5%,25.0%,25.0%,72.3,25.0%,62.5%,12.5%,80.0%,50.0%,37.5%,0.0%,12.5%,37.5%,62.5%,37.5%,-,28.6%
Alec Bohm RHB,,+1040,21,4.20,8,0,0,82.5,237.1,0,0,-,-,12.5%,37.5%,-,71.8,27.3%,36.4%,9.1%,84.6%,25.0%,25.0%,0.0%,-,75.0%,12.5%,62.5%,25.0%,50.0%
Garrett Stubbs LHB,,+1400,9,3.40,8,0,0,77.9,252.6,2,0,-,-,12.5%,-,25.0%,65.3,-,25.0%,-,88.9%,50.0%,50.0%,0.0%,-,37.5%,12.5%,25.0%,62.5%,20.0%
Bryan De La Cruz RHB,—,N/A,15,2.80,8,0,0,92.8,243.4,1,0,-,-,12.5%,50.0%,37.5%,70.9,8.3%,50.0%,25.0%,92.3%,50.0%,12.5%,0.0%,37.5%,37.5%,25.0%,50.0%,25.0%,20.0%
