Matchup,PHI @ BAL
Pitcher,Kyle Bradish
Pitcher Team,BAL
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,118.0,500,0.247,0.314,0.390,0.143,1.36,12,0.92,10.4%,24.7%,22.6%,20.3%,11.0%,8.62,55.5%,5.6%,8.1%,37.5%,21.9%,15.1%,11.4%
vsLHB,69.2,299,0.242,0.314,0.392,0.151,1.38,7,0.90,10.7%,23.0%,22.4%,21.3%,10.5%,8.66,55.3%,5.2%,6.5%,37.7%,21.6%,14.0%,12.6%
vsRHB,46.2,201,0.256,0.314,0.386,0.131,1.39,5,0.96,10.0%,27.1%,22.9%,18.9%,11.8%,8.87,55.7%,6.2%,10.4%,37.3%,22.4%,16.7%,9.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bryce Harper LHB,,+399,21,4.40,10,2,2,94.6,287.6,3,2,30.0%,10.0%,30.0%,50.0%,50.0%,76.3,60.0%,40.0%,33.3%,100.0%,80.0%,40.0%,25.0%,40.0%,20.0%,50.0%,20.0%,30.0%,44.4%
Trea Turner RHB,,+630,12,4.60,10,2,2,91.4,361.8,3,3,20.0%,20.0%,20.0%,50.0%,20.0%,74.4,41.7%,58.3%,33.3%,100.0%,40.0%,30.0%,66.7%,10.0%,60.0%,40.0%,60.0%,-,25.0%
Derek Hill RHB,—,N/A,49,2.40,10,1,1,90.8,279.7,2,1,10.0%,10.0%,20.0%,30.0%,40.0%,71.5,21.4%,35.7%,14.3%,100.0%,50.0%,30.0%,33.3%,20.0%,50.0%,50.0%,30.0%,20.0%,57.1%
J.T. Realmuto RHB,,+700,9,4.00,10,1,1,94.1,304.5,2,2,20.0%,10.0%,30.0%,80.0%,40.0%,74.1,40.0%,46.7%,53.3%,100.0%,40.0%,20.0%,50.0%,20.0%,60.0%,50.0%,30.0%,20.0%,16.7%
Bryson Stott LHB,,+670,24,4.00,10,1,2,95.6,310.1,3,3,20.0%,10.0%,20.0%,50.0%,50.0%,70.7,7.7%,61.5%,38.5%,100.0%,70.0%,30.0%,0.0%,40.0%,30.0%,30.0%,40.0%,30.0%,16.7%
Justin Crawford LHB,,+1400,6,3.80,10,0,0,86.7,303.1,2,1,-,-,20.0%,40.0%,30.0%,71.8,26.7%,40.0%,20.0%,88.2%,40.0%,20.0%,0.0%,20.0%,60.0%,30.0%,70.0%,-,87.5%
Edmundo Sosa RHB,—,N/A,18,3.40,10,0,0,82.4,275.6,1,1,-,-,-,30.0%,10.0%,71.6,21.4%,35.7%,14.3%,82.4%,30.0%,20.0%,0.0%,10.0%,60.0%,50.0%,30.0%,20.0%,57.1%
Gabriel Rincones Jr. LHB,,+1040,16,2.20,10,0,0,90.6,342.7,6,3,20.0%,-,10.0%,30.0%,30.0%,73.9,36.4%,63.6%,27.3%,91.7%,70.0%,50.0%,0.0%,20.0%,30.0%,20.0%,50.0%,30.0%,37.5%
Kyle Schwarber LHB,,+200,27,4.40,10,0,1,91.0,246.3,4,0,-,-,30.0%,50.0%,30.0%,77.5,61.5%,38.5%,23.1%,100.0%,70.0%,50.0%,0.0%,20.0%,20.0%,50.0%,20.0%,30.0%,50.0%
Brandon Marsh LHB,,+720,18,4.40,10,0,0,91.3,293.1,1,0,-,-,-,40.0%,20.0%,72.1,25.0%,43.8%,18.8%,100.0%,50.0%,40.0%,0.0%,10.0%,50.0%,40.0%,30.0%,30.0%,28.6%
Alec Bohm RHB,,+750,12,4.20,10,0,0,93.2,309.2,3,0,-,-,-,40.0%,10.0%,71.0,-,53.3%,13.3%,100.0%,50.0%,50.0%,0.0%,-,50.0%,-,50.0%,50.0%,83.3%
Garrett Stubbs LHB,—,N/A,5,2.80,10,0,0,79.8,276.5,3,1,-,-,-,30.0%,30.0%,69.0,-,40.0%,-,100.0%,40.0%,20.0%,0.0%,20.0%,30.0%,10.0%,60.0%,30.0%,42.9%
Bryan De La Cruz RHB,—,N/A,-,2.60,1,0,0,88.8,250.7,0,0,-,-,-,-,-,73.2,-,50.0%,-,100.0%,100.0%,100.0%,0.0%,-,-,-,-,100.0%,100.0%
