Matchup,PHI @ CIN
Pitcher,Brady Singer
Pitcher Team,CIN
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,49.2,221,0.255,0.357,0.495,0.240,1.43,13,2.36,9.5%,27.9%,23.1%,20.6%,11.5%,9.24,52.9%,5.6%,11.7%,36.6%,33.8%,26.5%,22.1%
vsLHB,32.1,145,0.256,0.372,0.543,0.287,1.42,11,3.06,9.0%,27.4%,25.5%,21.0%,11.7%,10.30,51.0%,5.3%,15.2%,37.0%,40.2%,29.7%,22.8%
vsRHB,17.1,76,0.254,0.327,0.403,0.149,1.44,2,1.04,10.5%,28.9%,18.4%,19.4%,11.1%,7.27,56.6%,6.4%,5.7%,35.8%,22.6%,16.7%,20.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brandon Marsh LHB,,+447,19,19,4.60,2,3,0.167,0.211,0.500,0.333,0.302,5.3%,11.5%,10.5%,7.9%,90.1,315.8,6,3,18.8%,6.2%,18.8%,50.0%,43.8%,73.4,34.8%,47.8%,30.4%,88.5%,50.0%,25.0%,50.0%,25.0%,43.8%,50.0%,37.5%,12.5%,40.0%
Trea Turner RHB,,+536,12,19,4.40,1,1,0.333,0.368,0.500,0.167,0.379,5.3%,34.4%,21.1%,18.0%,87.9,246.4,2,1,-,-,23.1%,38.5%,15.4%,71.5,21.4%,35.7%,10.7%,87.5%,38.5%,23.1%,33.3%,15.4%,53.8%,46.2%,30.8%,23.1%,15.4%
Kyle Schwarber LHB,,+150,31,18,4.40,1,1,0.200,0.278,0.400,0.200,0.288,11.1%,34.2%,44.4%,20.0%,90.8,237.2,2,2,12.5%,12.5%,12.5%,50.0%,37.5%,77.3,76.5%,11.8%,8.8%,89.5%,37.5%,25.0%,50.0%,12.5%,37.5%,37.5%,37.5%,25.0%,50.0%
Alec Bohm RHB,,+640,13,18,4.60,1,2,0.312,0.389,0.625,0.312,0.429,11.1%,20.0%,11.1%,8.8%,95.1,311.2,5,1,7.1%,-,7.1%,42.9%,42.9%,69.7,4.5%,50.0%,22.7%,75.9%,50.0%,14.3%,50.0%,35.7%,50.0%,28.6%,42.9%,28.6%,20.0%
J.T. Realmuto RHB,,+620,11,10,3.80,1,1,0.111,0.100,0.444,0.333,0.210,-,5.0%,10.0%,1.9%,83.3,318.6,3,1,12.5%,12.5%,25.0%,25.0%,25.0%,72.8,21.1%,21.1%,5.3%,100.0%,50.0%,37.5%,0.0%,12.5%,50.0%,50.0%,25.0%,25.0%,29.4%
Derek Hill RHB,—,N/A,21,6,3.00,1,1,0.833,0.833,1.333,0.500,0.943,-,21.4%,16.7%,11.5%,86.1,283.0,1,1,20.0%,20.0%,20.0%,20.0%,60.0%,70.8,15.4%,15.4%,7.7%,92.9%,60.0%,40.0%,50.0%,20.0%,40.0%,40.0%,40.0%,20.0%,50.0%
Edmundo Sosa RHB,—,N/A,23,14,3.60,0,0,-,-,-,-,-,-,20.7%,14.3%,13.0%,85.2,260.4,2,1,-,-,-,25.0%,16.7%,71.3,28.0%,24.0%,8.0%,86.2%,50.0%,33.3%,0.0%,16.7%,50.0%,33.3%,41.7%,25.0%,40.0%
Bryce Harper LHB,,+262,29,12,4.40,0,0,0.125,0.417,0.125,-,0.291,33.3%,26.1%,25.0%,12.2%,91.8,304.0,1,0,-,-,-,60.0%,20.0%,77.0,76.2%,14.3%,9.5%,95.5%,40.0%,40.0%,0.0%,-,60.0%,40.0%,40.0%,20.0%,58.3%
Justin Crawford LHB,,+1100,3,11,3.20,0,0,0.455,0.455,0.727,0.273,0.505,-,11.8%,18.2%,6.7%,85.5,236.6,1,0,-,-,11.1%,33.3%,11.1%,69.7,20.0%,26.7%,20.0%,93.8%,33.3%,11.1%,0.0%,22.2%,66.7%,22.2%,55.6%,22.2%,50.0%
Garrett Stubbs LHB,—,N/A,7,11,2.80,0,0,0.300,0.273,0.300,-,0.243,-,7.7%,9.1%,3.7%,87.0,227.8,1,0,-,-,-,30.0%,20.0%,68.0,-,63.6%,18.2%,84.6%,40.0%,20.0%,0.0%,20.0%,60.0%,30.0%,50.0%,20.0%,44.4%
