Matchup,PHI @ CIN
Pitcher,Jesus Luzardo
Pitcher Team,PHI
Opposing Team,CIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,59.0,248,0.224,0.284,0.329,0.105,1.20,4,0.61,8.9%,30.5%,27.4%,22.7%,13.8%,10.37,61.0%,6.2%,5.2%,30.5%,21.4%,12.1%,10.4%
vsLHB,17.2,66,0.133,0.162,0.133,-,0.68,0,-,6.1%,38.1%,34.8%,30.3%,17.5%,11.72,71.6%,7.3%,2.6%,28.9%,7.9%,-,7.9%
vsRHB,41.1,182,0.258,0.328,0.403,0.145,1.43,4,0.87,9.9%,27.9%,24.7%,20.1%,12.6%,9.80,57.1%,5.8%,6.0%,31.0%,25.9%,13.3%,11.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Noelvi Marte RHB,,+640,21,12,4.20,2,2,0.250,0.250,0.750,0.500,0.424,-,22.2%,33.3%,10.9%,92.4,331.6,4,2,25.0%,12.5%,25.0%,37.5%,37.5%,72.5,36.0%,20.0%,12.0%,92.6%,62.5%,50.0%,25.0%,12.5%,25.0%,37.5%,62.5%,-,23.1%
Sal Stewart RHB,,+390,17,15,4.40,1,1,0.286,0.333,0.500,0.214,0.361,6.7%,24.0%,26.7%,12.2%,92.8,257.0,2,1,10.0%,-,20.0%,40.0%,20.0%,73.3,36.0%,28.0%,16.0%,100.0%,50.0%,30.0%,33.3%,20.0%,50.0%,50.0%,40.0%,10.0%,27.3%
Elly De La Cruz SHB,,+425,26,15,4.60,1,1,0.600,0.733,0.900,0.300,0.653,33.3%,23.1%,13.3%,8.6%,101.1,342.4,1,1,28.6%,28.6%,28.6%,71.4%,14.3%,77.5,76.0%,24.0%,20.0%,96.2%,28.6%,14.3%,100.0%,14.3%,71.4%,42.9%,28.6%,28.6%,23.1%
Eugenio Suarez RHB,,+401,19,10,4.20,1,1,0.222,0.300,0.667,0.444,0.402,10.0%,36.8%,30.0%,13.7%,96.9,305.3,2,0,33.3%,33.3%,33.3%,50.0%,33.3%,73.4,44.4%,22.2%,11.1%,94.7%,66.6%,33.3%,50.0%,33.3%,33.3%,66.7%,-,33.3%,10.0%
Spencer Steer RHB,,+498,19,18,4.00,0,0,0.333,0.556,0.333,-,0.414,33.3%,23.3%,11.1%,10.4%,86.5,254.0,1,0,-,-,-,44.4%,11.1%,72.1,17.9%,17.9%,10.7%,96.6%,11.1%,11.1%,0.0%,-,77.8%,33.3%,33.3%,33.3%,42.9%
Tyler Stephenson RHB,,+570,10,17,3.80,0,1,0.308,0.471,0.385,0.077,0.384,23.5%,9.7%,11.8%,4.2%,92.0,274.4,4,1,18.2%,18.2%,45.5%,45.5%,54.5%,70.5,4.0%,28.0%,16.0%,80.6%,72.8%,27.3%,0.0%,45.5%,27.3%,45.5%,27.3%,27.3%,43.8%
JJ Bleday LHB,,+581,21,14,4.40,0,0,0.182,0.357,0.182,-,0.266,21.4%,21.7%,7.1%,8.9%,82.8,303.4,1,1,-,-,-,40.0%,30.0%,73.5,35.0%,25.0%,5.0%,95.2%,30.0%,10.0%,0.0%,20.0%,70.0%,20.0%,70.0%,10.0%,28.6%
Edwin Arroyo SHB,,+1200,2,10,3.40,0,0,0.400,0.400,0.600,0.200,0.429,-,10.0%,10.0%,7.4%,85.5,206.3,0,0,-,-,11.1%,33.3%,44.4%,69.0,-,25.0%,5.0%,100.0%,55.5%,11.1%,0.0%,44.4%,22.2%,22.2%,22.2%,55.6%,54.5%
TJ Friedl LHB,—,N/A,3,9,3.40,0,0,0.125,0.222,0.125,-,0.171,11.1%,25.0%,33.3%,9.4%,69.1,229.6,1,1,-,-,-,20.0%,60.0%,68.8,-,20.0%,-,83.3%,40.0%,40.0%,0.0%,-,20.0%,20.0%,60.0%,20.0%,33.3%
Nathaniel Lowe LHB,—,N/A,5,9,3.60,0,0,-,0.111,-,-,0.072,11.1%,22.7%,22.2%,10.9%,86.7,238.4,0,0,-,-,-,40.0%,40.0%,72.5,23.5%,11.8%,-,81.0%,60.0%,20.0%,0.0%,40.0%,40.0%,20.0%,40.0%,40.0%,27.3%
