Matchup,PHI @ MIL
Pitcher,Jacob Misiorowski
Pitcher Team,MIL
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,78.0,302,0.151,0.207,0.210,0.059,0.81,4,0.46,7.3%,37.8%,38.4%,33.0%,18.1%,13.38,66.0%,7.5%,2.5%,31.8%,22.3%,11.4%,11.5%
vsLHB,41.0,159,0.115,0.192,0.173,0.058,0.73,2,0.44,8.8%,42.7%,47.2%,35.4%,21.0%,16.46,64.4%,8.2%,1.5%,33.8%,23.1%,13.3%,13.8%
vsRHB,37.0,143,0.188,0.223,0.248,0.060,0.89,2,0.49,5.6%,31.3%,28.7%,29.5%,14.6%,9.97,67.8%,6.6%,3.3%,30.4%,21.7%,10.0%,9.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brandon Marsh LHB,,+820,23,14,4.40,2,2,0.583,0.643,1.083,0.500,0.711,14.3%,20.0%,7.1%,11.8%,92.6,260.8,3,3,18.2%,9.1%,27.3%,54.5%,72.7%,71.5,18.9%,24.3%,13.5%,92.5%,18.2%,100.0%,54.5%,18.2%,36.4%,45.5%,18.2%,31.2%
J.T. Realmuto RHB,,+1000,24,18,4.00,1,1,0.067,0.222,0.267,0.200,0.229,11.1%,45.5%,44.4%,21.7%,86.3,307.6,2,2,28.6%,14.3%,14.3%,42.9%,42.9%,71.3,15.4%,15.4%,3.8%,81.2%,28.6%,50.0%,14.3%,42.9%,28.6%,28.6%,42.9%,50.0%
Bryce Harper LHB,,+470,36,16,4.40,1,1,0.200,0.500,0.500,0.300,0.430,37.5%,26.7%,18.8%,7.7%,91.5,232.0,1,0,-,-,28.6%,71.4%,14.3%,75.9,57.1%,35.7%,28.6%,93.3%,42.9%,33.3%,28.6%,28.6%,42.9%,42.9%,14.3%,18.2%
Alec Bohm RHB,,+1140,13,16,4.20,1,0,0.357,0.438,0.643,0.286,0.459,12.5%,24.2%,18.8%,12.9%,89.6,250.2,2,0,9.1%,-,9.1%,45.5%,45.5%,70.2,7.7%,23.1%,15.4%,81.2%,27.3%,33.3%,36.4%,36.4%,18.2%,36.4%,45.5%,33.3%
Rafael Marchan SHB,—,N/A,16,15,2.80,1,1,0.143,0.200,0.357,0.214,0.243,6.7%,9.7%,-,4.8%,82.9,192.9,1,1,7.1%,7.1%,35.7%,7.1%,35.7%,66.6,-,30.0%,3.3%,96.8%,14.3%,50.0%,21.4%,21.4%,50.0%,14.3%,35.7%,25.0%
Trea Turner RHB,,+1080,14,17,4.60,0,0,0.250,0.294,0.312,0.062,0.270,5.9%,24.1%,23.5%,13.2%,81.6,249.9,2,0,-,-,8.3%,33.3%,41.7%,69.9,11.5%,15.4%,3.8%,92.9%,25.0%,0.0%,25.0%,41.7%,16.7%,41.7%,41.7%,29.4%
Justin Crawford LHB,,+1460,17,16,2.60,0,0,0.188,0.188,0.250,0.062,0.191,-,23.7%,31.2%,15.0%,91.6,290.8,3,0,-,-,-,18.2%,36.4%,68.8,2.9%,25.7%,2.9%,92.1%,36.4%,0.0%,27.3%,36.4%,9.1%,45.5%,45.5%,45.0%
Adolis Garcia RHB,,+650,26,15,3.80,0,0,0.071,0.133,0.071,-,0.103,6.7%,55.6%,80.0%,26.0%,90.6,-,0,0,-,-,-,-,-,69.9,9.7%,6.5%,-,86.1%,-,-,-,100.0%,50.0%,-,50.0%,22.2%
Garrett Stubbs LHB,—,N/A,7,14,2.60,0,0,0.182,0.357,0.182,-,0.276,7.1%,12.5%,14.3%,7.1%,82.7,251.8,3,0,-,-,11.1%,55.6%,33.3%,68.9,-,30.0%,-,95.2%,22.2%,0.0%,33.3%,22.2%,11.1%,66.7%,22.2%,42.9%
Bryson Stott LHB,,+900,25,13,4.20,0,1,0.364,0.462,0.455,0.091,0.403,15.4%,13.3%,7.7%,6.2%,89.4,252.4,3,1,-,-,-,50.0%,60.0%,69.7,7.9%,18.4%,5.3%,86.4%,40.0%,0.0%,40.0%,10.0%,-,40.0%,60.0%,20.8%
