Matchup,PHI @ MIN
Pitcher,Dean Kremer
Pitcher Team,MIN
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,48.0,193,0.239,0.333,0.494,0.256,1.17,12,2.25,7.3%,27.2%,23.3%,19.7%,12.8%,8.44,61.0%,6.5%,7.5%,34.6%,37.6%,24.0%,24.1%
vsLHB,27.2,115,0.252,0.355,0.524,0.272,1.30,7,2.28,8.7%,25.1%,20.9%,18.2%,11.6%,7.81,61.5%,6.0%,6.2%,33.3%,34.6%,25.0%,25.9%
vsRHB,19.2,78,0.219,0.301,0.452,0.233,1.02,5,2.29,5.1%,30.2%,26.9%,21.6%,14.6%,9.61,60.3%,7.1%,9.6%,36.5%,42.3%,22.7%,21.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kyle Schwarber LHB,,+278,35,4.60,10,2,3,92.3,297.6,3,3,20.0%,20.0%,40.0%,60.0%,30.0%,75.7,66.7%,77.8%,22.2%,100.0%,40.0%,30.0%,66.7%,10.0%,50.0%,60.0%,10.0%,30.0%,57.1%
Derek Hill RHB,—,N/A,42,3.60,10,1,1,85.0,237.6,3,1,10.0%,10.0%,20.0%,20.0%,30.0%,71.1,6.2%,37.5%,12.5%,80.0%,50.0%,30.0%,33.3%,20.0%,40.0%,40.0%,40.0%,20.0%,37.5%
Justin Crawford LHB,,+2600,6,3.00,10,0,1,96.0,260.7,2,1,10.0%,-,10.0%,70.0%,30.0%,71.3,33.3%,50.0%,41.7%,92.3%,50.0%,20.0%,0.0%,30.0%,50.0%,10.0%,50.0%,40.0%,33.3%
Luis Arraez LHB,,+3000,5,4.60,10,0,0,84.0,262.0,1,0,-,-,30.0%,10.0%,50.0%,62.5,-,71.4%,14.3%,77.8%,70.0%,40.0%,0.0%,30.0%,30.0%,40.0%,40.0%,20.0%,28.6%
Edmundo Sosa RHB,,+750,28,3.40,10,0,0,82.6,266.0,3,1,-,-,-,30.0%,20.0%,71.8,16.7%,33.3%,11.1%,90.0%,50.0%,40.0%,0.0%,10.0%,30.0%,20.0%,60.0%,20.0%,33.3%
Bryce Harper LHB,,+452,34,4.60,10,0,2,88.0,281.3,2,0,-,-,10.0%,50.0%,30.0%,73.6,33.3%,41.7%,16.7%,92.3%,30.0%,20.0%,0.0%,10.0%,70.0%,20.0%,40.0%,40.0%,71.4%
J.T. Realmuto RHB,,+950,11,4.40,10,0,1,93.9,263.5,2,1,-,-,20.0%,40.0%,20.0%,73.2,22.2%,66.7%,33.3%,90.0%,60.0%,30.0%,0.0%,30.0%,40.0%,50.0%,30.0%,20.0%,33.3%
Trea Turner RHB,,+660,15,4.60,10,0,0,80.1,236.6,1,0,-,-,-,10.0%,50.0%,71.4,20.0%,30.0%,-,90.9%,30.0%,10.0%,0.0%,20.0%,60.0%,30.0%,20.0%,50.0%,83.3%
Brandon Marsh LHB,,+1000,23,4.20,10,0,0,91.8,273.5,4,1,-,-,30.0%,70.0%,50.0%,72.6,21.4%,57.1%,28.6%,100.0%,70.0%,30.0%,0.0%,40.0%,30.0%,50.0%,20.0%,30.0%,60.0%
Bryson Stott LHB,,+680,16,4.60,10,0,0,89.3,264.7,1,0,-,-,30.0%,30.0%,60.0%,68.9,-,75.0%,25.0%,88.9%,70.0%,20.0%,0.0%,50.0%,30.0%,40.0%,40.0%,20.0%,11.1%
Alec Bohm RHB,,+870,15,4.60,10,0,1,88.4,312.2,2,2,10.0%,-,-,40.0%,40.0%,72.8,18.2%,36.4%,18.2%,100.0%,50.0%,20.0%,0.0%,30.0%,50.0%,20.0%,60.0%,20.0%,25.0%
Garrett Stubbs LHB,—,N/A,5,3.00,10,0,0,82.6,282.7,3,1,-,-,10.0%,20.0%,30.0%,66.1,-,28.6%,-,100.0%,50.0%,40.0%,0.0%,10.0%,40.0%,20.0%,50.0%,30.0%,42.9%
Bryan De La Cruz RHB,—,N/A,14,3.60,7,0,0,94.9,199.3,1,0,-,-,-,57.1%,42.9%,70.1,11.1%,55.6%,44.4%,100.0%,28.6%,-,-,28.6%,57.1%,14.3%,57.1%,28.6%,33.3%
