Matchup,PHI @ MIN
Pitcher,Jesus Luzardo
Pitcher Team,PHI
Opposing Team,MIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,143.2,594,0.223,0.280,0.337,0.114,1.15,12,0.75,7.6%,31.8%,29.5%,24.5%,14.8%,10.96,61.6%,5.9%,5.8%,31.0%,20.9%,15.8%,12.1%
vsLHB,41.1,155,0.152,0.178,0.186,0.034,0.73,1,0.22,5.2%,34.3%,33.5%,28.4%,16.5%,11.32,71.2%,6.7%,2.2%,28.0%,10.8%,10.0%,5.4%
vsRHB,100.2,439,0.250,0.316,0.393,0.143,1.34,11,0.98,8.4%,31.0%,28.0%,23.2%,14.2%,11.00,58.3%,5.6%,7.0%,32.1%,24.4%,16.7%,14.4%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Josh Bell SHB,,+620,17,4.60,10,2,2,88.9,304.4,3,3,30.0%,10.0%,20.0%,30.0%,40.0%,70.6,20.0%,40.0%,20.0%,93.8%,60.0%,50.0%,40.0%,10.0%,30.0%,30.0%,70.0%,-,20.0%
Royce Lewis RHB,,+483,20,4.60,10,2,3,92.8,304.6,4,2,20.0%,10.0%,40.0%,50.0%,60.0%,77.1,62.5%,37.5%,18.8%,100.0%,70.0%,40.0%,50.0%,30.0%,30.0%,60.0%,30.0%,10.0%,14.3%
Trevor Larnach LHB,—,N/A,13,4.00,10,1,1,76.6,226.6,2,1,10.0%,10.0%,30.0%,30.0%,30.0%,70.9,15.4%,23.1%,23.1%,86.7%,30.0%,10.0%,0.0%,20.0%,40.0%,50.0%,20.0%,30.0%,57.1%
Austin Martin RHB,,+1280,14,3.60,10,1,1,91.0,344.7,4,2,30.0%,20.0%,20.0%,50.0%,90.0%,70.3,7.7%,53.8%,23.1%,92.9%,50.0%,-,-,50.0%,50.0%,30.0%,70.0%,-,55.6%
Kaelen Culpepper RHB,,+1100,-,4.20,3,1,1,84.2,263.4,1,1,33.3%,-,-,33.3%,66.7%,73.3,40.0%,20.0%,20.0%,100.0%,66.6%,33.3%,100.0%,33.3%,-,-,66.7%,33.3%,50.0%
Victor Caratini SHB,,+960,17,4.00,10,0,0,88.0,239.4,1,0,-,-,10.0%,20.0%,20.0%,70.2,11.1%,44.4%,5.6%,100.0%,40.0%,10.0%,0.0%,30.0%,50.0%,30.0%,30.0%,40.0%,37.5%
Byron Buxton RHB,,+355,22,3.80,10,0,1,93.4,289.2,2,1,20.0%,10.0%,30.0%,60.0%,40.0%,74.1,40.0%,40.0%,20.0%,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,40.0%,60.0%,-,50.0%
Brooks Lee SHB,,+800,10,4.40,10,0,0,86.0,245.9,1,0,-,-,40.0%,20.0%,40.0%,70.2,-,29.4%,11.8%,100.0%,60.0%,40.0%,0.0%,20.0%,30.0%,50.0%,30.0%,20.0%,60.0%
Kody Clemens LHB,,+520,23,4.40,10,0,1,86.1,204.4,1,0,-,-,10.0%,40.0%,-,72.2,14.3%,42.9%,14.3%,93.3%,20.0%,20.0%,0.0%,-,70.0%,50.0%,30.0%,20.0%,28.6%
Ryan Kreidler RHB,,+800,8,3.60,10,0,0,81.3,235.8,1,1,-,-,10.0%,30.0%,40.0%,73.6,33.3%,16.7%,11.1%,94.7%,30.0%,10.0%,0.0%,20.0%,50.0%,20.0%,50.0%,30.0%,57.1%
Ryan Jeffers RHB,,+592,16,4.20,10,0,0,83.6,255.9,1,0,-,-,-,10.0%,50.0%,71.9,18.8%,37.5%,6.2%,94.1%,60.0%,20.0%,0.0%,40.0%,30.0%,10.0%,50.0%,40.0%,0.0%
Luke Keaschall RHB,,+1180,7,4.20,10,0,0,83.3,253.0,2,1,-,-,10.0%,20.0%,50.0%,68.2,-,33.3%,11.1%,90.0%,50.0%,30.0%,0.0%,20.0%,40.0%,40.0%,40.0%,20.0%,25.0%
Alan Roden LHB,—,N/A,1,3.00,5,0,0,94.3,269.4,1,0,20.0%,20.0%,40.0%,60.0%,20.0%,73.3,42.9%,57.1%,42.9%,87.5%,60.0%,40.0%,0.0%,20.0%,40.0%,80.0%,-,20.0%,0.0%
