Matchup,PHI @ NYM
Pitcher,Zack Wheeler
Pitcher Team,PHI
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,68.1,259,0.176,0.247,0.324,0.147,0.88,8,1.05,6.9%,27.9%,26.6%,20.8%,13.8%,9.09,67.2%,5.8%,7.1%,34.7%,24.1%,19.5%,17.1%
vsLHB,38.2,155,0.188,0.276,0.355,0.167,1.03,6,1.40,9.0%,27.6%,25.2%,18.2%,13.6%,9.08,62.6%,5.7%,7.0%,40.0%,25.0%,24.0%,19.0%
vsRHB,29.1,104,0.160,0.204,0.280,0.120,0.68,2,0.61,3.8%,28.6%,28.8%,25.6%,14.1%,9.20,74.0%,6.0%,7.1%,27.1%,22.9%,12.5%,14.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bo Bichette RHB,,+890,19,24,4.40,2,2,0.409,0.458,0.773,0.364,0.523,4.2%,28.3%,25.0%,14.9%,91.9,271.9,4,2,13.3%,6.7%,6.7%,46.7%,53.3%,69.7,15.0%,22.5%,17.5%,88.9%,26.7%,50.0%,40.0%,26.7%,13.3%,40.0%,46.7%,36.0%
Francisco Alvarez RHB,,+563,28,22,4.20,2,2,0.250,0.318,0.550,0.300,0.371,9.1%,38.5%,36.4%,19.2%,90.8,268.6,3,2,25.0%,-,33.3%,58.3%,41.7%,74.6,45.7%,20.0%,20.0%,89.7%,33.3%,50.0%,25.0%,25.0%,50.0%,50.0%,-,30.0%
Francisco Lindor SHB,,+480,19,21,3.80,2,2,0.286,0.286,0.571,0.286,0.370,-,32.0%,28.6%,14.8%,96.6,268.3,4,3,13.3%,13.3%,33.3%,60.0%,46.7%,73.8,39.5%,26.3%,10.5%,88.4%,26.7%,50.0%,46.7%,20.0%,53.3%,13.3%,33.3%,17.4%
Juan Soto LHB,,+342,29,16,3.80,2,2,0.417,0.562,1.000,0.583,0.615,25.0%,24.1%,6.2%,9.3%,96.0,259.6,3,2,10.0%,10.0%,30.0%,60.0%,40.0%,71.0,19.2%,26.9%,19.2%,89.7%,20.0%,100.0%,40.0%,20.0%,40.0%,50.0%,10.0%,14.3%
Carson Benge LHB,,+610,20,15,4.80,2,2,0.214,0.267,0.643,0.429,0.383,6.7%,17.2%,20.0%,8.9%,91.1,293.0,2,2,10.0%,10.0%,20.0%,40.0%,30.0%,69.7,16.7%,29.2%,8.3%,82.8%,50.0%,40.0%,20.0%,30.0%,20.0%,30.0%,50.0%,31.2%
A.J. Ewing LHB,,+970,22,19,4.20,1,2,0.312,0.421,0.562,0.250,0.420,15.8%,15.4%,5.3%,7.4%,89.6,273.4,5,3,6.7%,-,13.3%,40.0%,53.3%,70.1,8.0%,40.0%,8.0%,100.0%,33.3%,20.0%,33.3%,26.7%,26.7%,26.7%,46.7%,45.5%
Ronny Mauricio SHB,—,N/A,10,15,3.80,1,1,0.200,0.200,0.400,0.200,0.259,-,22.2%,33.3%,15.4%,88.4,272.3,2,1,10.0%,-,10.0%,40.0%,20.0%,74.9,46.2%,12.8%,10.3%,86.7%,20.0%,0.0%,20.0%,50.0%,30.0%,70.0%,-,63.6%
Luis Torrens RHB,,+1200,18,14,3.20,1,3,0.154,0.214,0.462,0.308,0.292,-,18.2%,21.4%,9.4%,85.9,245.6,3,3,30.0%,-,-,50.0%,50.0%,71.2,10.3%,20.7%,17.2%,87.9%,30.0%,33.3%,30.0%,20.0%,-,70.0%,30.0%,30.0%
Jared Young LHB,,+620,26,14,2.40,1,1,0.231,0.286,0.462,0.231,0.324,7.1%,33.3%,14.3%,14.8%,92.9,273.6,3,3,20.0%,10.0%,30.0%,60.0%,40.0%,74.4,47.8%,26.1%,17.4%,92.0%,20.0%,50.0%,30.0%,40.0%,40.0%,60.0%,-,21.1%
Tyrone Taylor RHB,,+837,23,20,2.00,0,0,0.167,0.250,0.167,-,0.198,10.0%,20.6%,10.0%,10.8%,80.7,261.6,4,0,-,-,12.5%,25.0%,18.8%,70.6,12.5%,21.9%,9.4%,94.1%,31.2%,0.0%,6.2%,50.0%,43.8%,37.5%,18.8%,27.8%
