Matchup,PHI @ STL
Pitcher,Cristopher Sanchez
Pitcher Team,PHI
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,149.2,625,0.252,0.290,0.363,0.111,1.22,13,0.78,5.6%,32.8%,27.7%,26.3%,16.5%,10.40,64.9%,6.3%,7.8%,42.5%,17.0%,17.1%,12.9%
vsLHB,42.1,148,0.131,0.139,0.166,0.034,0.52,1,0.21,2.0%,36.0%,38.5%,35.0%,20.2%,12.12,73.0%,8.8%,3.4%,34.1%,17.0%,6.7%,6.8%
vsRHB,105.2,477,0.292,0.337,0.428,0.137,1.51,12,1.02,6.7%,31.7%,24.3%,23.4%,15.5%,9.88,62.3%,5.6%,9.0%,44.8%,17.0%,20.0%,14.5%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jordan Walker RHB,,+470,22,4.40,10,1,1,91.5,275.8,4,1,10.0%,10.0%,30.0%,30.0%,70.0%,79.8,83.3%,33.3%,25.0%,92.3%,70.0%,10.0%,100.0%,60.0%,30.0%,30.0%,50.0%,20.0%,75.0%
Alec Burleson LHB,,+910,22,4.60,10,1,1,95.0,311.5,2,1,10.0%,10.0%,20.0%,50.0%,20.0%,75.2,61.1%,44.4%,16.7%,100.0%,30.0%,20.0%,50.0%,10.0%,70.0%,80.0%,10.0%,10.0%,62.5%
Everson Pereira RHB,,+940,17,2.60,10,1,1,89.5,294.6,2,1,10.0%,-,20.0%,40.0%,40.0%,75.0,58.3%,41.7%,25.0%,92.3%,50.0%,20.0%,50.0%,30.0%,50.0%,50.0%,30.0%,20.0%,50.0%
JJ Wetherholt LHB,,+1100,28,4.80,10,0,0,83.3,341.5,3,1,10.0%,-,-,20.0%,20.0%,70.5,18.8%,37.5%,6.2%,100.0%,30.0%,30.0%,0.0%,-,70.0%,30.0%,50.0%,20.0%,44.4%
Blaze Jordan RHB,,+1200,24,2.60,10,0,1,93.0,220.7,2,1,10.0%,10.0%,20.0%,60.0%,30.0%,73.9,18.2%,54.5%,36.4%,100.0%,30.0%,-,-,30.0%,60.0%,50.0%,30.0%,20.0%,60.0%
Nathan Church LHB,,+1580,30,4.20,10,0,0,74.2,288.5,2,2,20.0%,-,-,40.0%,20.0%,67.7,-,36.4%,36.4%,100.0%,20.0%,20.0%,0.0%,-,50.0%,20.0%,60.0%,20.0%,33.3%
Ivan Herrera RHB,,+830,29,4.80,10,0,0,89.4,252.5,1,0,10.0%,10.0%,10.0%,60.0%,30.0%,73.8,33.3%,50.0%,41.7%,100.0%,30.0%,10.0%,0.0%,20.0%,60.0%,30.0%,50.0%,20.0%,0.0%
Jose Fermin RHB,,+1200,18,3.60,10,0,0,90.8,292.0,3,1,-,-,50.0%,20.0%,40.0%,68.6,-,50.0%,6.2%,100.0%,50.0%,20.0%,0.0%,30.0%,50.0%,80.0%,20.0%,-,28.6%
Pedro Pages RHB,—,N/A,12,2.20,10,0,1,88.0,269.6,2,2,10.0%,-,10.0%,50.0%,50.0%,72.9,20.0%,33.3%,20.0%,93.8%,70.0%,30.0%,0.0%,40.0%,30.0%,40.0%,20.0%,40.0%,57.1%
Masyn Winn RHB,,+900,8,3.60,10,0,0,81.3,262.7,2,0,-,-,10.0%,10.0%,40.0%,72.2,23.1%,23.1%,7.7%,100.0%,70.0%,20.0%,0.0%,50.0%,30.0%,30.0%,50.0%,20.0%,16.7%
Bryan Torres LHB,—,N/A,3,2.80,8,0,0,77.8,286.1,1,0,-,-,-,-,25.0%,63.5,-,57.1%,-,63.6%,37.5%,12.5%,0.0%,25.0%,50.0%,25.0%,25.0%,50.0%,25.0%
César Prieto LHB,—,N/A,-,2.80,2,0,0,81.1,59.6,0,0,-,-,-,50.0%,-,69.0,-,50.0%,50.0%,100.0%,-,-,-,-,50.0%,-,50.0%,50.0%,50.0%
Jimmy Crooks LHB,—,N/A,-,4.00,1,0,0,78.6,168.5,0,0,-,-,100.0%,-,100.0%,74.1,50.0%,-,-,100.0%,100.0%,-,-,100.0%,-,100.0%,-,-,-
