Matchup,PHI @ TOR
Pitcher,Zack Wheeler
Pitcher Team,PHI
Opposing Team,TOR

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,50.2,189,0.171,0.239,0.320,0.149,0.83,6,1.07,6.3%,26.2%,25.4%,20.4%,13.4%,8.53,68.3%,6.0%,7.8%,36.7%,25.8%,18.2%,18.0%
vsLHB,29.0,112,0.158,0.239,0.307,0.149,0.86,4,1.24,8.0%,26.2%,24.1%,17.6%,13.5%,8.38,64.3%,6.1%,8.0%,40.0%,26.7%,20.0%,20.0%
vsRHB,21.1,77,0.189,0.239,0.338,0.149,0.80,2,0.84,3.9%,26.2%,27.3%,25.6%,13.2%,8.86,74.0%,5.7%,7.5%,32.1%,24.5%,15.4%,15.1%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kazuma Okamoto RHB,,+513,19,18,4.20,1,2,0.375,0.444,0.562,0.188,0.436,11.1%,40.0%,38.9%,16.7%,87.6,304.3,3,2,11.1%,-,44.4%,44.4%,22.2%,73.0,45.5%,18.2%,9.1%,88.0%,33.3%,33.3%,22.2%,44.4%,55.6%,33.3%,11.1%,12.5%
Brandon Valenzuela SHB,,+650,20,17,3.40,1,3,0.312,0.353,0.625,0.312,0.416,5.9%,14.3%,5.9%,8.0%,91.1,271.5,3,3,13.3%,6.7%,20.0%,46.7%,33.3%,74.1,37.0%,33.3%,18.5%,96.4%,33.3%,20.0%,20.0%,46.7%,46.7%,40.0%,13.3%,54.5%
Andres Gimenez LHB,,+1120,13,15,3.40,1,1,0.286,0.333,0.571,0.286,0.387,6.7%,20.5%,20.0%,10.3%,85.4,232.4,2,1,9.1%,9.1%,18.2%,18.2%,45.5%,67.9,-,18.9%,2.7%,94.9%,18.2%,50.0%,36.4%,18.2%,27.3%,45.5%,27.3%,32.0%
Jesus Sanchez LHB,,+550,22,14,3.40,1,2,0.429,0.429,0.786,0.357,0.522,-,20.0%,21.4%,11.1%,94.8,341.3,4,3,36.4%,18.2%,27.3%,63.6%,36.4%,74.4,48.5%,21.2%,18.2%,94.3%,36.4%,25.0%,9.1%,54.5%,63.6%,18.2%,18.2%,45.0%
Tyler Heineman SHB,—,N/A,9,13,3.40,1,1,0.182,0.308,0.545,0.364,0.365,7.7%,16.7%,7.7%,9.1%,82.2,232.4,1,1,11.1%,11.1%,22.2%,11.1%,22.2%,65.4,-,14.3%,3.6%,93.3%,33.3%,33.3%,11.1%,44.4%,55.6%,11.1%,33.3%,15.4%
Yohendrick Pinango LHB,—,N/A,12,11,3.40,1,1,0.500,0.545,0.800,0.300,0.574,9.1%,30.4%,27.3%,14.9%,91.3,256.1,1,1,14.3%,14.3%,28.6%,42.9%,42.9%,75.7,76.2%,19.0%,14.3%,91.3%,28.6%,50.0%,14.3%,42.9%,42.9%,28.6%,28.6%,8.3%
Nathan Lukes LHB,,+930,18,21,3.80,0,0,0.368,0.429,0.421,0.053,0.377,9.5%,16.2%,9.5%,7.8%,80.9,206.4,0,0,-,-,35.3%,23.5%,41.2%,67.4,-,27.3%,6.1%,91.7%,11.8%,0.0%,41.2%,35.3%,52.9%,23.5%,23.5%,28.6%
Daulton Varsho LHB,,+400,17,15,2.60,0,0,0.083,0.200,0.083,-,0.146,13.3%,12.9%,13.3%,6.5%,87.7,221.9,2,0,-,-,18.2%,27.3%,27.3%,73.3,32.1%,21.4%,10.7%,93.3%,36.4%,0.0%,18.2%,27.3%,45.5%,18.2%,36.4%,37.5%
Vladimir Guerrero Jr. RHB,,+710,23,14,4.20,0,0,0.286,0.286,0.429,0.143,0.309,-,10.5%,14.3%,4.4%,102.7,293.0,2,0,8.3%,8.3%,8.3%,91.7%,25.0%,74.5,44.4%,66.7%,44.4%,94.7%,8.3%,0.0%,25.0%,66.7%,41.7%,25.0%,33.3%,36.8%
Ernie Clement RHB,,+980,15,14,4.20,0,0,0.429,0.429,0.500,0.071,0.409,-,18.5%,7.1%,11.4%,86.8,229.2,3,1,-,-,30.8%,23.1%,38.5%,68.6,3.8%,38.5%,3.8%,96.3%,30.8%,0.0%,30.8%,30.8%,46.2%,30.8%,23.1%,55.6%
George Springer RHB,,+640,30,13,4.20,0,0,0.250,0.308,0.417,0.167,0.314,7.7%,13.8%,7.7%,5.6%,91.8,270.1,3,2,18.2%,9.1%,9.1%,45.5%,36.4%,73.2,36.0%,24.0%,16.0%,89.3%,9.1%,0.0%,36.4%,45.5%,27.3%,54.5%,18.2%,22.2%
