Matchup,PIT @ ATH
Pitcher,Aaron Civale
Pitcher Team,ATH
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,55.2,245,0.289,0.360,0.511,0.222,1.47,12,1.94,6.9%,18.7%,15.5%,14.2%,8.4%,6.14,66.3%,7.1%,8.5%,47.9%,33.5%,17.5%,26.1%
vsLHB,31.0,145,0.303,0.379,0.538,0.235,1.68,8,2.32,8.3%,16.0%,13.1%,12.0%,6.8%,5.52,61.1%,7.5%,5.4%,45.5%,34.8%,20.5%,25.9%
vsRHB,24.0,100,0.269,0.331,0.473,0.204,1.25,4,1.50,5.0%,22.1%,19.0%,17.3%,10.9%,7.12,73.5%,6.5%,13.2%,51.3%,31.6%,12.5%,26.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bryan Reynolds SHB,,+430,11,19,4.40,2,3,0.294,0.368,0.706,0.412,0.450,10.5%,32.4%,15.8%,15.9%,91.6,311.8,4,4,21.4%,-,-,50.0%,28.6%,73.1,28.6%,35.7%,14.3%,84.8%,28.6%,50.0%,21.4%,50.0%,42.9%,50.0%,7.1%,39.1%
Endy Rodriguez SHB,,+475,18,17,3.40,2,2,0.400,0.471,0.867,0.467,0.555,11.8%,0.0%,11.8%,-,98.4,304.6,6,3,23.1%,7.7%,15.4%,61.5%,53.8%,71.3,16.7%,72.2%,33.3%,100.0%,23.1%,0.0%,53.8%,23.1%,30.8%,46.2%,23.1%,33.3%
Tyler Callihan LHB,,+490,5,14,3.80,1,3,0.364,0.500,0.818,0.455,0.532,21.4%,28.6%,35.7%,14.3%,94.2,331.1,5,3,16.7%,16.7%,66.7%,33.3%,83.3%,69.1,12.5%,15.6%,6.2%,97.0%,66.7%,25.0%,33.3%,-,66.7%,16.7%,16.7%,38.9%
Henry Davis RHB,,+310,29,12,2.80,1,1,0.111,0.333,0.444,0.333,0.343,16.7%,40.9%,16.7%,20.9%,75.2,242.6,2,1,14.3%,14.3%,28.6%,28.6%,28.6%,74.6,33.3%,16.7%,11.1%,81.8%,14.3%,100.0%,14.3%,14.3%,28.6%,42.9%,28.6%,42.9%
Spencer Horwitz LHB,,+470,15,23,4.80,0,0,0.211,0.348,0.263,0.053,0.287,13.0%,12.5%,13.0%,5.1%,85.8,187.2,2,0,6.2%,-,12.5%,18.8%,18.8%,69.5,8.1%,18.9%,5.4%,94.9%,25.0%,0.0%,18.8%,25.0%,31.2%,12.5%,56.2%,20.8%
Brandon Lowe LHB,,+288,32,20,4.80,0,0,0.176,0.300,0.353,0.176,0.288,15.0%,31.4%,25.0%,12.4%,91.5,250.4,1,0,-,-,25.0%,33.3%,33.3%,73.0,24.2%,24.2%,9.1%,94.3%,16.7%,0.0%,25.0%,58.3%,66.7%,16.7%,16.7%,26.1%
Ryan O'Hearn LHB,,+410,36,18,4.40,0,1,0.222,0.222,0.222,-,0.198,-,13.0%,33.3%,4.9%,92.3,267.2,2,1,-,-,8.3%,58.3%,25.0%,71.1,10.5%,42.1%,15.8%,86.4%,25.0%,0.0%,25.0%,41.7%,16.7%,58.3%,25.0%,0.0%
Jake Mangum SHB,,+1300,13,15,3.80,0,0,0.357,0.400,0.429,0.071,0.365,6.7%,15.9%,6.7%,8.5%,78.8,197.1,0,0,-,-,-,16.7%,25.0%,65.5,-,12.2%,2.4%,93.2%,8.3%,0.0%,25.0%,58.3%,25.0%,41.7%,33.3%,40.9%
Nick Gonzales RHB,,+720,15,14,4.00,0,0,-,0.071,-,-,0.051,-,27.3%,21.4%,14.3%,90.4,309.2,2,0,-,-,-,30.0%,30.0%,69.9,10.0%,40.0%,-,95.2%,20.0%,0.0%,10.0%,70.0%,50.0%,50.0%,-,33.3%
Marcell Ozuna RHB,—,N/A,25,11,3.20,0,1,0.200,0.273,0.200,-,0.221,9.1%,26.3%,18.2%,11.1%,92.5,278.7,1,1,-,-,12.5%,50.0%,25.0%,74.6,52.6%,31.6%,15.8%,100.0%,12.5%,0.0%,25.0%,62.5%,37.5%,50.0%,12.5%,15.4%
Jared Triolo RHB,,+740,17,9,3.80,0,0,-,0.333,-,-,0.216,33.3%,27.3%,11.1%,7.1%,73.3,196.4,1,0,-,-,-,20.0%,20.0%,68.8,-,20.0%,10.0%,90.9%,20.0%,0.0%,-,60.0%,60.0%,40.0%,-,18.2%
Esmerlyn Valdez RHB,—,N/A,8,2,3.20,0,0,-,-,-,-,-,-,28.6%,50.0%,9.5%,101.3,-,0,0,-,-,-,100.0%,-,71.9,20.0%,20.0%,20.0%,83.3%,-,-,-,100.0%,-,100.0%,-,20.0%
Billy Cook RHB,—,N/A,-,1,2.00,0,0,-,-,-,-,-,-,100.0%,100.0%,100.0%,-,-,0,0,-,-,-,-,-,70.1,-,-,-,100.0%,-,-,-,-,-,-,-,-
