Matchup,PIT @ CHC
Pitcher,Paul Skenes
Pitcher Team,PIT
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,155.0,639,0.230,0.292,0.370,0.140,1.15,15,0.87,7.0%,27.8%,28.2%,21.2%,14.2%,10.45,60.4%,6.3%,6.9%,37.6%,21.3%,16.3%,14.6%
vsLHB,91.2,374,0.220,0.287,0.365,0.145,1.15,8,0.79,8.3%,28.0%,27.0%,21.1%,14.4%,9.92,57.6%,5.7%,7.5%,38.5%,23.4%,12.5%,13.8%
vsRHB,62.2,265,0.244,0.298,0.376,0.132,1.16,7,1.01,5.3%,27.5%,29.8%,21.2%,13.8%,11.35,64.5%,7.1%,6.1%,36.4%,18.2%,23.3%,15.8%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Crow-Armstrong LHB,,+285,24,4.60,8,2,2,97.6,240.4,3,2,25.0%,12.5%,25.0%,50.0%,50.0%,76.4,64.7%,35.3%,23.5%,100.0%,62.5%,25.0%,50.0%,37.5%,12.5%,37.5%,37.5%,25.0%,66.7%
Miguel Amaya RHB,,+455,21,3.60,8,1,1,87.6,272.5,3,2,12.5%,12.5%,12.5%,25.0%,25.0%,71.1,10.0%,50.0%,10.0%,90.9%,50.0%,50.0%,25.0%,-,25.0%,25.0%,37.5%,37.5%,57.1%
Carson Kelly RHB,,+730,12,3.20,8,1,1,90.6,254.7,2,2,25.0%,12.5%,50.0%,50.0%,37.5%,70.3,-,50.0%,20.0%,83.3%,75.0%,62.5%,20.0%,12.5%,12.5%,62.5%,25.0%,12.5%,85.7%
Michael Conforto LHB,,+520,19,3.40,8,1,1,86.9,259.4,1,1,12.5%,-,-,25.0%,25.0%,73.1,16.7%,16.7%,-,85.7%,37.5%,25.0%,50.0%,12.5%,50.0%,25.0%,50.0%,25.0%,16.7%
Pedro Ramirez SHB,,+790,20,3.60,8,0,0,82.1,212.6,1,0,-,-,-,12.5%,12.5%,72.5,16.7%,33.3%,-,92.3%,37.5%,25.0%,0.0%,12.5%,25.0%,12.5%,62.5%,25.0%,0.0%
Alex Bregman RHB,,+576,20,4.00,8,0,0,85.5,221.5,1,0,-,-,12.5%,25.0%,37.5%,68.7,-,75.0%,-,80.0%,37.5%,-,-,37.5%,50.0%,37.5%,37.5%,25.0%,33.3%
Tyrone Taylor RHB,—,N/A,25,2.40,8,0,0,83.1,227.6,1,0,-,-,12.5%,12.5%,50.0%,71.2,-,36.4%,-,84.6%,50.0%,12.5%,0.0%,37.5%,25.0%,25.0%,37.5%,37.5%,28.6%
Nico Hoerner RHB,,+1260,9,4.20,8,0,0,86.5,301.9,1,1,-,-,25.0%,37.5%,25.0%,68.3,-,66.7%,-,100.0%,37.5%,12.5%,0.0%,25.0%,62.5%,50.0%,37.5%,12.5%,75.0%
Seiya Suzuki RHB,,+420,27,4.60,8,0,0,90.8,285.9,2,0,12.5%,-,12.5%,25.0%,25.0%,76.8,66.7%,44.4%,11.1%,100.0%,75.0%,62.5%,0.0%,12.5%,25.0%,37.5%,25.0%,37.5%,25.0%
Ian Happ SHB,,+524,29,3.20,8,0,0,84.7,242.9,0,0,-,-,12.5%,25.0%,12.5%,68.8,-,26.7%,6.7%,93.8%,25.0%,12.5%,0.0%,12.5%,75.0%,75.0%,25.0%,-,50.0%
Michael Busch LHB,,+470,26,3.60,8,0,0,93.3,245.0,0,0,-,-,25.0%,62.5%,25.0%,67.4,7.1%,42.9%,28.6%,87.5%,50.0%,25.0%,0.0%,25.0%,50.0%,62.5%,37.5%,-,33.3%
Gabriel Arias RHB,—,N/A,27,2.20,8,0,0,82.7,178.3,0,0,-,-,-,25.0%,25.0%,73.3,33.3%,16.7%,8.3%,100.0%,25.0%,12.5%,0.0%,12.5%,75.0%,37.5%,25.0%,37.5%,80.0%
Matt Shaw RHB,—,N/A,32,2.40,8,0,2,81.8,305.1,4,2,-,-,12.5%,37.5%,12.5%,74.2,16.7%,33.3%,-,100.0%,75.0%,75.0%,0.0%,-,12.5%,25.0%,50.0%,25.0%,33.3%
BJ Murray Jr. SHB,—,N/A,-,1.40,1,0,0,97.9,356.1,1,1,-,-,100.0%,100.0%,-,75.0,100.0%,100.0%,-,100.0%,100.0%,100.0%,0.0%,-,-,100.0%,-,-,-
