Matchup,PIT @ CIN
Pitcher,Andrew Abbott
Pitcher Team,CIN
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,117.0,503,0.243,0.316,0.396,0.153,1.38,17,1.31,10.7%,22.9%,18.7%,15.3%,10.7%,7.23,58.6%,6.8%,7.3%,38.9%,25.9%,15.2%,13.5%
vsLHB,33.1,144,0.258,0.306,0.402,0.144,1.29,4,1.08,6.2%,24.8%,27.8%,17.6%,12.7%,10.80,68.1%,9.0%,6.3%,38.9%,31.6%,10.0%,16.8%
vsRHB,82.0,359,0.237,0.320,0.394,0.157,1.45,13,1.43,12.5%,22.0%,15.0%,14.0%,9.8%,5.93,54.8%,5.9%,7.7%,38.8%,23.8%,17.7%,12.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Esmerlyn Valdez RHB,,+272,36,4.20,10,1,1,92.1,269.6,2,1,-,-,20.0%,40.0%,10.0%,74.0,40.0%,45.0%,20.0%,95.2%,60.0%,50.0%,20.0%,10.0%,40.0%,60.0%,30.0%,10.0%,44.4%
Ryan O'Hearn LHB,—,N/A,22,4.60,10,1,2,90.3,262.2,2,2,10.0%,10.0%,40.0%,50.0%,40.0%,71.0,18.2%,54.5%,36.4%,100.0%,50.0%,30.0%,33.3%,20.0%,40.0%,60.0%,20.0%,20.0%,25.0%
Marcell Ozuna RHB,,+391,27,3.40,10,0,0,86.8,206.7,1,0,-,-,-,10.0%,20.0%,73.2,20.0%,50.0%,-,71.4%,30.0%,20.0%,0.0%,10.0%,40.0%,10.0%,50.0%,40.0%,33.3%
Bryan Reynolds SHB,,+389,20,4.60,10,0,0,89.4,282.3,1,0,10.0%,-,10.0%,30.0%,30.0%,72.3,42.9%,28.6%,14.3%,100.0%,40.0%,20.0%,0.0%,20.0%,60.0%,50.0%,50.0%,-,57.1%
Jared Triolo RHB,,+900,12,2.00,10,0,0,70.5,267.7,3,1,-,-,10.0%,-,30.0%,71.3,10.0%,40.0%,-,76.9%,50.0%,30.0%,0.0%,20.0%,20.0%,40.0%,20.0%,40.0%,11.1%
Jake Mangum SHB,,+1100,14,5.00,10,0,0,82.9,220.8,0,0,-,-,10.0%,-,10.0%,69.0,5.6%,44.4%,-,94.7%,40.0%,30.0%,0.0%,10.0%,60.0%,30.0%,30.0%,40.0%,44.4%
Brandon Lowe LHB,,+298,35,4.80,10,0,1,84.9,301.7,3,1,-,-,30.0%,30.0%,20.0%,73.2,43.8%,25.0%,6.2%,84.2%,60.0%,50.0%,0.0%,10.0%,40.0%,40.0%,50.0%,10.0%,60.0%
Henry Davis RHB,,+366,18,3.20,10,0,0,90.0,204.6,0,0,-,-,20.0%,40.0%,10.0%,74.2,41.2%,41.2%,11.8%,89.5%,30.0%,20.0%,0.0%,10.0%,50.0%,50.0%,40.0%,10.0%,66.7%
Nick Gonzales RHB,,+950,13,4.60,10,0,0,86.1,279.5,2,1,-,-,10.0%,30.0%,30.0%,71.3,9.1%,45.5%,9.1%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,10.0%,60.0%,30.0%,50.0%
Billy Cook RHB,—,N/A,6,2.00,10,0,1,72.0,252.7,2,0,-,-,-,20.0%,-,73.3,18.2%,45.5%,-,78.6%,30.0%,30.0%,0.0%,-,30.0%,30.0%,-,70.0%,55.6%
Jhostynxon Garcia RHB,,+592,7,3.20,9,0,0,81.1,258.7,3,0,-,-,22.2%,33.3%,44.4%,75.0,52.6%,21.1%,15.8%,95.0%,55.5%,22.2%,0.0%,33.3%,33.3%,33.3%,33.3%,33.3%,57.1%
Jacob Gonzalez LHB,—,N/A,8,3.20,6,0,0,87.8,262.9,1,1,16.7%,-,16.7%,33.3%,16.7%,70.2,11.1%,55.6%,11.1%,100.0%,50.0%,33.3%,0.0%,16.7%,33.3%,50.0%,33.3%,16.7%,66.7%
Endy Rodriguez SHB,,+545,1,4.20,4,0,0,88.5,255.0,0,0,-,-,25.0%,25.0%,50.0%,71.8,-,40.0%,20.0%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,50.0%,25.0%,25.0%,50.0%
