Matchup,PIT @ CIN
Pitcher,Chase Burns
Pitcher Team,CIN
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,112.2,454,0.207,0.277,0.353,0.146,1.12,13,1.04,9.0%,31.7%,28.2%,22.3%,15.6%,10.22,59.1%,6.7%,8.4%,36.8%,29.5%,14.3%,17.5%
vsLHB,67.0,286,0.215,0.307,0.398,0.183,1.30,11,1.48,11.5%,31.1%,29.4%,22.0%,15.0%,11.28,59.6%,6.4%,9.5%,34.3%,30.2%,19.6%,20.1%
vsRHB,43.2,168,0.194,0.226,0.281,0.088,0.89,2,0.41,4.8%,32.5%,26.2%,22.7%,16.5%,9.07,58.3%,7.4%,6.9%,40.5%,28.4%,6.1%,13.8%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bryan Reynolds SHB,,N/A,20,4.60,10,2,2,94.4,271.8,4,2,30.0%,30.0%,30.0%,60.0%,40.0%,72.2,23.1%,53.8%,38.5%,81.2%,50.0%,30.0%,66.7%,20.0%,30.0%,40.0%,40.0%,20.0%,62.5%
Esmerlyn Valdez RHB,,N/A,39,4.20,10,1,1,94.7,277.5,5,2,30.0%,20.0%,20.0%,60.0%,30.0%,73.4,36.4%,72.7%,36.4%,78.6%,70.0%,50.0%,20.0%,20.0%,10.0%,30.0%,40.0%,30.0%,75.0%
Marcell Ozuna RHB,,N/A,21,3.40,10,1,1,92.1,264.5,2,1,10.0%,-,30.0%,40.0%,60.0%,72.2,8.3%,50.0%,16.7%,100.0%,70.0%,30.0%,33.3%,40.0%,30.0%,50.0%,40.0%,10.0%,0.0%
Jake Mangum SHB,,N/A,10,5.00,10,1,1,87.6,300.2,3,1,-,-,10.0%,40.0%,50.0%,70.4,15.4%,61.5%,23.1%,86.7%,70.0%,30.0%,0.0%,40.0%,20.0%,20.0%,40.0%,40.0%,55.6%
Henry Davis RHB,,N/A,28,3.20,10,1,2,87.0,276.9,4,2,10.0%,10.0%,30.0%,40.0%,20.0%,73.3,22.2%,66.7%,33.3%,90.0%,60.0%,40.0%,25.0%,20.0%,10.0%,50.0%,50.0%,-,62.5%
Endy Rodriguez SHB,—,N/A,27,4.20,10,1,1,96.9,306.3,3,2,20.0%,-,10.0%,60.0%,40.0%,74.5,50.0%,75.0%,41.7%,92.3%,50.0%,30.0%,33.3%,20.0%,50.0%,50.0%,50.0%,-,33.3%
Nick Gonzales RHB,,N/A,20,4.60,10,1,2,87.4,295.9,3,2,10.0%,-,-,50.0%,20.0%,70.6,17.6%,29.4%,17.6%,94.4%,40.0%,20.0%,50.0%,20.0%,60.0%,30.0%,60.0%,10.0%,57.1%
Jacob Gonzalez LHB,—,N/A,19,3.20,10,0,0,90.7,238.2,2,1,-,-,20.0%,70.0%,40.0%,70.0,5.6%,38.9%,27.8%,85.7%,60.0%,20.0%,0.0%,40.0%,30.0%,30.0%,40.0%,30.0%,50.0%
Jared Triolo RHB,,N/A,17,2.00,10,0,1,92.2,242.5,1,1,10.0%,-,-,50.0%,40.0%,69.5,-,47.1%,11.8%,94.4%,60.0%,10.0%,0.0%,50.0%,40.0%,30.0%,30.0%,40.0%,42.9%
Brandon Lowe LHB,,N/A,32,4.80,10,0,1,93.4,276.5,4,2,20.0%,10.0%,40.0%,40.0%,20.0%,74.6,50.0%,50.0%,12.5%,94.1%,80.0%,60.0%,0.0%,20.0%,10.0%,50.0%,30.0%,20.0%,37.5%
Jhostynxon Garcia RHB,—,N/A,14,3.20,9,0,0,83.8,257.6,2,1,11.1%,-,11.1%,22.2%,33.3%,74.2,27.3%,45.5%,18.2%,100.0%,44.4%,22.2%,0.0%,22.2%,44.4%,11.1%,66.7%,22.2%,71.4%
Billy Cook RHB,—,N/A,1,2.00,4,0,0,92.8,266.1,1,1,-,-,-,25.0%,25.0%,72.3,40.0%,60.0%,40.0%,100.0%,75.0%,50.0%,0.0%,25.0%,25.0%,-,75.0%,25.0%,100.0%
Rafael Flores RHB,,N/A,5,3.60,2,0,0,91.0,-,0,0,-,-,-,50.0%,-,74.1,66.7%,33.3%,33.3%,100.0%,-,-,-,-,100.0%,50.0%,50.0%,-,-
