Matchup,PIT @ CWS
Pitcher,Hagen Smith
Pitcher Team,CWS
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,16.0,62,0.096,0.206,0.173,0.077,0.94,1,0.56,16.1%,35.3%,37.1%,27.1%,15.2%,12.94,48.4%,7.4%,3.4%,34.5%,24.1%,14.3%,31.0%
vsLHB,5.1,21,0.158,0.245,0.316,0.158,0.94,1,1.69,9.5%,34.4%,33.3%,33.3%,13.9%,11.81,42.9%,10.1%,8.3%,41.7%,16.7%,50.0%,33.3%
vsRHB,10.2,41,0.061,0.186,0.091,0.030,0.94,0,-,19.5%,35.7%,39.0%,25.0%,15.7%,13.50,51.2%,6.3%,-,29.4%,29.4%,-,29.4%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Esmerlyn Valdez RHB,—,N/A,28,4.00,8,2,3,96.0,319.2,4,3,25.0%,-,25.0%,75.0%,37.5%,74.5,50.0%,70.0%,30.0%,100.0%,62.5%,37.5%,66.7%,25.0%,37.5%,25.0%,62.5%,12.5%,25.0%
Konnor Griffin RHB,,+600,13,4.20,8,1,1,85.6,232.8,2,1,12.5%,12.5%,50.0%,37.5%,37.5%,78.0,78.6%,21.4%,21.4%,93.3%,62.5%,37.5%,33.3%,25.0%,12.5%,62.5%,25.0%,12.5%,33.3%
Rafael Flores RHB,—,N/A,16,4.40,8,1,1,93.4,287.4,2,1,12.5%,-,-,37.5%,37.5%,75.1,66.7%,55.6%,22.2%,100.0%,62.5%,37.5%,33.3%,25.0%,37.5%,37.5%,62.5%,-,0.0%
Brandon Lowe LHB,,+420,29,3.80,8,1,2,83.5,272.6,2,2,25.0%,-,-,25.0%,25.0%,73.2,35.3%,17.6%,11.8%,94.4%,50.0%,50.0%,25.0%,-,37.5%,12.5%,37.5%,50.0%,71.4%
Jacob Gonzalez LHB,,+850,15,3.00,8,0,0,93.7,313.9,3,2,12.5%,-,-,62.5%,37.5%,71.6,-,36.4%,27.3%,91.7%,50.0%,12.5%,0.0%,37.5%,50.0%,50.0%,37.5%,12.5%,60.0%
Oneil Cruz LHB,,+451,28,4.00,8,0,1,90.5,308.8,1,1,12.5%,-,-,37.5%,37.5%,74.7,40.0%,60.0%,30.0%,100.0%,37.5%,12.5%,0.0%,25.0%,62.5%,37.5%,50.0%,12.5%,20.0%
Bryan Reynolds SHB,,+497,25,4.00,8,0,1,98.1,285.9,3,0,-,-,37.5%,62.5%,75.0%,74.5,60.0%,70.0%,40.0%,100.0%,100.0%,37.5%,0.0%,62.5%,-,37.5%,37.5%,25.0%,50.0%
Jared Triolo RHB,,+1000,10,3.00,8,0,0,82.3,247.2,1,0,-,-,25.0%,12.5%,50.0%,69.4,-,36.4%,-,84.6%,37.5%,12.5%,0.0%,25.0%,50.0%,50.0%,25.0%,25.0%,25.0%
Jake Mangum SHB,,+1200,10,4.00,8,0,0,86.3,266.5,1,0,-,-,12.5%,25.0%,37.5%,68.6,-,50.0%,20.0%,90.9%,50.0%,12.5%,0.0%,37.5%,37.5%,50.0%,25.0%,25.0%,71.4%
Henry Davis RHB,,+640,31,2.80,8,0,0,83.1,161.5,0,0,-,-,37.5%,25.0%,-,74.2,45.5%,27.3%,18.2%,78.6%,12.5%,12.5%,0.0%,-,37.5%,62.5%,25.0%,12.5%,33.3%
Spencer Horwitz LHB,,+890,18,3.60,8,0,0,89.9,247.1,1,0,-,-,12.5%,37.5%,50.0%,68.6,9.1%,45.5%,27.3%,100.0%,75.0%,37.5%,0.0%,37.5%,25.0%,25.0%,37.5%,37.5%,20.0%
Nick Gonzales RHB,,+940,12,3.80,8,0,0,87.5,262.0,1,0,-,-,-,25.0%,37.5%,72.4,8.3%,33.3%,16.7%,85.7%,62.5%,25.0%,0.0%,37.5%,37.5%,25.0%,62.5%,12.5%,50.0%
Billy Cook RHB,—,N/A,9,1.80,8,0,1,81.8,250.6,1,0,-,-,12.5%,25.0%,12.5%,72.7,20.0%,50.0%,10.0%,90.9%,37.5%,25.0%,0.0%,12.5%,37.5%,62.5%,12.5%,25.0%,66.7%
Ronny Simon SHB,—,N/A,3,3.20,5,0,1,82.4,285.2,1,1,20.0%,-,-,60.0%,40.0%,71.6,-,33.3%,33.3%,85.7%,20.0%,20.0%,0.0%,-,40.0%,20.0%,40.0%,40.0%,20.0%
