Matchup,PIT @ HOU
Pitcher,Kai-Wei Teng
Pitcher Team,HOU
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,42.0,167,0.185,0.274,0.322,0.137,1.10,5,1.07,11.4%,25.4%,25.7%,21.3%,10.9%,9.21,58.2%,7.6%,5.8%,35.9%,26.2%,18.5%,13.6%
vsLHB,19.2,87,0.216,0.333,0.432,0.216,1.42,4,1.83,13.8%,28.5%,26.4%,27.1%,12.6%,10.53,54.5%,5.0%,5.9%,37.3%,31.4%,25.0%,15.7%
vsRHB,22.0,80,0.153,0.209,0.208,0.056,0.82,1,0.41,8.8%,22.1%,25.0%,17.1%,9.0%,8.18,62.2%,10.2%,5.8%,34.6%,21.2%,9.1%,11.5%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Spencer Horwitz LHB,+710,32,5.00,2,2,0.286,0.344,0.536,0.250,0.371,9.4%,8.6%,3.1%,3.8%,88.2,17.9%,7.1%,25.0%,42.9%,39.3%,68.6,7.7%,28.8%,11.5%,98.1%,39.3%,18.2%,21.4%,21.4%,39.3%,39.3%,21.4%,23.5%
Ryan O'Hearn LHB,+610,19,3.40,2,2,0.333,0.368,0.667,0.333,0.443,5.3%,23.7%,21.1%,10.6%,90.2,14.3%,-,-,35.7%,28.6%,70.7,7.9%,28.9%,5.3%,100.0%,35.7%,40.0%,14.3%,42.9%,14.3%,42.9%,42.9%,28.6%
Marcell Ozuna RHB,+324,25,4.00,1,2,0.190,0.320,0.333,0.143,0.295,16.0%,26.8%,16.0%,10.7%,92.5,11.8%,5.9%,17.6%,52.9%,41.2%,73.4,38.9%,30.6%,13.9%,92.3%,17.6%,33.3%,29.4%,47.1%,29.4%,47.1%,23.5%,5.3%
Oneil Cruz LHB,+430,24,4.60,1,2,0.300,0.417,0.450,0.150,0.381,16.7%,41.0%,33.3%,17.2%,94.6,8.3%,-,25.0%,50.0%,66.7%,77.8,72.7%,18.2%,12.1%,86.8%,33.3%,25.0%,50.0%,16.7%,33.3%,50.0%,16.7%,36.0%
Brandon Lowe LHB,+420,24,4.60,1,4,0.227,0.292,0.409,0.182,0.306,8.3%,32.4%,33.3%,13.8%,93.1,28.6%,21.4%,42.9%,50.0%,42.9%,73.4,39.4%,30.3%,21.2%,97.1%,50.0%,14.3%,21.4%,28.6%,64.3%,21.4%,14.3%,37.5%
Endy Rodriguez SHB,+880,24,3.60,1,2,0.222,0.417,0.444,0.222,0.377,25.0%,29.5%,25.0%,11.5%,91.9,16.7%,8.3%,33.3%,50.0%,25.0%,71.7,10.3%,23.1%,10.3%,90.7%,58.3%,14.3%,8.3%,25.0%,41.7%,25.0%,33.3%,27.6%
Jake Mangum SHB,+1700,23,3.80,1,1,0.400,0.435,0.550,0.150,0.422,4.3%,11.4%,13.0%,5.7%,81.2,5.6%,5.6%,22.2%,27.8%,44.4%,66.3,2.6%,33.3%,7.7%,90.7%,11.1%,50.0%,33.3%,44.4%,38.9%,16.7%,44.4%,19.0%
Bryan Reynolds SHB,+730,22,5.00,1,1,0.368,0.409,0.632,0.263,0.432,9.1%,18.9%,18.2%,8.4%,90.7,12.5%,12.5%,18.8%,43.8%,37.5%,71.9,30.3%,33.3%,18.2%,89.2%,31.2%,20.0%,25.0%,43.8%,43.8%,37.5%,18.8%,32.0%
Henry Davis RHB,+625,21,3.80,1,1,0.125,0.333,0.312,0.188,0.300,19.0%,30.8%,28.6%,14.0%,85.7,10.0%,10.0%,50.0%,40.0%,20.0%,73.9,32.4%,14.7%,11.8%,89.5%,10.0%,100.0%,30.0%,20.0%,60.0%,30.0%,10.0%,38.1%
Jared Triolo RHB,+1120,22,4.20,0,0,0.238,0.273,0.238,-,0.232,4.5%,30.0%,36.4%,14.0%,89.9,-,-,7.7%,30.8%,46.2%,70.4,2.9%,25.7%,8.6%,87.5%,23.1%,0.0%,38.5%,38.5%,30.8%,38.5%,30.8%,42.9%
Nick Gonzales RHB,+1040,20,4.60,0,1,0.350,0.350,0.450,0.100,0.350,-,28.6%,20.0%,14.5%,79.5,-,-,18.8%,37.5%,18.8%,70.7,18.2%,21.2%,12.1%,94.3%,12.5%,0.0%,18.8%,56.2%,56.2%,18.8%,25.0%,47.6%
Jhostynxon Garcia RHB,N/A,18,3.20,0,0,0.312,0.389,0.375,0.062,0.344,5.6%,24.2%,16.7%,14.8%,85.7,7.7%,-,7.7%,38.5%,38.5%,73.3,36.7%,23.3%,6.7%,90.9%,7.7%,0.0%,23.1%,69.2%,15.4%,76.9%,7.7%,62.5%
Tyler Callihan LHB,N/A,3,2.50,0,0,-,0.667,-,-,0.433,66.7%,37.5%,-,16.7%,82.7,-,-,-,-,-,65.9,-,-,-,87.5%,-,-,-,100.0%,100.0%,-,-,50.0%
