Matchup,PIT @ HOU
Pitcher,Mike Burrows
Pitcher Team,HOU
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,63.1,275,0.283,0.358,0.490,0.207,1.45,13,1.85,7.6%,23.5%,19.6%,19.4%,11.5%,7.67,62.7%,7.3%,8.6%,36.0%,27.9%,18.2%,19.8%
vsLHB,33.0,154,0.324,0.413,0.590,0.266,1.82,9,2.45,9.7%,20.3%,15.6%,15.9%,8.9%,6.55,58.1%,7.2%,11.3%,40.0%,23.5%,25.9%,20.9%
vsRHB,30.0,121,0.232,0.287,0.366,0.134,1.07,4,1.20,5.0%,26.9%,24.8%,23.6%,15.1%,9.00,68.6%,7.4%,4.9%,30.5%,34.1%,10.7%,18.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Spencer Horwitz LHB,+540,30,4.80,3,3,0.308,0.367,0.692,0.385,0.436,10.0%,5.6%,6.7%,2.6%,86.7,20.0%,12.0%,24.0%,40.0%,36.0%,68.3,6.8%,25.0%,11.4%,93.6%,40.0%,30.0%,20.0%,24.0%,32.0%,44.0%,24.0%,22.6%
Ryan O'Hearn LHB,+590,26,3.60,3,3,0.333,0.385,0.708,0.375,0.463,7.7%,19.6%,15.4%,9.5%,90.1,15.0%,5.0%,5.0%,35.0%,20.0%,70.3,9.3%,37.2%,7.0%,95.6%,45.0%,33.3%,5.0%,45.0%,30.0%,35.0%,35.0%,26.1%
Brandon Lowe LHB,+320,23,4.20,2,5,0.333,0.391,0.667,0.333,0.452,4.3%,30.8%,26.1%,13.6%,94.3,26.7%,20.0%,33.3%,53.3%,46.7%,74.4,45.9%,29.7%,18.9%,94.9%,53.3%,25.0%,20.0%,26.7%,53.3%,26.7%,20.0%,31.8%
Oneil Cruz LHB,+410,20,4.20,2,3,0.235,0.350,0.588,0.353,0.396,15.0%,43.3%,30.0%,16.0%,99.2,18.2%,9.1%,36.4%,72.7%,63.6%,78.1,76.0%,28.0%,24.0%,86.2%,45.5%,40.0%,36.4%,18.2%,45.5%,36.4%,18.2%,27.6%
Marcell Ozuna RHB,N/A,28,4.20,1,2,0.136,0.321,0.273,0.136,0.280,17.9%,32.6%,21.4%,13.2%,91.6,12.5%,6.2%,12.5%,50.0%,37.5%,72.5,32.4%,27.0%,13.5%,90.2%,18.8%,33.3%,25.0%,50.0%,31.2%,43.8%,25.0%,8.0%
Nick Gonzales RHB,+880,25,3.60,1,2,0.250,0.280,0.417,0.167,0.303,4.0%,33.3%,24.0%,16.7%,82.2,5.6%,-,16.7%,38.9%,27.8%,70.4,10.5%,26.3%,10.5%,90.5%,22.2%,25.0%,16.7%,44.4%,50.0%,27.8%,22.2%,37.5%
Bryan Reynolds SHB,+570,22,4.60,1,1,0.412,0.500,0.706,0.294,0.494,13.6%,11.1%,13.6%,5.5%,89.9,13.3%,13.3%,20.0%,40.0%,33.3%,72.6,30.8%,25.6%,15.4%,90.7%,26.7%,25.0%,20.0%,53.3%,46.7%,40.0%,13.3%,40.7%
Jake Mangum SHB,+1500,19,3.00,1,1,0.312,0.421,0.500,0.188,0.404,10.5%,10.8%,10.5%,5.2%,81.2,7.1%,7.1%,14.3%,28.6%,35.7%,65.4,-,28.1%,6.2%,88.9%,14.3%,50.0%,28.6%,42.9%,28.6%,21.4%,50.0%,25.0%
Jared Triolo RHB,+970,30,3.40,0,0,0.207,0.233,0.207,-,0.200,3.3%,24.5%,26.7%,12.6%,80.8,-,-,4.8%,19.0%,19.0%,70.6,4.8%,23.8%,7.1%,85.7%,14.3%,0.0%,19.0%,61.9%,42.9%,33.3%,23.8%,37.0%
Endy Rodriguez SHB,+880,21,3.40,0,0,0.235,0.381,0.294,0.059,0.311,19.0%,33.3%,38.1%,14.6%,87.9,-,-,33.3%,33.3%,44.4%,71.3,11.1%,13.9%,-,87.8%,44.4%,0.0%,44.4%,-,33.3%,33.3%,33.3%,37.0%
Henry Davis RHB,N/A,20,3.60,0,0,-,0.250,-,-,0.166,20.0%,35.9%,25.0%,17.3%,81.3,-,-,30.0%,40.0%,20.0%,74.4,36.4%,18.2%,12.1%,86.8%,-,-,20.0%,30.0%,50.0%,30.0%,20.0%,57.9%
Jhostynxon Garcia RHB,+630,13,2.40,0,0,0.250,0.308,0.250,-,0.255,7.7%,24.0%,23.1%,14.3%,82.9,-,-,-,22.2%,22.2%,74.0,39.1%,21.7%,4.3%,92.0%,11.1%,0.0%,11.1%,66.7%,-,77.8%,22.2%,57.1%
Tyler Callihan LHB,N/A,2,2.50,0,0,-,1.000,-,-,0.649,100.0%,42.9%,-,17.6%,-,-,-,-,-,-,65.9,-,-,-,100.0%,-,-,-,-,-,-,-,50.0%
