Matchup,PIT @ MIA
Pitcher,Braxton Ashcraft
Pitcher Team,PIT
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,132.1,546,0.242,0.304,0.406,0.164,1.16,19,1.29,5.9%,26.2%,26.6%,23.8%,13.7%,9.86,67.2%,6.8%,6.6%,40.9%,26.0%,20.2%,16.0%
vsLHB,74.1,318,0.245,0.322,0.434,0.189,1.25,13,1.57,7.2%,27.3%,29.2%,24.9%,14.2%,11.26,67.6%,7.1%,7.6%,45.2%,31.0%,21.3%,21.3%
vsRHB,57.1,228,0.238,0.279,0.369,0.131,1.05,6,0.94,3.9%,24.6%,22.8%,22.1%,13.1%,8.16,66.7%,6.4%,5.5%,35.8%,20.0%,18.2%,9.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Griffin Conine LHB,,+501,28,4.20,10,3,4,102.2,280.4,4,4,30.0%,10.0%,20.0%,70.0%,40.0%,74.0,41.7%,83.3%,58.3%,100.0%,60.0%,40.0%,75.0%,20.0%,10.0%,20.0%,50.0%,30.0%,42.9%
Owen Caissie LHB,,+650,41,3.20,10,2,2,93.5,311.0,5,4,20.0%,10.0%,20.0%,50.0%,50.0%,77.0,81.8%,63.6%,27.3%,100.0%,90.0%,80.0%,25.0%,10.0%,-,20.0%,20.0%,60.0%,28.6%
Esteury Ruiz RHB,,+1100,15,3.00,10,1,1,82.5,246.2,2,1,10.0%,10.0%,10.0%,20.0%,30.0%,70.6,18.2%,54.5%,18.2%,100.0%,60.0%,40.0%,25.0%,20.0%,30.0%,40.0%,20.0%,40.0%,50.0%
Heriberto Hernandez RHB,,+583,25,4.00,10,1,1,90.5,296.8,2,2,10.0%,10.0%,30.0%,50.0%,30.0%,73.4,43.8%,43.8%,25.0%,100.0%,40.0%,30.0%,33.3%,10.0%,60.0%,70.0%,20.0%,10.0%,37.5%
Jakob Marsee LHB,,+900,20,4.20,10,0,0,80.6,250.4,2,1,-,-,20.0%,40.0%,20.0%,72.2,18.2%,45.5%,18.2%,91.7%,40.0%,20.0%,0.0%,20.0%,30.0%,40.0%,40.0%,20.0%,22.2%
Joe Mack LHB,,+775,32,3.40,10,0,0,91.0,220.6,0,0,-,-,30.0%,50.0%,20.0%,74.2,35.7%,57.1%,28.6%,100.0%,20.0%,-,-,20.0%,70.0%,70.0%,30.0%,-,40.0%
Xavier Edwards SHB,,+1650,14,4.60,10,0,0,87.7,290.2,2,1,-,-,-,40.0%,40.0%,70.2,6.7%,53.3%,6.7%,100.0%,40.0%,20.0%,0.0%,20.0%,50.0%,30.0%,50.0%,20.0%,30.0%
Otto Lopez RHB,,+1020,12,4.60,10,0,0,85.6,221.1,0,0,-,-,-,40.0%,10.0%,71.8,18.2%,36.4%,18.2%,91.7%,10.0%,-,-,10.0%,90.0%,60.0%,40.0%,-,30.0%
Graham Pauley LHB,—,N/A,18,2.20,10,0,0,87.5,218.2,2,1,-,-,30.0%,60.0%,50.0%,72.3,13.3%,46.7%,20.0%,93.8%,50.0%,10.0%,0.0%,40.0%,30.0%,40.0%,40.0%,20.0%,40.0%
Leo Jimenez RHB,—,N/A,24,3.60,10,0,0,85.9,302.7,5,0,-,-,20.0%,30.0%,50.0%,72.0,15.4%,53.8%,15.4%,81.2%,70.0%,20.0%,0.0%,50.0%,30.0%,40.0%,30.0%,30.0%,22.2%
Agustin Ramirez RHB,—,N/A,19,2.80,10,0,0,89.1,253.7,0,0,-,-,20.0%,40.0%,10.0%,75.6,72.7%,45.5%,36.4%,91.7%,20.0%,10.0%,0.0%,10.0%,70.0%,80.0%,-,20.0%,33.3%
Javier Sanoja RHB,,+1300,16,3.20,10,0,1,91.4,300.0,4,1,10.0%,10.0%,30.0%,40.0%,50.0%,70.1,19.0%,33.3%,9.5%,91.3%,60.0%,30.0%,0.0%,30.0%,40.0%,40.0%,60.0%,-,40.0%
Brian Navarreto RHB,—,N/A,-,2.20,3,0,0,45.0,-,0,0,-,-,-,-,66.7%,74.9,-,-,-,33.3%,-,-,-,-,33.3%,66.7%,-,33.3%,33.3%
