Matchup,PIT @ MIA
Pitcher,Janson Junk
Pitcher Team,MIA
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,81.2,348,0.273,0.330,0.444,0.171,1.36,12,1.32,6.6%,16.1%,17.5%,15.4%,7.8%,6.72,62.7%,7.7%,7.6%,41.3%,22.7%,20.0%,18.6%
vsLHB,46.2,218,0.322,0.373,0.492,0.171,1.71,6,1.16,7.3%,17.0%,17.9%,14.8%,8.1%,7.52,62.1%,7.9%,7.4%,46.3%,17.3%,21.4%,20.4%
vsRHB,34.2,130,0.195,0.260,0.366,0.171,0.89,6,1.56,5.4%,14.6%,16.9%,16.7%,7.3%,5.71,63.6%,7.3%,7.8%,33.3%,31.4%,18.8%,15.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jake Mangum SHB,,+1700,14,4.40,10,1,1,83.4,305.4,5,1,-,-,10.0%,40.0%,40.0%,70.6,8.3%,66.7%,16.7%,85.7%,60.0%,40.0%,0.0%,20.0%,30.0%,10.0%,60.0%,30.0%,83.3%
Brandon Lowe LHB,,+340,30,4.00,10,1,1,95.0,297.7,4,2,20.0%,-,10.0%,60.0%,50.0%,74.0,47.1%,41.2%,23.5%,100.0%,70.0%,40.0%,25.0%,30.0%,30.0%,30.0%,50.0%,20.0%,37.5%
Endy Rodriguez SHB,—,N/A,31,3.20,10,1,1,91.3,285.7,3,1,10.0%,10.0%,10.0%,30.0%,20.0%,73.5,41.7%,58.3%,8.3%,85.7%,50.0%,40.0%,25.0%,10.0%,40.0%,50.0%,30.0%,20.0%,44.4%
Esmerlyn Valdez RHB,,+467,35,4.00,10,0,1,84.7,265.4,2,0,-,-,40.0%,20.0%,40.0%,75.7,55.6%,44.4%,-,90.0%,90.0%,50.0%,0.0%,40.0%,10.0%,40.0%,30.0%,30.0%,50.0%
Jacob Gonzalez LHB,,+800,22,2.40,10,0,1,86.7,274.7,2,0,-,-,50.0%,10.0%,30.0%,72.1,22.2%,27.8%,5.6%,81.8%,60.0%,40.0%,0.0%,20.0%,40.0%,80.0%,10.0%,10.0%,50.0%
Bryan Reynolds SHB,,+650,28,4.20,10,0,1,88.9,294.7,1,1,10.0%,-,10.0%,50.0%,50.0%,72.3,23.1%,53.8%,15.4%,92.9%,40.0%,10.0%,0.0%,30.0%,60.0%,40.0%,40.0%,20.0%,42.9%
Jared Triolo RHB,—,N/A,17,2.40,10,0,0,89.5,235.9,1,0,-,-,20.0%,40.0%,60.0%,69.7,5.9%,41.2%,-,89.5%,80.0%,10.0%,0.0%,70.0%,20.0%,20.0%,40.0%,40.0%,37.5%
Jhostynxon Garcia RHB,—,N/A,15,2.40,10,0,0,86.1,324.8,3,2,10.0%,-,10.0%,30.0%,20.0%,74.5,41.2%,35.3%,11.8%,94.4%,40.0%,30.0%,0.0%,10.0%,60.0%,30.0%,60.0%,10.0%,62.5%
Henry Davis RHB,,+725,28,3.60,10,0,1,86.1,242.2,2,1,10.0%,10.0%,30.0%,40.0%,20.0%,71.5,11.8%,35.3%,17.6%,100.0%,50.0%,30.0%,0.0%,20.0%,20.0%,50.0%,30.0%,20.0%,62.5%
Spencer Horwitz LHB,,+650,28,3.60,10,0,1,89.4,263.5,3,0,-,-,20.0%,10.0%,20.0%,69.8,-,63.6%,9.1%,100.0%,50.0%,40.0%,0.0%,10.0%,40.0%,60.0%,10.0%,30.0%,0.0%
Nick Gonzales RHB,,+1140,19,4.00,10,0,0,82.9,235.9,1,0,-,-,20.0%,20.0%,40.0%,72.5,15.4%,38.5%,7.7%,92.9%,40.0%,10.0%,0.0%,30.0%,60.0%,50.0%,20.0%,30.0%,50.0%
Rafael Flores RHB,—,N/A,7,3.00,5,0,0,94.7,314.4,1,1,-,-,-,60.0%,20.0%,74.7,45.5%,36.4%,18.2%,91.7%,40.0%,20.0%,0.0%,20.0%,60.0%,40.0%,60.0%,-,66.7%
Ronny Simon SHB,,+1450,7,4.00,2,0,0,92.2,231.5,0,0,-,-,-,50.0%,50.0%,68.0,-,40.0%,-,83.3%,50.0%,-,-,50.0%,50.0%,50.0%,-,50.0%,50.0%
