Matchup,PIT @ MIL
Pitcher,Kyle Harrison
Pitcher Team,MIL
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,83.2,341,0.221,0.279,0.366,0.145,1.08,10,1.08,5.9%,29.0%,29.6%,20.2%,14.4%,10.86,64.3%,7.7%,6.5%,36.6%,30.1%,13.8%,17.6%
vsLHB,24.1,98,0.228,0.264,0.326,0.098,1.07,1,0.37,5.1%,25.6%,26.5%,18.6%,12.3%,9.62,67.3%,9.3%,3.0%,24.2%,19.7%,7.7%,15.2%
vsRHB,59.0,243,0.218,0.285,0.382,0.164,1.08,9,1.37,6.2%,30.2%,30.9%,20.9%,15.2%,11.44,63.1%,7.0%,8.0%,42.0%,34.7%,15.4%,18.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Esmerlyn Valdez RHB,,+320,22,4.20,10,1,1,92.8,273.1,2,1,-,-,30.0%,50.0%,20.0%,74.5,47.4%,47.4%,21.1%,100.0%,60.0%,50.0%,20.0%,10.0%,40.0%,70.0%,20.0%,10.0%,50.0%
Brandon Lowe LHB,,+435,37,4.40,10,1,2,93.9,296.9,3,2,10.0%,10.0%,40.0%,50.0%,50.0%,75.8,63.6%,45.5%,27.3%,100.0%,80.0%,60.0%,16.7%,20.0%,20.0%,40.0%,40.0%,20.0%,71.4%
Spencer Horwitz LHB,—,N/A,18,3.80,5,1,1,82.3,289.2,2,2,40.0%,-,-,40.0%,60.0%,68.1,-,37.5%,12.5%,100.0%,60.0%,40.0%,50.0%,20.0%,20.0%,20.0%,40.0%,40.0%,50.0%
Marcell Ozuna RHB,,+585,33,3.60,10,0,0,86.5,189.5,1,0,-,-,-,10.0%,30.0%,73.3,22.2%,55.6%,-,69.2%,20.0%,10.0%,0.0%,10.0%,50.0%,10.0%,60.0%,30.0%,40.0%
Bryan Reynolds SHB,,+408,38,4.60,10,0,0,91.9,290.2,2,1,20.0%,-,-,50.0%,30.0%,72.8,38.5%,38.5%,30.8%,92.9%,50.0%,30.0%,0.0%,20.0%,50.0%,40.0%,50.0%,10.0%,42.9%
Jared Triolo RHB,,+950,18,2.20,10,0,0,70.5,272.5,3,1,-,-,-,-,20.0%,70.9,-,40.0%,-,76.9%,40.0%,30.0%,0.0%,10.0%,30.0%,40.0%,20.0%,40.0%,12.5%
Jake Mangum SHB,,+1300,13,4.60,10,0,0,84.2,238.6,1,0,-,-,20.0%,-,10.0%,69.7,5.3%,42.1%,-,100.0%,40.0%,30.0%,0.0%,10.0%,60.0%,30.0%,30.0%,40.0%,37.5%
Henry Davis RHB,,+568,28,3.40,10,0,0,91.6,214.6,0,0,-,-,30.0%,50.0%,30.0%,74.0,43.8%,43.8%,18.8%,88.9%,50.0%,20.0%,0.0%,30.0%,30.0%,50.0%,40.0%,10.0%,83.3%
Nick Gonzales RHB,,+880,18,4.20,10,0,0,85.0,266.4,1,0,-,-,10.0%,20.0%,40.0%,71.4,8.3%,41.7%,8.3%,92.3%,60.0%,40.0%,0.0%,20.0%,40.0%,10.0%,50.0%,40.0%,42.9%
Jhostynxon Garcia RHB,—,N/A,6,2.80,9,0,0,81.1,258.7,3,0,-,-,22.2%,33.3%,44.4%,75.5,55.6%,22.2%,16.7%,90.0%,55.5%,22.2%,0.0%,33.3%,33.3%,33.3%,33.3%,33.3%,66.7%
Endy Rodriguez SHB,—,N/A,8,4.20,3,0,0,84.4,255.0,0,0,-,-,33.3%,-,66.7%,72.3,-,25.0%,-,100.0%,66.6%,33.3%,0.0%,33.3%,33.3%,33.3%,33.3%,33.3%,0.0%
Jacob Gonzalez LHB,—,N/A,8,3.00,2,0,0,102.7,375.5,1,1,50.0%,-,-,100.0%,50.0%,72.5,-,66.7%,33.3%,100.0%,50.0%,-,-,50.0%,50.0%,50.0%,50.0%,-,0.0%
Rafael Flores RHB,,+840,-,3.60,2,0,0,72.5,243.3,0,0,-,-,100.0%,-,-,72.4,50.0%,-,-,100.0%,100.0%,100.0%,0.0%,-,-,100.0%,-,-,0.0%
