Matchup,PIT @ NYY
Pitcher,Max Fried
Pitcher Team,NYY
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,61.2,240,0.198,0.238,0.253,0.055,1.01,1,0.15,7.9%,23.2%,20.8%,20.3%,10.4%,7.30,52.9%,7.6%,1.8%,30.8%,23.7%,2.5%,7.1%
vsLHB,17.0,57,0.148,0.163,0.185,0.037,0.59,0,-,3.5%,19.1%,21.1%,21.8%,8.7%,6.35,50.9%,8.2%,4.7%,32.6%,25.6%,-,2.3%
vsRHB,44.0,183,0.215,0.261,0.276,0.061,1.18,1,0.20,9.3%,24.4%,20.8%,19.9%,10.9%,7.77,53.6%,7.5%,0.8%,30.2%,23.0%,3.4%,8.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Esmerlyn Valdez RHB,,+320,22,4.40,10,2,2,100.5,276.9,3,2,20.0%,-,20.0%,70.0%,20.0%,75.9,60.0%,45.0%,35.0%,95.2%,60.0%,50.0%,40.0%,10.0%,30.0%,40.0%,40.0%,20.0%,22.2%
Marcell Ozuna RHB,,+520,26,4.00,10,1,1,87.9,302.4,2,1,10.0%,-,10.0%,20.0%,40.0%,73.3,30.0%,50.0%,20.0%,83.3%,60.0%,40.0%,25.0%,20.0%,40.0%,20.0%,50.0%,30.0%,0.0%
Henry Davis RHB,,N/A,23,3.80,10,1,1,85.6,198.6,2,2,-,-,40.0%,40.0%,40.0%,72.2,30.8%,53.8%,15.4%,100.0%,40.0%,20.0%,50.0%,20.0%,30.0%,60.0%,20.0%,20.0%,44.4%
Ryan O'Hearn LHB,,+630,23,4.20,10,0,1,89.6,245.8,1,1,10.0%,10.0%,10.0%,50.0%,30.0%,70.5,-,38.9%,11.1%,94.7%,40.0%,30.0%,0.0%,10.0%,50.0%,40.0%,40.0%,20.0%,30.0%
Bryan Reynolds SHB,,+560,27,4.20,10,0,1,87.3,232.7,1,1,10.0%,-,-,30.0%,20.0%,72.3,14.3%,35.7%,14.3%,100.0%,30.0%,10.0%,0.0%,20.0%,70.0%,20.0%,30.0%,50.0%,50.0%
Jared Triolo RHB,,+1100,14,3.60,10,0,0,84.9,265.2,1,0,-,-,10.0%,30.0%,20.0%,71.8,-,38.5%,7.7%,92.9%,30.0%,10.0%,0.0%,20.0%,70.0%,50.0%,30.0%,20.0%,55.6%
Jake Mangum SHB,,+1500,11,4.40,10,0,0,86.1,252.6,2,1,-,-,20.0%,20.0%,30.0%,69.3,6.2%,56.2%,6.2%,94.1%,70.0%,40.0%,0.0%,30.0%,30.0%,20.0%,40.0%,40.0%,62.5%
Brandon Lowe LHB,,+350,25,4.20,10,0,1,91.4,346.5,4,3,20.0%,-,20.0%,60.0%,20.0%,73.1,43.8%,43.8%,25.0%,94.1%,50.0%,40.0%,0.0%,10.0%,50.0%,20.0%,70.0%,10.0%,55.6%
Nick Gonzales RHB,,+1060,17,4.60,10,0,0,84.3,273.3,3,0,-,-,20.0%,30.0%,80.0%,71.2,16.7%,41.7%,8.3%,92.3%,70.0%,20.0%,0.0%,50.0%,30.0%,30.0%,40.0%,30.0%,55.6%
Billy Cook RHB,—,N/A,3,2.20,10,0,1,78.6,267.2,3,0,-,-,-,20.0%,-,73.5,28.6%,35.7%,-,87.5%,40.0%,40.0%,0.0%,-,30.0%,20.0%,10.0%,70.0%,60.0%
Jacob Gonzalez LHB,,N/A,6,2.40,8,0,0,88.2,280.4,2,2,12.5%,-,12.5%,37.5%,37.5%,71.6,23.1%,38.5%,7.7%,92.9%,62.5%,37.5%,0.0%,25.0%,25.0%,25.0%,50.0%,25.0%,60.0%
Tyler Callihan LHB,,N/A,3,2.80,4,0,0,84.9,293.0,2,1,-,-,-,25.0%,75.0%,69.8,14.3%,-,-,87.5%,100.0%,50.0%,0.0%,50.0%,-,-,100.0%,-,25.0%
Rafael Flores RHB,,+870,-,3.20,3,0,0,86.0,304.8,2,1,33.3%,-,33.3%,33.3%,66.7%,69.6,14.3%,28.6%,14.3%,87.5%,100.0%,100.0%,0.0%,-,-,33.3%,66.7%,-,0.0%
