Matchup,PIT @ PHI
Pitcher,Zack Wheeler
Pitcher Team,PHI
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,63.1,241,0.178,0.243,0.324,0.147,0.85,8,1.14,5.8%,27.1%,24.9%,19.5%,13.4%,8.53,65.6%,5.8%,6.7%,35.2%,24.8%,19.5%,17.0%
vsLHB,37.2,150,0.190,0.267,0.350,0.161,0.98,6,1.43,7.3%,26.2%,22.7%,16.8%,12.9%,8.12,59.3%,5.8%,6.8%,43.7%,27.2%,21.4%,19.4%
vsRHB,25.2,91,0.159,0.203,0.284,0.125,0.66,2,0.70,3.3%,28.7%,28.6%,24.5%,14.4%,9.12,75.8%,5.7%,6.5%,21.0%,21.0%,15.4%,12.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ryan O'Hearn LHB,,+590,10,19,4.00,2,2,0.316,0.316,0.737,0.421,0.448,-,9.8%,21.1%,5.5%,84.7,268.8,4,3,13.3%,13.3%,26.7%,33.3%,40.0%,71.0,5.6%,11.1%,8.3%,92.3%,66.7%,46.7%,28.6%,20.0%,26.7%,40.0%,26.7%,33.3%,26.1%
Henry Davis RHB,,+275,26,18,2.60,2,2,0.214,0.389,0.643,0.429,0.431,16.7%,26.9%,27.8%,11.7%,89.0,288.4,3,2,22.2%,11.1%,55.6%,55.6%,22.2%,74.9,43.5%,21.7%,13.0%,92.0%,66.6%,44.4%,50.0%,22.2%,22.2%,66.7%,11.1%,22.2%,53.8%
Jared Triolo RHB,,+1200,18,23,3.40,1,2,0.350,0.435,0.600,0.250,0.444,8.7%,12.1%,8.7%,5.8%,88.7,265.0,2,2,5.6%,-,5.6%,50.0%,33.3%,71.0,6.1%,33.3%,9.1%,100.0%,44.5%,16.7%,33.3%,27.8%,50.0%,38.9%,38.9%,22.2%,38.1%
Konnor Griffin RHB,,+720,17,21,4.80,1,1,0.278,0.381,0.500,0.222,0.384,9.5%,33.3%,38.1%,18.1%,77.9,205.3,1,1,-,-,10.0%,30.0%,20.0%,74.1,36.1%,11.1%,2.8%,92.3%,40.0%,20.0%,50.0%,20.0%,40.0%,40.0%,10.0%,50.0%,30.0%
Esmerlyn Valdez RHB,,+502,28,20,3.80,1,2,0.278,0.350,0.500,0.222,0.367,10.0%,37.5%,35.0%,17.0%,89.8,310.1,5,3,27.3%,-,-,54.5%,54.5%,75.9,58.8%,17.6%,17.6%,87.2%,54.6%,36.4%,25.0%,18.2%,36.4%,9.1%,63.6%,27.3%,23.8%
Bryan Reynolds SHB,,+420,5,17,4.80,1,2,0.500,0.588,0.857,0.357,0.597,17.6%,31.4%,23.5%,15.3%,93.8,310.3,3,3,20.0%,10.0%,10.0%,70.0%,60.0%,72.3,25.0%,28.1%,15.6%,91.4%,70.0%,30.0%,33.3%,40.0%,30.0%,30.0%,60.0%,10.0%,38.9%
Marcell Ozuna RHB,—,N/A,20,16,4.00,1,1,0.286,0.375,0.500,0.214,0.379,12.5%,31.0%,43.8%,11.7%,96.3,272.7,2,1,28.6%,14.3%,42.9%,71.4%,71.4%,73.7,44.0%,16.0%,8.0%,92.6%,85.7%,28.6%,50.0%,57.1%,14.3%,42.9%,42.9%,14.3%,0.0%
Endy Rodriguez SHB,,+520,12,16,4.00,1,1,0.500,0.625,0.917,0.417,0.619,25.0%,18.5%,6.2%,8.3%,100.0,260.6,3,2,18.2%,-,9.1%,72.7%,36.4%,72.7,26.9%,42.3%,26.9%,96.3%,54.5%,-,-,54.5%,45.5%,45.5%,54.5%,-,27.8%
Nick Gonzales RHB,,+1180,16,27,3.60,0,0,0.273,0.407,0.273,-,0.323,11.1%,24.5%,29.6%,13.0%,82.5,240.1,0,0,-,-,-,30.8%,23.1%,70.8,18.4%,10.5%,7.9%,82.6%,30.8%,7.7%,0.0%,23.1%,69.2%,53.8%,15.4%,30.8%,33.3%
Brandon Lowe LHB,,+319,19,20,4.80,0,1,0.188,0.300,0.188,-,0.231,15.0%,38.9%,20.0%,19.7%,92.9,274.2,5,1,-,-,7.7%,38.5%,23.1%,74.2,48.5%,24.2%,6.1%,94.3%,69.3%,46.2%,0.0%,23.1%,30.8%,23.1%,53.8%,23.1%,37.5%
Tyler Callihan LHB,,+480,3,20,3.60,0,0,0.211,0.250,0.316,0.105,0.247,5.0%,40.9%,45.0%,23.4%,83.9,238.4,2,0,-,-,40.0%,30.0%,70.0%,70.4,12.2%,9.8%,7.3%,97.6%,80.0%,30.0%,0.0%,50.0%,10.0%,40.0%,40.0%,20.0%,36.8%
Jake Mangum SHB,,+1940,9,17,4.40,0,0,0.312,0.353,0.312,-,0.300,5.9%,22.2%,23.5%,12.3%,86.9,251.0,1,1,8.3%,-,-,33.3%,8.3%,68.5,7.0%,18.6%,7.0%,95.6%,16.7%,16.7%,0.0%,-,75.0%,8.3%,50.0%,41.7%,40.0%
Billy Cook RHB,—,N/A,1,4,1.80,0,0,-,-,-,-,-,-,45.5%,25.0%,27.8%,88.1,190.7,0,0,-,-,-,-,-,73.3,30.0%,20.0%,-,90.9%,33.3%,33.3%,0.0%,-,-,-,100.0%,-,37.5%
