Matchup,PIT @ SD
Pitcher,Michael King
Pitcher Team,SD
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,149.0,609,0.216,0.290,0.349,0.133,1.17,18,1.09,9.5%,24.8%,20.9%,17.9%,11.5%,7.67,62.9%,6.1%,8.5%,32.4%,26.8%,14.4%,13.3%
vsLHB,91.0,374,0.222,0.291,0.353,0.132,1.22,12,1.19,9.9%,22.1%,19.3%,17.1%,10.2%,7.12,60.1%,5.1%,9.5%,32.1%,27.1%,15.5%,14.1%
vsRHB,56.2,235,0.208,0.288,0.343,0.135,1.13,6,0.95,8.9%,28.8%,23.4%,19.0%,13.4%,8.74,67.4%,7.6%,6.6%,32.9%,26.3%,12.5%,11.8%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Oneil Cruz LHB,,+394,37,4.00,10,2,2,89.1,271.0,2,2,20.0%,-,20.0%,30.0%,60.0%,77.7,71.4%,28.6%,21.4%,93.3%,90.0%,40.0%,50.0%,50.0%,10.0%,20.0%,80.0%,-,28.6%
Jared Triolo RHB,—,N/A,17,3.40,10,1,1,89.8,289.1,2,1,10.0%,-,10.0%,50.0%,30.0%,69.7,6.2%,43.8%,18.8%,94.1%,50.0%,30.0%,33.3%,20.0%,50.0%,40.0%,50.0%,10.0%,57.1%
Brandon Lowe LHB,,+423,21,4.60,10,1,1,90.5,327.1,5,3,20.0%,-,10.0%,60.0%,70.0%,74.5,53.8%,38.5%,15.4%,92.9%,70.0%,50.0%,20.0%,20.0%,30.0%,20.0%,60.0%,20.0%,28.6%
Esmerlyn Valdez RHB,,+472,40,4.00,10,0,1,87.3,303.3,2,2,10.0%,10.0%,10.0%,30.0%,30.0%,74.3,47.1%,11.8%,11.8%,94.4%,40.0%,10.0%,0.0%,30.0%,60.0%,50.0%,40.0%,10.0%,22.2%
Jacob Gonzalez LHB,,+830,13,2.60,10,0,0,83.4,246.2,2,2,-,-,10.0%,20.0%,20.0%,71.2,20.0%,40.0%,13.3%,93.8%,50.0%,20.0%,0.0%,30.0%,40.0%,30.0%,40.0%,30.0%,50.0%
Rafael Flores RHB,—,N/A,17,3.80,10,0,0,89.4,313.7,3,2,10.0%,-,-,60.0%,30.0%,73.2,23.8%,28.6%,14.3%,91.3%,50.0%,40.0%,0.0%,10.0%,50.0%,10.0%,60.0%,30.0%,66.7%
Bryan Reynolds SHB,,+630,17,4.60,10,0,2,92.8,315.0,3,2,20.0%,10.0%,10.0%,50.0%,50.0%,72.6,16.7%,58.3%,25.0%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,30.0%,40.0%,30.0%,40.0%
Jake Mangum SHB,,+1700,9,2.80,10,0,0,71.2,287.9,1,1,-,-,10.0%,30.0%,20.0%,69.9,10.0%,50.0%,10.0%,100.0%,20.0%,10.0%,0.0%,10.0%,60.0%,20.0%,70.0%,10.0%,55.6%
Henry Davis RHB,,+625,21,2.80,10,0,0,84.7,165.8,0,0,-,-,10.0%,30.0%,20.0%,73.2,31.2%,43.8%,6.2%,94.1%,20.0%,-,-,20.0%,40.0%,40.0%,30.0%,30.0%,16.7%
Spencer Horwitz LHB,,+800,15,4.60,10,0,0,91.5,298.8,3,1,-,-,10.0%,20.0%,30.0%,67.2,6.7%,53.3%,6.7%,100.0%,50.0%,20.0%,0.0%,30.0%,50.0%,30.0%,50.0%,20.0%,14.3%
Nick Gonzales RHB,,+1300,15,4.60,10,0,0,85.8,173.7,0,0,-,-,-,20.0%,20.0%,70.4,7.7%,53.8%,15.4%,100.0%,20.0%,-,-,20.0%,70.0%,20.0%,40.0%,40.0%,42.9%
Nick Yorke RHB,—,N/A,12,3.20,10,0,0,89.4,194.9,1,0,-,-,-,50.0%,20.0%,72.0,-,77.8%,33.3%,90.0%,30.0%,10.0%,0.0%,20.0%,60.0%,20.0%,60.0%,20.0%,44.4%
Billy Cook RHB,—,N/A,2,2.00,8,0,0,75.9,162.1,0,0,-,-,12.5%,12.5%,25.0%,73.0,33.3%,33.3%,11.1%,90.0%,25.0%,12.5%,0.0%,12.5%,37.5%,25.0%,75.0%,-,57.1%
