Matchup,PIT @ WSH
Pitcher,Mitch Keller
Pitcher Team,PIT
Opposing Team,WSH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.2,239,0.280,0.357,0.464,0.185,1.49,8,1.34,8.8%,19.2%,17.6%,16.7%,9.3%,7.04,59.6%,7.9%,8.8%,42.4%,25.9%,15.9%,17.6%
vsLHB,35.0,149,0.276,0.356,0.485,0.209,1.34,6,1.54,6.7%,18.0%,18.8%,17.8%,8.9%,7.20,58.7%,6.6%,10.3%,42.1%,24.3%,19.2%,17.8%
vsRHB,18.2,90,0.286,0.360,0.429,0.143,1.77,2,0.96,12.2%,21.3%,15.6%,14.7%,10.0%,6.75,61.1%,10.0%,6.3%,42.9%,28.6%,11.1%,17.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Luis Garcia Jr. LHB,,+450,27,24,4.20,6,7,0.500,0.542,1.409,0.909,0.796,8.3%,20.4%,12.5%,10.9%,95.9,314.6,9,6,31.6%,15.8%,21.1%,57.9%,42.1%,74.2,41.7%,29.2%,18.8%,88.9%,57.9%,36.8%,71.4%,21.1%,31.6%,36.8%,36.8%,26.3%,21.7%
CJ Abrams LHB,,+432,23,22,4.40,2,2,0.250,0.318,0.600,0.350,0.392,4.5%,31.0%,18.2%,14.3%,90.4,254.3,6,4,6.2%,6.2%,25.0%,43.8%,37.5%,71.6,17.4%,43.5%,30.4%,79.3%,68.7%,37.5%,33.3%,31.2%,12.5%,31.2%,43.8%,25.0%,27.3%
Curtis Mead RHB,,+600,21,22,4.20,2,2,0.190,0.227,0.524,0.333,0.319,4.5%,26.3%,27.3%,10.3%,80.7,300.6,4,2,14.3%,14.3%,21.4%,28.6%,21.4%,72.1,16.7%,30.0%,10.0%,81.1%,42.8%,35.7%,40.0%,7.1%,50.0%,50.0%,21.4%,28.6%,16.0%
Keibert Ruiz SHB,,+690,16,20,3.60,1,1,0.500,0.550,0.778,0.278,0.567,5.0%,6.2%,5.0%,3.3%,93.5,306.9,7,2,5.9%,5.9%,41.2%,52.9%,47.1%,67.9,3.3%,53.3%,23.3%,93.8%,52.9%,17.6%,33.3%,35.3%,41.2%,64.7%,23.5%,11.8%,35.0%
Drew Millas SHB,—,N/A,15,20,4.20,1,1,0.263,0.300,0.474,0.211,0.334,5.0%,17.1%,15.0%,7.2%,90.1,261.4,3,1,6.2%,6.2%,18.8%,37.5%,31.2%,67.9,6.1%,39.4%,9.1%,97.1%,56.2%,31.2%,20.0%,25.0%,37.5%,37.5%,18.8%,43.8%,33.3%
Jorbit Vivas LHB,—,N/A,18,15,3.20,1,1,0.200,0.200,0.400,0.200,0.259,-,27.3%,20.0%,13.4%,82.2,251.5,1,1,8.3%,-,8.3%,25.0%,41.7%,67.5,-,21.2%,9.1%,100.0%,33.3%,8.3%,100.0%,25.0%,66.7%,41.7%,25.0%,33.3%,42.1%
Jacob Young RHB,,+870,15,25,3.00,0,1,0.167,0.200,0.250,0.083,0.199,4.0%,17.6%,16.0%,7.9%,87.0,271.0,4,2,5.0%,-,10.0%,20.0%,20.0%,68.4,-,45.5%,9.1%,97.1%,50.0%,35.0%,0.0%,15.0%,45.0%,35.0%,45.0%,20.0%,13.6%
Dylan Crews RHB,,+520,22,21,4.60,0,2,0.158,0.238,0.263,0.105,0.229,4.8%,33.3%,19.0%,18.3%,92.9,315.2,9,4,13.3%,6.7%,26.7%,53.3%,33.3%,73.0,18.2%,30.3%,18.2%,84.6%,66.7%,40.0%,0.0%,26.7%,26.7%,26.7%,46.7%,26.7%,29.2%
James Wood LHB,,+299,39,18,5.00,0,0,0.143,0.333,0.214,0.071,0.264,22.2%,28.6%,33.3%,9.6%,98.4,305.7,4,0,12.5%,-,-,87.5%,37.5%,76.7,66.7%,25.9%,14.8%,96.4%,62.5%,25.0%,0.0%,37.5%,37.5%,-,62.5%,37.5%,15.0%
Nasim Nuñez SHB,,+1300,7,17,3.80,0,0,0.250,0.294,0.250,-,0.248,5.9%,21.4%,35.3%,10.6%,74.3,228.0,2,1,-,-,-,-,30.0%,67.6,-,13.2%,-,92.7%,50.0%,20.0%,0.0%,30.0%,20.0%,-,60.0%,40.0%,40.0%
