Matchup,SD @ BAL
Pitcher,Trey Gibson
Pitcher Team,BAL
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,17.0,74,0.277,0.333,0.400,0.123,1.53,2,1.06,10.8%,14.7%,6.8%,7.0%,6.7%,2.65,53.3%,9.1%,11.5%,44.3%,19.7%,16.7%,16.4%
vsLHB,9.1,42,0.289,0.340,0.421,0.132,1.61,1,0.96,9.5%,18.3%,7.1%,9.1%,8.1%,2.89,44.2%,8.7%,11.4%,45.7%,20.0%,14.3%,22.9%
vsRHB,7.1,32,0.259,0.324,0.370,0.111,1.50,1,1.23,12.5%,10.3%,6.2%,5.3%,4.8%,2.45,65.6%,9.7%,11.5%,42.3%,19.2%,20.0%,7.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Fernando Tatis Jr. RHB,,+275,27,16,5.20,1,2,0.467,0.500,0.667,0.200,0.506,6.2%,26.9%,12.5%,11.9%,97.4,289.5,3,2,15.4%,7.7%,15.4%,61.5%,30.8%,76.2,61.9%,42.9%,28.6%,84.0%,15.4%,0.0%,30.8%,53.8%,30.8%,61.5%,7.7%,29.4%
Freddy Fermin RHB,,+573,20,12,4.00,1,1,0.091,0.167,0.364,0.273,0.229,8.3%,23.5%,16.7%,7.4%,79.7,276.4,3,1,11.1%,11.1%,44.4%,22.2%,33.3%,70.6,7.1%,28.6%,7.1%,87.5%,44.4%,25.0%,22.2%,22.2%,44.4%,44.4%,11.1%,38.5%
Gavin Sheets LHB,,+238,21,22,4.00,0,0,0.053,0.182,0.053,-,0.129,13.6%,19.5%,27.3%,9.0%,88.1,219.4,2,2,7.7%,-,-,38.5%,30.8%,75.2,52.5%,15.0%,5.0%,97.6%,30.8%,0.0%,23.1%,23.1%,7.7%,38.5%,53.8%,20.0%
Sung-Mun Song LHB,,+451,15,21,3.60,0,1,0.211,0.286,0.211,-,0.231,9.5%,24.0%,23.8%,11.1%,85.3,229.8,2,1,-,-,28.6%,28.6%,21.4%,71.7,14.6%,17.1%,7.3%,85.4%,21.4%,0.0%,14.3%,42.9%,50.0%,35.7%,14.3%,12.0%
Jackson Merrill LHB,,+212,33,20,4.60,0,0,0.111,0.200,0.222,0.111,0.190,10.0%,25.5%,25.0%,13.8%,89.0,313.1,6,2,15.4%,7.7%,30.8%,46.2%,46.2%,74.2,43.2%,21.6%,16.2%,90.2%,46.2%,0.0%,23.1%,23.1%,38.5%,15.4%,46.2%,40.0%
Ty France RHB,,+408,23,14,3.00,0,0,0.083,0.214,0.167,0.083,0.189,7.1%,19.2%,7.1%,10.4%,89.7,271.6,1,0,-,-,10.0%,40.0%,20.0%,70.5,4.3%,30.4%,13.0%,88.5%,10.0%,0.0%,10.0%,80.0%,20.0%,50.0%,30.0%,25.0%
Xander Bogaerts RHB,—,N/A,30,10,3.60,0,0,0.143,0.400,0.143,-,0.291,20.0%,33.3%,30.0%,10.3%,87.0,261.0,1,1,-,-,50.0%,25.0%,50.0%,71.4,20.0%,30.0%,10.0%,90.9%,25.0%,0.0%,50.0%,25.0%,50.0%,50.0%,-,21.4%
Miguel Andujar RHB,—,N/A,16,9,2.40,0,0,0.111,0.111,0.111,-,0.099,-,21.1%,11.1%,10.8%,87.7,271.0,2,0,-,-,-,50.0%,25.0%,71.4,23.5%,29.4%,11.8%,89.5%,-,-,37.5%,62.5%,37.5%,37.5%,25.0%,36.4%
Samad Taylor RHB,,+642,1,9,4.20,0,0,0.444,0.444,0.556,0.111,0.438,-,26.7%,22.2%,9.8%,80.8,212.8,0,0,-,-,14.3%,28.6%,42.9%,69.2,7.1%,35.7%,-,93.3%,-,-,42.9%,42.9%,28.6%,57.1%,14.3%,9.1%
Rodolfo Durán RHB,—,N/A,3,8,3.20,0,1,0.143,0.250,0.286,0.143,0.240,12.5%,11.8%,12.5%,5.7%,82.6,307.7,1,1,16.7%,-,16.7%,33.3%,50.0%,71.8,14.3%,14.3%,14.3%,82.4%,16.7%,0.0%,16.7%,66.7%,50.0%,50.0%,-,36.4%
Manny Machado RHB,,+279,42,7,4.20,0,0,0.429,0.429,0.714,0.286,0.490,-,33.3%,-,17.0%,90.8,213.6,0,0,-,-,42.9%,42.9%,42.9%,74.5,54.2%,12.5%,8.3%,92.3%,28.6%,0.0%,28.6%,42.9%,71.4%,14.3%,14.3%,37.5%
Will Wagner LHB,,+442,1,6,3.33,0,0,0.667,0.833,1.000,0.333,0.684,50.0%,9.1%,-,2.8%,81.1,240.8,0,0,-,-,-,-,33.3%,69.6,10.0%,10.0%,-,90.9%,33.3%,0.0%,33.3%,33.3%,-,66.7%,33.3%,25.0%
Jase Bowen RHB,—,N/A,-,1,2.80,0,0,1.000,1.000,1.000,-,0.890,-,25.0%,-,10.0%,68.8,229.5,0,0,-,-,-,-,-,70.4,-,-,-,100.0%,100.0%,0.0%,-,-,-,100.0%,-,33.3%
