Matchup,SD @ CHC
Pitcher,JP Sears
Pitcher Team,SD
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,6.0,25,0.217,0.290,0.391,0.174,1.17,1,1.50,8.0%,22.2%,20.0%,31.2%,12.3%,7.50,64.0%,13.6%,11.1%,38.9%,50.0%,11.1%,22.2%
vsLHB,1.2,6,0.167,0.146,0.167,-,0.60,0,-,-,21.4%,50.0%,42.9%,15.0%,16.20,83.3%,15.0%,-,33.3%,33.3%,-,33.3%
vsRHB,4.1,19,0.235,0.336,0.471,0.235,1.38,1,2.08,10.5%,22.6%,10.5%,22.2%,11.5%,4.15,57.9%,13.1%,13.3%,40.0%,53.3%,12.5%,20.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Dansby Swanson RHB,,+344,22,16,4.00,1,1,0.250,0.250,0.562,0.312,0.346,-,29.6%,31.2%,17.0%,85.4,227.7,1,1,-,-,18.2%,27.3%,27.3%,72.0,15.4%,19.2%,11.5%,96.3%,54.6%,36.4%,25.0%,18.2%,27.3%,45.5%,18.2%,36.4%,40.0%
Pete Crow-Armstrong LHB,,+285,37,14,4.80,1,1,0.333,0.429,0.667,0.333,0.461,14.3%,23.1%,28.6%,10.2%,86.5,282.0,2,1,-,-,37.5%,62.5%,37.5%,75.6,52.2%,26.1%,17.4%,88.5%,50.0%,25.0%,50.0%,25.0%,37.5%,50.0%,12.5%,37.5%,38.5%
Seiya Suzuki RHB,,+245,38,12,4.80,1,2,0.400,0.417,0.800,0.400,0.483,8.3%,11.8%,16.7%,4.2%,94.7,278.8,4,3,-,-,33.3%,55.6%,66.7%,73.3,30.8%,61.5%,23.1%,81.2%,66.6%,22.2%,50.0%,44.4%,22.2%,44.4%,33.3%,22.2%,12.5%
Carson Kelly RHB,,+350,28,9,3.00,1,2,0.444,0.444,1.111,0.667,0.657,-,28.0%,22.2%,14.3%,95.5,302.5,3,1,14.3%,14.3%,28.6%,71.4%,71.4%,71.7,8.3%,25.0%,8.3%,96.0%,85.8%,42.9%,33.3%,42.9%,14.3%,42.9%,42.9%,14.3%,40.0%
Ian Happ SHB,,+302,26,9,4.20,1,1,0.222,0.222,0.556,0.333,0.332,-,46.7%,44.4%,21.2%,80.8,295.4,1,1,20.0%,20.0%,20.0%,20.0%,20.0%,71.6,13.3%,6.7%,6.7%,100.0%,60.0%,60.0%,33.3%,-,40.0%,40.0%,-,60.0%,14.3%
Miguel Amaya RHB,—,N/A,16,16,3.60,0,0,0.143,0.250,0.143,-,0.192,12.5%,22.2%,25.0%,11.3%,87.9,277.8,3,1,-,-,10.0%,40.0%,30.0%,70.9,9.1%,27.3%,13.6%,91.7%,70.0%,60.0%,0.0%,10.0%,30.0%,30.0%,40.0%,30.0%,33.3%
Nico Hoerner RHB,,+680,10,16,4.00,0,1,0.250,0.250,0.375,0.125,0.270,-,2.9%,-,1.7%,88.2,223.4,4,0,-,-,25.0%,37.5%,31.2%,68.5,-,36.4%,12.1%,97.1%,68.8%,25.0%,0.0%,43.8%,18.8%,37.5%,43.8%,18.8%,46.2%
Michael Busch LHB,,+396,39,11,4.60,0,1,0.111,0.273,0.111,-,0.199,18.2%,5.9%,9.1%,2.2%,87.8,333.4,3,3,12.5%,-,25.0%,37.5%,50.0%,66.5,-,35.3%,11.8%,100.0%,50.0%,50.0%,0.0%,-,50.0%,62.5%,37.5%,-,20.0%
Alex Bregman RHB,,+390,21,10,4.60,0,0,0.111,0.200,0.111,-,0.154,10.0%,0.0%,10.0%,-,83.3,160.2,1,0,-,-,12.5%,25.0%,-,71.3,5.9%,17.6%,5.9%,85.0%,25.0%,25.0%,0.0%,-,37.5%,37.5%,50.0%,12.5%,44.4%
Pedro Ramirez SHB,,+470,3,5,3.00,0,0,0.200,0.200,0.400,0.200,0.254,-,13.3%,-,8.7%,86.1,284.4,2,1,-,-,-,-,60.0%,70.0,-,27.3%,-,73.3%,80.0%,20.0%,0.0%,60.0%,20.0%,-,60.0%,40.0%,40.0%
Kevin Alcantara RHB,,+340,1,4,1.60,0,0,0.250,0.250,0.250,-,0.222,-,14.3%,-,6.7%,85.8,289.4,1,0,-,-,-,-,50.0%,73.1,33.3%,33.3%,-,85.7%,75.0%,50.0%,0.0%,25.0%,25.0%,25.0%,75.0%,-,40.0%
Michael Conforto LHB,,+248,21,2,2.60,0,0,1.000,1.000,1.000,-,0.770,50.0%,50.0%,-,16.7%,105.9,178.5,0,0,-,-,-,100.0%,100.0%,75.4,50.0%,50.0%,50.0%,100.0%,100.0%,-,-,100.0%,-,-,100.0%,-,50.0%
