Matchup,SD @ KC
Pitcher,Seth Lugo
Pitcher Team,KC
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,104.2,449,0.283,0.349,0.473,0.190,1.42,15,1.29,7.3%,18.7%,19.2%,17.5%,8.7%,7.39,66.1%,8.7%,10.1%,43.1%,31.5%,14.6%,16.2%
vsLHB,66.0,296,0.296,0.355,0.467,0.170,1.58,7,0.95,8.1%,19.5%,19.9%,17.5%,8.9%,8.05,64.8%,9.4%,9.5%,43.6%,30.3%,10.9%,15.6%
vsRHB,37.0,153,0.257,0.336,0.486,0.229,1.22,8,1.95,5.9%,17.0%,17.6%,17.5%,8.2%,6.57,68.6%,7.3%,11.2%,42.2%,33.6%,20.5%,17.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Xander Bogaerts RHB,,+750,16,4.60,10,1,1,89.2,316.3,3,2,20.0%,-,10.0%,40.0%,40.0%,72.9,25.0%,62.5%,37.5%,80.0%,50.0%,30.0%,33.3%,20.0%,50.0%,60.0%,30.0%,10.0%,25.0%
Luis Campusano RHB,,+700,31,3.20,10,1,1,91.1,260.6,3,2,10.0%,-,20.0%,40.0%,50.0%,74.0,38.5%,61.5%,23.1%,92.9%,70.0%,30.0%,33.3%,40.0%,20.0%,40.0%,50.0%,10.0%,11.1%
Sung-Mun Song LHB,,+750,27,3.40,10,0,0,84.3,214.8,0,0,-,-,10.0%,10.0%,20.0%,71.8,11.1%,27.8%,5.6%,94.7%,20.0%,-,-,20.0%,70.0%,70.0%,10.0%,20.0%,30.0%
Gavin Sheets LHB,,+480,25,4.20,10,0,0,77.6,287.9,0,0,-,-,10.0%,20.0%,10.0%,75.3,61.5%,15.4%,15.4%,81.2%,10.0%,10.0%,0.0%,-,90.0%,50.0%,20.0%,30.0%,14.3%
Rodolfo Durán RHB,—,N/A,27,2.80,10,0,0,87.0,210.7,1,1,-,-,-,30.0%,20.0%,70.3,27.8%,22.2%,-,90.0%,40.0%,30.0%,0.0%,10.0%,40.0%,30.0%,20.0%,50.0%,33.3%
Jase Bowen RHB,,+750,12,1.80,10,0,1,70.2,238.8,2,1,20.0%,-,10.0%,20.0%,40.0%,72.5,25.0%,25.0%,12.5%,80.0%,70.0%,30.0%,0.0%,40.0%,10.0%,20.0%,60.0%,20.0%,33.3%
Luis Rengifo SHB,,+1320,20,3.20,10,0,0,84.1,242.2,2,0,-,-,10.0%,20.0%,30.0%,68.6,-,55.6%,-,90.0%,40.0%,20.0%,0.0%,20.0%,50.0%,20.0%,50.0%,30.0%,50.0%
Manny Machado RHB,,+360,19,4.00,10,0,0,87.6,210.8,1,0,-,-,20.0%,30.0%,30.0%,73.9,37.5%,31.2%,12.5%,80.0%,50.0%,20.0%,0.0%,30.0%,30.0%,50.0%,20.0%,30.0%,16.7%
Miguel Andujar RHB,,+660,22,3.20,10,0,1,87.4,290.2,2,1,-,-,20.0%,20.0%,20.0%,69.1,6.7%,40.0%,6.7%,93.8%,50.0%,20.0%,0.0%,30.0%,50.0%,60.0%,20.0%,20.0%,62.5%
Jake Cronenworth LHB,,+750,20,3.40,10,0,0,84.4,198.7,0,0,-,-,-,30.0%,20.0%,70.4,16.7%,41.7%,8.3%,92.3%,30.0%,10.0%,0.0%,20.0%,60.0%,20.0%,50.0%,30.0%,55.6%
Ty France RHB,,+500,36,4.20,10,0,1,96.9,310.1,4,1,10.0%,-,20.0%,60.0%,50.0%,71.0,14.3%,42.9%,21.4%,73.7%,50.0%,20.0%,0.0%,30.0%,50.0%,30.0%,30.0%,40.0%,33.3%
Fernando Tatis Jr. RHB,,+480,21,4.60,10,0,0,94.1,194.3,0,0,-,-,10.0%,50.0%,20.0%,78.4,83.3%,41.7%,33.3%,100.0%,30.0%,10.0%,0.0%,20.0%,60.0%,40.0%,30.0%,30.0%,57.1%
Jackson Merrill LHB,,+520,23,4.60,10,0,0,86.0,250.7,1,0,-,-,10.0%,30.0%,30.0%,73.4,27.8%,22.2%,5.6%,81.8%,50.0%,30.0%,0.0%,20.0%,50.0%,30.0%,60.0%,10.0%,55.6%
