Matchup,SD @ MIA
Pitcher,Janson Junk
Pitcher Team,MIA
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,69.0,294,0.269,0.331,0.450,0.181,1.35,11,1.43,6.8%,17.7%,17.3%,15.2%,8.6%,6.65,62.8%,7.1%,7.2%,41.3%,22.4%,22.0%,18.4%
vsLHB,39.1,185,0.321,0.380,0.512,0.190,1.73,6,1.37,7.6%,18.9%,17.8%,14.8%,9.1%,7.55,62.7%,7.1%,6.6%,46.0%,17.5%,25.0%,21.9%
vsRHB,29.1,109,0.184,0.249,0.350,0.165,0.85,5,1.53,5.5%,15.6%,16.5%,16.1%,7.8%,5.52,63.1%,7.0%,8.1%,33.7%,30.2%,19.2%,12.8%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Manny Machado RHB,,+450,23,4.80,10,2,2,91.5,285.6,3,2,20.0%,10.0%,30.0%,60.0%,60.0%,75.5,58.3%,58.3%,41.7%,85.7%,70.0%,30.0%,66.7%,40.0%,30.0%,50.0%,40.0%,10.0%,50.0%
Ty France RHB,,+596,28,4.40,10,2,2,100.7,315.6,4,3,20.0%,10.0%,30.0%,80.0%,60.0%,72.7,31.2%,50.0%,43.8%,94.1%,70.0%,30.0%,66.7%,40.0%,30.0%,60.0%,40.0%,-,33.3%
Jackson Merrill LHB,,+527,20,3.60,10,2,2,89.2,260.6,3,3,30.0%,10.0%,10.0%,40.0%,50.0%,72.7,28.6%,42.9%,21.4%,93.3%,60.0%,40.0%,50.0%,20.0%,10.0%,20.0%,40.0%,40.0%,40.0%
Luis Rengifo SHB,,+1220,26,3.80,10,1,1,92.5,282.0,4,2,10.0%,10.0%,20.0%,40.0%,50.0%,70.6,9.1%,54.5%,18.2%,91.7%,60.0%,40.0%,25.0%,20.0%,30.0%,40.0%,30.0%,30.0%,42.9%
Luis Campusano RHB,,+690,33,3.00,10,1,1,85.6,262.3,2,2,10.0%,-,10.0%,30.0%,40.0%,71.9,36.4%,63.6%,27.3%,84.6%,60.0%,30.0%,33.3%,30.0%,30.0%,10.0%,60.0%,30.0%,28.6%
Fernando Tatis Jr. RHB,,+449,18,5.00,10,1,2,92.6,275.5,3,2,10.0%,10.0%,10.0%,50.0%,20.0%,78.1,75.0%,50.0%,25.0%,100.0%,50.0%,40.0%,25.0%,10.0%,40.0%,50.0%,10.0%,40.0%,57.1%
Sung-Mun Song LHB,—,N/A,15,2.40,10,0,0,88.8,273.2,3,1,-,-,10.0%,30.0%,20.0%,71.3,13.3%,46.7%,-,100.0%,40.0%,30.0%,0.0%,10.0%,50.0%,40.0%,60.0%,-,40.0%
Gavin Sheets LHB,,+680,27,3.40,10,0,1,86.8,275.6,4,1,-,-,30.0%,20.0%,30.0%,75.6,63.6%,36.4%,-,100.0%,80.0%,60.0%,0.0%,20.0%,10.0%,30.0%,20.0%,50.0%,16.7%
Rodolfo Durán RHB,—,N/A,31,2.80,10,0,0,81.1,206.4,1,1,-,-,20.0%,20.0%,20.0%,69.8,20.0%,13.3%,-,88.2%,40.0%,30.0%,0.0%,10.0%,20.0%,40.0%,20.0%,40.0%,37.5%
Freddy Fermin RHB,—,N/A,13,2.80,10,0,0,83.9,232.5,3,0,-,-,40.0%,10.0%,30.0%,69.2,4.5%,31.8%,-,91.7%,60.0%,40.0%,0.0%,20.0%,30.0%,40.0%,40.0%,20.0%,40.0%
Xander Bogaerts RHB,,+930,17,4.00,10,0,1,84.9,320.3,3,3,10.0%,-,10.0%,30.0%,60.0%,75.5,40.0%,33.3%,13.3%,100.0%,60.0%,40.0%,0.0%,20.0%,40.0%,40.0%,50.0%,10.0%,0.0%
Jake Cronenworth LHB,,+750,18,4.60,10,0,0,86.6,248.3,2,0,-,-,-,40.0%,50.0%,70.0,6.7%,46.7%,13.3%,93.8%,60.0%,20.0%,0.0%,40.0%,30.0%,-,50.0%,50.0%,66.7%
Jase Bowen RHB,—,N/A,9,2.60,9,0,1,75.6,240.3,2,1,22.2%,-,11.1%,33.3%,44.4%,75.4,50.0%,50.0%,25.0%,80.0%,66.6%,22.2%,0.0%,44.4%,11.1%,33.3%,55.6%,11.1%,60.0%
