Matchup,SD @ PHI
Pitcher,Walker Buehler
Pitcher Team,SD
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.2,220,0.251,0.301,0.357,0.106,1.32,4,0.70,8.2%,19.8%,19.5%,16.7%,8.6%,7.49,65.3%,8.6%,7.1%,41.7%,20.5%,12.5%,17.3%
vsLHB,25.0,120,0.311,0.346,0.387,0.075,1.84,1,0.36,10.8%,21.1%,18.3%,17.7%,9.2%,7.92,66.9%,8.6%,3.6%,45.2%,15.5%,7.7%,22.6%
vsRHB,26.0,100,0.183,0.247,0.323,0.140,0.85,3,1.04,5.0%,18.4%,21.0%,15.8%,8.0%,7.27,63.4%,8.7%,11.1%,37.5%,26.4%,15.8%,11.1%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Trea Turner RHB,+710,25,4.00,2,3,0.200,0.200,0.440,0.240,0.275,-,28.3%,20.0%,16.3%,89.6,15.0%,10.0%,15.0%,50.0%,40.0%,71.8,21.3%,25.5%,6.4%,90.4%,45.0%,22.2%,20.0%,30.0%,30.0%,30.0%,40.0%,44.4%
Alec Bohm RHB,+920,26,4.00,1,1,0.167,0.231,0.292,0.125,0.233,7.7%,20.8%,11.5%,10.4%,95.4,9.5%,-,-,61.9%,28.6%,70.5,4.4%,37.8%,20.0%,86.5%,23.8%,20.0%,19.0%,57.1%,23.8%,47.6%,28.6%,39.3%
Bryce Harper LHB,+432,24,3.80,1,1,0.263,0.417,0.474,0.211,0.387,20.8%,23.1%,20.8%,9.9%,95.1,7.1%,7.1%,7.1%,57.1%,21.4%,75.1,57.9%,23.7%,13.2%,97.4%,14.3%,0.0%,28.6%,57.1%,50.0%,42.9%,7.1%,31.6%
Kyle Schwarber LHB,+281,23,4.20,1,2,0.100,0.217,0.250,0.150,0.215,13.0%,31.9%,47.8%,14.9%,93.4,11.1%,11.1%,33.3%,55.6%,22.2%,77.4,79.5%,9.1%,6.8%,95.7%,55.6%,0.0%,11.1%,22.2%,55.6%,22.2%,22.2%,24.0%
J.T. Realmuto RHB,+820,23,3.00,1,1,0.300,0.391,0.450,0.150,0.373,8.7%,17.9%,21.7%,9.3%,87.7,6.7%,6.7%,20.0%,46.7%,40.0%,73.3,38.7%,19.4%,6.5%,86.1%,20.0%,33.3%,20.0%,40.0%,33.3%,46.7%,20.0%,38.1%
Bryson Stott LHB,+780,23,3.80,1,2,0.143,0.217,0.286,0.143,0.225,8.7%,16.3%,8.7%,7.3%,92.5,15.8%,-,5.3%,47.4%,31.6%,69.9,7.3%,36.6%,14.6%,95.3%,42.1%,12.5%,15.8%,31.6%,21.1%,52.6%,26.3%,28.0%
Edmundo Sosa RHB,N/A,25,2.40,0,1,0.042,0.080,0.042,-,0.064,-,30.9%,28.0%,18.3%,80.6,11.8%,5.9%,11.8%,35.3%,23.5%,71.9,20.4%,20.4%,6.1%,89.1%,11.8%,0.0%,17.6%,47.1%,41.2%,41.2%,17.6%,24.0%
Adolis Garcia RHB,+620,21,3.20,0,0,0.056,0.190,0.056,-,0.135,14.3%,57.1%,42.9%,24.7%,93.9,12.5%,-,-,37.5%,12.5%,70.0,16.7%,19.4%,5.6%,85.7%,12.5%,0.0%,12.5%,62.5%,25.0%,50.0%,25.0%,29.2%
Rafael Marchan SHB,N/A,19,2.60,0,0,0.111,0.158,0.111,-,0.128,5.3%,16.2%,15.8%,9.1%,82.0,-,-,33.3%,-,33.3%,66.1,-,27.8%,-,97.3%,6.7%,0.0%,26.7%,26.7%,46.7%,26.7%,26.7%,26.3%
Justin Crawford LHB,+1480,15,3.60,0,0,0.067,0.067,0.067,-,0.059,-,15.4%,13.3%,8.3%,89.7,-,-,-,15.4%,15.4%,70.4,7.9%,26.3%,2.6%,97.4%,30.8%,0.0%,15.4%,38.5%,23.1%,53.8%,23.1%,37.5%
Brandon Marsh LHB,+890,15,3.00,0,0,0.538,0.600,0.615,0.077,0.527,13.3%,15.2%,13.3%,8.1%,94.4,9.1%,-,18.2%,36.4%,72.7%,72.4,23.3%,30.0%,13.3%,90.9%,-,-,72.7%,27.3%,45.5%,54.5%,-,38.9%
Garrett Stubbs LHB,N/A,15,2.60,0,0,0.167,0.267,0.167,-,0.210,6.7%,6.9%,-,3.8%,81.8,-,-,7.7%,46.2%,23.1%,67.9,-,39.1%,4.3%,92.0%,23.1%,0.0%,23.1%,30.8%,15.4%,61.5%,23.1%,41.2%
Steward Berroa SHB,N/A,1,2.00,0,0,1.000,1.000,1.000,-,0.890,-,0.0%,-,-,91.8,-,-,-,-,100.0%,68.6,-,100.0%,-,100.0%,-,-,100.0%,-,-,100.0%,-,100.0%
