Matchup,SEA @ TB
Pitcher,Luis Castillo
Pitcher Team,SEA
Opposing Team,TB

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,49.2,204,0.210,0.272,0.349,0.140,1.07,5,0.91,6.9%,24.3%,22.5%,15.6%,13.0%,8.34,66.8%,6.9%,6.3%,40.1%,28.2%,12.5%,15.5%
vsLHB,28.2,127,0.254,0.327,0.430,0.175,1.40,4,1.26,8.7%,22.1%,16.5%,11.5%,12.2%,6.59,62.5%,8.3%,8.5%,44.7%,33.0%,12.9%,19.1%
vsRHB,21.0,77,0.139,0.181,0.222,0.083,0.62,1,0.43,3.9%,28.1%,32.5%,22.3%,14.3%,10.71,74.0%,4.8%,2.1%,31.2%,18.8%,11.1%,8.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ryan Vilade RHB,—,N/A,30,4.00,10,1,1,89.1,245.5,3,2,10.0%,-,20.0%,50.0%,40.0%,76.9,63.6%,45.5%,45.5%,91.7%,40.0%,30.0%,33.3%,10.0%,50.0%,40.0%,50.0%,10.0%,28.6%
Nick Fortes RHB,—,N/A,18,2.80,10,1,2,91.4,319.1,2,2,10.0%,10.0%,30.0%,50.0%,20.0%,70.9,18.2%,54.5%,36.4%,91.7%,30.0%,30.0%,33.3%,-,60.0%,40.0%,30.0%,30.0%,12.5%
Richie Palacios LHB,,+573,20,2.60,10,1,1,85.1,262.2,1,1,10.0%,10.0%,20.0%,30.0%,40.0%,68.5,-,31.2%,18.8%,88.9%,60.0%,40.0%,25.0%,20.0%,40.0%,50.0%,40.0%,10.0%,66.7%
Hunter Feduccia LHB,,+463,17,3.00,10,1,3,95.5,265.7,3,3,30.0%,10.0%,10.0%,60.0%,40.0%,72.3,25.0%,66.7%,50.0%,100.0%,70.0%,50.0%,20.0%,20.0%,20.0%,20.0%,70.0%,10.0%,16.7%
Victor Mesa Jr. LHB,,+330,34,3.40,10,1,1,87.0,261.1,3,2,-,-,20.0%,40.0%,30.0%,75.0,50.0%,33.3%,11.1%,90.0%,50.0%,30.0%,33.3%,20.0%,20.0%,50.0%,50.0%,-,33.3%
Junior Caminero RHB,,+167,27,4.20,10,1,1,90.3,260.6,2,1,10.0%,10.0%,30.0%,50.0%,20.0%,80.4,85.7%,35.7%,28.6%,93.3%,20.0%,10.0%,100.0%,10.0%,60.0%,60.0%,40.0%,-,0.0%
Jonathan Aranda LHB,,+246,36,4.20,10,0,2,88.8,324.6,5,2,20.0%,-,-,30.0%,40.0%,71.3,13.3%,40.0%,13.3%,100.0%,70.0%,50.0%,0.0%,20.0%,30.0%,20.0%,50.0%,30.0%,42.9%
Yandy Diaz RHB,,+361,13,4.00,10,0,0,92.1,196.6,0,0,-,-,-,50.0%,20.0%,73.8,33.3%,53.3%,33.3%,83.3%,20.0%,-,-,20.0%,70.0%,20.0%,60.0%,20.0%,25.0%
Cedric Mullins LHB,,+272,22,3.80,10,0,0,81.5,179.8,1,0,-,-,20.0%,10.0%,10.0%,70.7,7.1%,42.9%,7.1%,100.0%,20.0%,10.0%,0.0%,10.0%,40.0%,40.0%,40.0%,20.0%,42.9%
Taylor Walls SHB,,+769,17,3.80,10,0,1,85.4,288.3,3,1,10.0%,-,20.0%,50.0%,60.0%,71.3,7.1%,50.0%,21.4%,100.0%,50.0%,20.0%,0.0%,30.0%,40.0%,70.0%,20.0%,10.0%,28.6%
Jonny DeLuca RHB,—,N/A,14,3.00,10,0,0,77.0,200.6,1,0,-,-,10.0%,10.0%,30.0%,73.5,44.4%,11.1%,-,100.0%,50.0%,30.0%,0.0%,20.0%,20.0%,30.0%,30.0%,40.0%,75.0%
Chandler Simpson LHB,—,N/A,7,3.80,10,0,0,79.9,237.9,0,0,-,-,20.0%,20.0%,40.0%,64.1,-,53.8%,7.7%,92.9%,40.0%,-,-,40.0%,60.0%,30.0%,50.0%,20.0%,40.0%
Ben Williamson RHB,—,N/A,12,3.20,10,0,1,89.7,250.7,1,1,10.0%,-,10.0%,30.0%,40.0%,68.1,-,41.7%,16.7%,100.0%,70.0%,30.0%,0.0%,40.0%,30.0%,20.0%,40.0%,40.0%,11.1%
