Matchup,SEA @ TOR
Pitcher,Dylan Cease
Pitcher Team,TOR
Opposing Team,SEA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,144.1,579,0.175,0.244,0.259,0.084,1.06,9,0.56,11.1%,34.8%,35.9%,25.2%,15.9%,12.97,62.4%,6.2%,4.6%,32.3%,23.4%,12.7%,19.8%
vsLHB,82.1,331,0.161,0.246,0.262,0.101,1.06,7,0.77,12.4%,35.1%,36.9%,24.4%,15.9%,13.34,60.5%,6.0%,4.8%,31.9%,26.5%,15.9%,18.7%
vsRHB,62.0,248,0.193,0.241,0.256,0.063,1.06,2,0.29,9.3%,34.4%,34.7%,26.3%,16.0%,12.48,65.1%,6.4%,4.4%,32.8%,19.7%,7.4%,21.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Cal Raleigh SHB,—,N/A,17,4.00,8,2,2,94.5,244.6,2,2,25.0%,25.0%,37.5%,50.0%,12.5%,75.5,60.0%,46.7%,20.0%,93.8%,62.5%,62.5%,40.0%,-,12.5%,50.0%,50.0%,-,33.3%
Randy Arozarena RHB,—,N/A,17,4.60,8,1,1,97.8,357.1,4,2,12.5%,-,-,75.0%,37.5%,72.6,23.1%,53.8%,30.8%,92.9%,50.0%,25.0%,50.0%,25.0%,50.0%,12.5%,62.5%,25.0%,50.0%
JP Crawford LHB,—,N/A,16,3.60,8,0,1,82.6,229.1,2,2,-,-,25.0%,12.5%,25.0%,71.6,33.3%,25.0%,8.3%,85.7%,37.5%,12.5%,0.0%,25.0%,37.5%,37.5%,37.5%,25.0%,57.1%
Weston Wilson RHB,—,N/A,14,3.20,8,0,0,82.4,320.1,2,1,-,-,-,37.5%,50.0%,73.4,44.4%,44.4%,22.2%,90.0%,50.0%,25.0%,0.0%,25.0%,50.0%,37.5%,50.0%,12.5%,16.7%
Josh Naylor LHB,—,N/A,17,4.20,8,0,0,83.6,249.2,1,0,-,-,25.0%,37.5%,50.0%,69.7,8.3%,25.0%,-,85.7%,62.5%,25.0%,0.0%,37.5%,37.5%,25.0%,62.5%,12.5%,80.0%
Taylor Ward RHB,—,N/A,15,4.00,8,0,0,90.8,270.3,1,0,-,-,-,37.5%,50.0%,70.4,-,63.6%,18.2%,100.0%,50.0%,12.5%,0.0%,37.5%,50.0%,37.5%,37.5%,25.0%,50.0%
Jhonny Pereda RHB,—,N/A,10,2.20,8,0,0,79.9,236.7,0,0,-,-,-,12.5%,25.0%,69.4,-,18.2%,4.5%,95.7%,25.0%,-,-,25.0%,75.0%,12.5%,37.5%,50.0%,25.0%
Julio Rodriguez RHB,—,N/A,20,4.20,8,0,0,90.2,368.3,3,2,25.0%,-,12.5%,50.0%,37.5%,77.2,72.7%,36.4%,36.4%,100.0%,37.5%,25.0%,0.0%,12.5%,62.5%,12.5%,87.5%,-,75.0%
Patrick Wisdom RHB,—,N/A,13,2.80,8,0,1,91.6,283.3,3,3,25.0%,-,-,37.5%,12.5%,75.2,50.0%,41.7%,25.0%,92.3%,50.0%,37.5%,0.0%,12.5%,25.0%,-,25.0%,75.0%,71.4%
Victor Robles RHB,—,N/A,15,3.80,8,0,0,86.7,315.4,4,1,-,-,12.5%,50.0%,37.5%,68.3,7.7%,46.2%,23.1%,92.9%,62.5%,37.5%,0.0%,25.0%,25.0%,25.0%,75.0%,-,42.9%
Dominic Canzone LHB,—,N/A,20,4.20,8,0,0,95.0,264.7,1,0,-,-,12.5%,50.0%,62.5%,72.9,12.5%,75.0%,50.0%,88.9%,75.0%,25.0%,0.0%,50.0%,25.0%,25.0%,62.5%,12.5%,20.0%
Cole Young LHB,—,N/A,16,4.00,8,0,0,81.8,287.4,2,1,-,-,12.5%,12.5%,25.0%,72.1,36.4%,27.3%,-,100.0%,37.5%,25.0%,0.0%,12.5%,50.0%,37.5%,62.5%,-,66.7%
Brock Rodden SHB,—,N/A,3,3.40,5,0,1,90.5,316.6,2,1,20.0%,-,20.0%,40.0%,20.0%,69.6,-,37.5%,12.5%,80.0%,80.0%,60.0%,0.0%,20.0%,20.0%,40.0%,-,60.0%,20.0%
