Matchup,SF @ CHC
Pitcher,Landen Roupp
Pitcher Team,SF
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,64.0,271,0.237,0.296,0.349,0.112,1.31,3,0.42,10.0%,26.5%,26.2%,22.1%,11.2%,9.98,57.4%,5.1%,2.9%,30.0%,17.1%,10.3%,14.1%
vsLHB,36.1,156,0.222,0.294,0.326,0.104,1.38,1,0.25,12.8%,24.9%,24.4%,20.5%,10.1%,9.41,54.8%,4.9%,2.1%,33.3%,15.6%,6.7%,16.7%
vsRHB,27.2,115,0.255,0.299,0.377,0.123,1.23,2,0.65,6.1%,28.6%,28.7%,24.3%,12.6%,10.73,60.9%,5.3%,4.1%,25.7%,18.9%,14.3%,10.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Michael Conforto LHB,N/A,14,2.60,2,2,0.231,0.286,0.692,0.462,0.410,7.1%,43.5%,35.7%,20.4%,95.0,25.0%,12.5%,37.5%,75.0%,37.5%,73.0,35.0%,25.0%,20.0%,90.9%,50.0%,50.0%,12.5%,37.5%,62.5%,37.5%,-,55.6%
Seiya Suzuki RHB,+660,12,3.40,1,1,0.364,0.417,0.636,0.273,0.458,-,42.1%,25.0%,16.7%,97.1,12.5%,12.5%,12.5%,50.0%,25.0%,74.5,44.4%,38.9%,22.2%,94.7%,25.0%,50.0%,12.5%,62.5%,50.0%,37.5%,12.5%,7.7%
Michael Busch LHB,+502,12,3.80,1,1,0.444,0.583,0.889,0.444,0.597,16.7%,40.9%,25.0%,20.5%,85.7,16.7%,-,-,16.7%,16.7%,69.7,5.0%,15.0%,5.0%,90.9%,33.3%,50.0%,16.7%,50.0%,16.7%,50.0%,33.3%,22.2%
Nico Hoerner RHB,+1360,16,4.00,0,0,0.067,0.125,0.067,-,0.096,6.2%,4.0%,6.2%,1.8%,89.7,-,-,-,28.6%,35.7%,68.0,-,47.8%,13.0%,92.0%,14.3%,0.0%,35.7%,42.9%,21.4%,71.4%,7.1%,27.8%
Ian Happ SHB,+480,15,3.60,0,1,0.267,0.267,0.400,0.133,0.288,-,40.7%,40.0%,19.0%,98.0,11.1%,11.1%,33.3%,66.7%,44.4%,72.6,34.6%,30.8%,15.4%,96.3%,44.4%,0.0%,44.4%,11.1%,44.4%,55.6%,-,25.0%
Pete Crow-Armstrong LHB,+478,15,4.20,0,1,0.250,0.333,0.333,0.083,0.290,13.3%,42.9%,33.3%,18.8%,101.6,12.5%,12.5%,37.5%,100.0%,75.0%,74.1,45.8%,33.3%,25.0%,88.9%,37.5%,0.0%,50.0%,12.5%,50.0%,37.5%,12.5%,22.2%
Moisés Ballesteros LHB,+960,15,2.80,0,0,0.417,0.533,0.417,-,0.426,20.0%,25.9%,13.3%,13.2%,88.5,-,-,20.0%,40.0%,20.0%,74.3,40.0%,24.0%,12.0%,92.6%,-,-,20.0%,70.0%,60.0%,30.0%,10.0%,16.7%
Dansby Swanson RHB,+970,14,3.40,0,0,0.071,0.071,0.071,-,0.064,-,44.0%,57.1%,22.4%,87.1,-,-,-,-,16.7%,70.3,8.3%,16.7%,-,96.0%,33.3%,0.0%,16.7%,33.3%,33.3%,16.7%,50.0%,33.3%
Alex Bregman RHB,+910,13,4.40,0,0,0.250,0.308,0.250,-,0.255,7.7%,18.8%,15.4%,8.8%,81.6,-,-,-,10.0%,20.0%,68.4,-,26.7%,-,100.0%,20.0%,0.0%,20.0%,50.0%,20.0%,30.0%,50.0%,25.0%
Carson Kelly RHB,+1180,10,4.00,0,0,0.400,0.400,0.500,0.100,0.394,-,10.0%,10.0%,6.1%,86.3,-,-,33.3%,44.4%,55.6%,71.5,6.2%,37.5%,18.8%,80.0%,-,-,55.6%,44.4%,55.6%,33.3%,11.1%,25.0%
Miguel Amaya RHB,N/A,8,3.80,0,0,0.167,0.375,0.167,-,0.282,12.5%,0.0%,-,-,85.5,-,-,16.7%,50.0%,16.7%,72.0,13.3%,26.7%,13.3%,100.0%,16.7%,0.0%,16.7%,66.7%,66.7%,33.3%,-,15.4%
Pedro Ramirez SHB,N/A,6,3.20,0,0,0.333,0.333,0.500,0.167,0.360,-,0.0%,-,-,87.3,-,-,-,16.7%,33.3%,74.4,55.6%,22.2%,11.1%,100.0%,16.7%,0.0%,33.3%,50.0%,33.3%,66.7%,-,40.0%
