Matchup,SF @ KC
Pitcher,Landen Roupp
Pitcher Team,SF
Opposing Team,KC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,104.0,435,0.226,0.294,0.351,0.125,1.27,7,0.61,10.3%,25.3%,24.1%,19.7%,10.9%,9.09,58.0%,4.9%,3.9%,28.8%,21.0%,11.9%,13.9%
vsLHB,59.1,251,0.217,0.292,0.323,0.106,1.33,3,0.46,12.7%,23.6%,23.5%,18.9%,9.9%,8.95,57.5%,4.8%,3.2%,31.2%,19.7%,9.7%,13.4%
vsRHB,44.1,184,0.238,0.297,0.387,0.149,1.20,4,0.81,7.1%,27.5%,25.0%,20.7%,12.3%,9.34,58.7%,4.9%,4.8%,25.8%,22.6%,14.3%,14.5%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Lane Thomas RHB,,+850,17,4.20,10,1,1,96.6,283.8,2,1,10.0%,10.0%,30.0%,60.0%,30.0%,74.2,50.0%,66.7%,41.7%,100.0%,50.0%,30.0%,33.3%,20.0%,40.0%,50.0%,30.0%,20.0%,40.0%
Salvador Perez RHB,,+650,26,4.20,10,1,1,84.9,242.8,2,1,10.0%,-,10.0%,30.0%,40.0%,72.4,36.4%,27.3%,27.3%,100.0%,50.0%,30.0%,33.3%,20.0%,40.0%,40.0%,60.0%,-,40.0%
Josh Rojas LHB,,+750,5,3.40,10,1,1,81.4,342.9,1,1,10.0%,10.0%,10.0%,30.0%,-,67.2,-,46.2%,15.4%,86.7%,20.0%,20.0%,50.0%,-,80.0%,30.0%,20.0%,50.0%,71.4%
Starling Marte RHB,,+1450,19,3.40,7,1,2,100.2,287.6,3,3,42.9%,28.6%,42.9%,85.7%,71.4%,74.6,57.1%,85.7%,85.7%,100.0%,71.4%,14.3%,100.0%,57.1%,14.3%,57.1%,42.9%,-,25.0%
Carter Jensen LHB,,+650,12,4.60,10,0,0,87.5,273.5,4,0,-,-,-,60.0%,30.0%,74.1,44.4%,38.9%,16.7%,100.0%,40.0%,30.0%,0.0%,10.0%,50.0%,30.0%,40.0%,30.0%,75.0%
Bobby Witt Jr. RHB,—,N/A,22,4.00,10,0,0,77.9,155.2,1,0,-,-,10.0%,10.0%,10.0%,76.6,66.7%,25.0%,8.3%,100.0%,30.0%,20.0%,0.0%,10.0%,50.0%,20.0%,40.0%,40.0%,57.1%
Nick Loftin RHB,,+1150,15,3.80,10,0,1,87.8,291.4,2,1,-,-,20.0%,50.0%,40.0%,69.7,-,66.7%,16.7%,92.3%,40.0%,20.0%,0.0%,20.0%,60.0%,60.0%,20.0%,20.0%,22.2%
Michael Massey LHB,,+800,18,3.60,10,0,0,83.8,266.0,1,0,-,-,-,30.0%,20.0%,72.9,33.3%,41.7%,-,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,50.0%,20.0%,30.0%,28.6%
Isaac Collins SHB,,+1200,15,3.40,10,0,0,91.1,289.4,3,0,-,-,10.0%,40.0%,50.0%,73.4,33.3%,66.7%,16.7%,92.3%,70.0%,40.0%,0.0%,30.0%,30.0%,30.0%,40.0%,30.0%,0.0%
Vinnie Pasquantino LHB,,+870,15,4.20,10,0,1,94.8,271.6,3,2,10.0%,10.0%,20.0%,50.0%,40.0%,72.4,25.0%,75.0%,33.3%,100.0%,60.0%,30.0%,0.0%,30.0%,30.0%,40.0%,50.0%,10.0%,25.0%
Tyler Tolbert RHB,,+1250,2,3.00,10,0,1,85.9,362.9,2,1,10.0%,-,-,50.0%,20.0%,69.2,-,77.8%,44.4%,90.0%,20.0%,10.0%,0.0%,10.0%,70.0%,60.0%,40.0%,-,37.5%
Jac Caglianone LHB,,+390,20,3.60,10,0,1,86.3,269.5,2,1,10.0%,-,-,20.0%,30.0%,77.1,75.0%,33.3%,16.7%,92.3%,40.0%,10.0%,0.0%,30.0%,50.0%,40.0%,40.0%,20.0%,42.9%
Luke Maile RHB,—,N/A,-,3.67,1,0,0,68.5,-,0,0,-,-,-,-,-,67.8,-,-,-,100.0%,-,-,-,-,100.0%,-,100.0%,-,100.0%
