Matchup,SF @ KC
Pitcher,Michael Wacha
Pitcher Team,KC
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,119.1,487,0.242,0.306,0.408,0.166,1.19,14,1.06,7.0%,21.9%,19.5%,18.2%,10.6%,7.16,65.1%,7.6%,6.2%,36.1%,27.6%,12.4%,17.6%
vsLHB,67.0,282,0.244,0.297,0.380,0.136,1.24,7,0.94,7.1%,22.4%,20.9%,18.7%,10.9%,7.93,68.1%,7.7%,6.5%,33.7%,29.6%,10.2%,19.6%
vsRHB,51.2,205,0.239,0.319,0.447,0.207,1.14,7,1.22,6.8%,21.2%,17.6%,17.5%,10.1%,6.27,61.0%,7.5%,5.9%,39.2%,24.8%,15.8%,15.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Rafael Devers LHB,,+310,31,4.40,10,2,2,96.1,327.1,4,1,10.0%,-,20.0%,50.0%,40.0%,72.7,21.4%,57.1%,28.6%,93.3%,60.0%,40.0%,50.0%,20.0%,40.0%,50.0%,40.0%,10.0%,22.2%
Willy Adames RHB,,+391,17,4.20,10,2,2,82.5,271.7,2,2,20.0%,-,20.0%,20.0%,40.0%,74.5,35.7%,35.7%,14.3%,93.3%,50.0%,30.0%,66.7%,20.0%,50.0%,50.0%,30.0%,20.0%,33.3%
Bryce Eldridge LHB,,+367,42,4.20,10,1,1,95.8,288.8,2,1,10.0%,-,20.0%,50.0%,50.0%,74.8,64.3%,35.7%,28.6%,100.0%,50.0%,20.0%,50.0%,30.0%,50.0%,50.0%,30.0%,20.0%,37.5%
Luis Arraez LHB,,+1300,7,4.40,10,0,0,87.7,216.8,0,0,-,-,-,-,40.0%,63.9,-,76.9%,-,92.9%,50.0%,20.0%,0.0%,30.0%,30.0%,10.0%,50.0%,40.0%,0.0%
Drew Cavanaugh LHB,—,N/A,6,3.80,10,0,1,85.9,230.3,3,1,10.0%,10.0%,20.0%,20.0%,40.0%,69.5,7.1%,35.7%,14.3%,87.5%,50.0%,20.0%,0.0%,30.0%,30.0%,20.0%,40.0%,40.0%,37.5%
Drew Gilbert LHB,,+870,5,4.00,10,0,0,92.3,227.3,1,0,-,-,-,50.0%,20.0%,69.4,5.9%,47.1%,17.6%,100.0%,20.0%,10.0%,0.0%,10.0%,70.0%,60.0%,20.0%,20.0%,42.9%
Daniel Susac RHB,—,N/A,16,3.40,10,0,0,77.6,220.2,0,0,-,-,10.0%,20.0%,40.0%,69.2,-,23.5%,11.8%,89.5%,40.0%,20.0%,0.0%,20.0%,50.0%,50.0%,40.0%,10.0%,55.6%
Heliot Ramos RHB,,+399,14,4.20,10,0,0,92.4,320.6,1,1,10.0%,-,-,40.0%,-,71.2,26.7%,53.3%,26.7%,88.2%,20.0%,20.0%,0.0%,-,80.0%,40.0%,30.0%,30.0%,22.2%
Christian Koss RHB,—,N/A,6,1.60,10,0,0,84.7,222.1,0,0,-,-,-,30.0%,10.0%,70.6,-,33.3%,16.7%,92.3%,30.0%,20.0%,0.0%,10.0%,60.0%,40.0%,40.0%,20.0%,50.0%
Jesus Rodriguez RHB,—,N/A,10,2.60,10,0,0,77.7,241.1,0,0,-,-,10.0%,10.0%,20.0%,68.8,7.7%,7.7%,7.7%,86.7%,30.0%,10.0%,0.0%,20.0%,70.0%,50.0%,20.0%,30.0%,33.3%
Casey Schmitt RHB,,+346,26,4.40,10,0,0,82.4,251.3,2,1,-,-,-,20.0%,20.0%,71.5,20.0%,40.0%,6.7%,100.0%,40.0%,30.0%,0.0%,10.0%,50.0%,30.0%,60.0%,10.0%,44.4%
Jung Hoo Lee LHB,,+1140,15,4.00,10,0,0,86.0,238.9,0,0,-,-,10.0%,40.0%,20.0%,67.6,-,40.0%,13.3%,88.2%,30.0%,20.0%,0.0%,10.0%,60.0%,30.0%,50.0%,20.0%,28.6%
