Matchup,SF @ MIL
Pitcher,Coleman Crow
Pitcher Team,MIL
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,14.1,58,0.212,0.274,0.365,0.154,0.98,1,0.63,5.2%,16.2%,13.8%,12.5%,8.3%,5.02,67.8%,7.3%,10.9%,34.8%,28.3%,7.7%,13.0%
vsLHB,6.2,28,0.217,0.279,0.261,0.043,1.20,0,-,10.7%,11.5%,14.3%,11.4%,5.5%,5.40,72.4%,8.2%,10.0%,35.0%,30.0%,-,5.0%
vsRHB,7.2,30,0.207,0.269,0.448,0.241,0.78,1,1.17,-,20.8%,13.3%,13.8%,11.5%,4.70,63.3%,6.2%,11.5%,34.6%,26.9%,14.3%,19.2%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Rafael Devers LHB,+410,19,4.80,1,1,0.333,0.368,0.667,0.333,0.439,5.3%,27.6%,26.3%,13.3%,96.4,7.7%,-,7.7%,61.5%,15.4%,71.2,20.8%,29.2%,29.2%,92.3%,23.1%,33.3%,23.1%,46.2%,38.5%,46.2%,15.4%,35.3%
Casey Schmitt RHB,+440,15,4.80,1,2,0.286,0.267,0.571,0.286,0.343,-,11.1%,13.3%,5.4%,87.4,7.7%,7.7%,38.5%,38.5%,23.1%,73.3,34.6%,26.9%,19.2%,96.3%,23.1%,33.3%,23.1%,23.1%,53.8%,30.8%,15.4%,29.4%
Drew Gilbert LHB,+920,12,2.80,1,1,0.182,0.250,0.545,0.364,0.335,8.3%,20.0%,8.3%,7.7%,95.7,10.0%,10.0%,10.0%,70.0%,40.0%,69.3,5.9%,52.9%,35.3%,89.5%,20.0%,50.0%,30.0%,50.0%,30.0%,40.0%,30.0%,21.4%
Jung Hoo Lee LHB,+990,10,3.80,1,1,0.500,0.500,1.000,0.500,0.642,-,10.7%,-,5.5%,84.0,10.0%,-,-,20.0%,70.0%,67.5,-,20.0%,4.0%,89.3%,20.0%,50.0%,40.0%,40.0%,30.0%,50.0%,20.0%,7.1%
Eric Haase RHB,+610,9,2.80,1,2,0.444,0.444,0.889,0.444,0.572,-,30.0%,22.2%,17.1%,89.2,42.9%,14.3%,14.3%,57.1%,57.1%,72.4,16.7%,27.8%,22.2%,94.7%,28.6%,50.0%,28.6%,42.9%,28.6%,57.1%,14.3%,12.5%
Daniel Susac RHB,+550,19,4.20,0,1,0.294,0.368,0.353,0.059,0.323,10.5%,24.1%,21.1%,14.0%,88.7,7.7%,-,38.5%,38.5%,61.5%,69.3,4.0%,28.0%,8.0%,89.3%,30.8%,0.0%,46.2%,15.4%,46.2%,30.8%,23.1%,71.4%
Bryce Eldridge LHB,+500,16,3.80,0,1,0.143,0.188,0.286,0.143,0.199,6.2%,21.1%,12.5%,10.3%,93.6,15.4%,-,7.7%,53.8%,23.1%,73.4,35.1%,24.3%,16.2%,97.4%,46.2%,0.0%,15.4%,30.8%,38.5%,30.8%,30.8%,30.0%
Luis Arraez LHB,+1500,14,4.80,0,0,0.462,0.500,0.462,-,0.433,-,13.3%,-,6.3%,89.8,-,-,-,23.1%,46.2%,62.5,-,39.3%,-,93.3%,7.7%,0.0%,46.2%,46.2%,23.1%,38.5%,38.5%,28.6%
Willy Adames RHB,+415,14,4.20,0,2,0.250,0.286,0.333,0.083,0.264,7.1%,26.9%,7.1%,15.2%,93.2,-,-,25.0%,58.3%,16.7%,73.9,38.1%,33.3%,19.0%,84.0%,25.0%,0.0%,16.7%,41.7%,33.3%,50.0%,16.7%,38.5%
Matt Chapman RHB,+630,8,4.20,0,0,0.375,0.375,0.500,0.125,0.381,-,4.3%,12.5%,1.9%,93.6,-,-,28.6%,57.1%,14.3%,75.5,50.0%,13.6%,13.6%,95.7%,14.3%,0.0%,14.3%,42.9%,57.1%,14.3%,28.6%,31.6%
Victor Bericoto RHB,N/A,2,2.20,0,0,-,-,-,-,-,-,0.0%,-,-,85.3,-,-,-,50.0%,-,74.8,50.0%,50.0%,50.0%,100.0%,-,-,-,100.0%,100.0%,-,-,100.0%
Buddy Kennedy RHB,N/A,1,2.00,0,0,-,-,-,-,-,-,0.0%,-,-,73.2,-,-,100.0%,-,100.0%,66.1,-,-,-,100.0%,100.0%,0.0%,-,-,100.0%,-,-,0.0%
